가해자법규위반,시간대,사고건수,사망자수,중상자수,경상자수,부상신고자수
과속,00시-02시,122,22,91,110,8
과속,02시-04시,83,25,51,72,7
과속,04시-06시,69,23,47,42,5
과속,06시-08시,92,20,79,80,5
과속,08시-10시,98,19,69,109,14
과속,10시-12시,86,12,61,109,17
과속,12시-14시,88,8,67,97,7
과속,14시-16시,77,14,54,119,12
과속,16시-18시,92,15,79,111,7
과속,18시-20시,114,22,78,119,7
과속,20시-22시,89,23,86,87,7
과속,22시-24시,114,25,80,111,10
교차로 통행방법 위반,00시-02시,414,3,102,585,50
교차로 통행방법 위반,02시-04시,225,1,58,311,18
교차로 통행방법 위반,04시-06시,247,0,75,319,22
교차로 통행방법 위반,06시-08시,810,1,222,884,61
교차로 통행방법 위반,08시-10시,1818,8,476,2126,202
교차로 통행방법 위반,10시-12시,1668,8,480,1946,149
교차로 통행방법 위반,12시-14시,1834,5,518,2287,225
교차로 통행방법 위반,14시-16시,1954,9,571,2258,207
교차로 통행방법 위반,16시-18시,2161,5,522,2666,271
교차로 통행방법 위반,18시-20시,2139,5,546,2575,220
교차로 통행방법 위반,20시-22시,1319,1,300,1653,159
교차로 통행방법 위반,22시-24시,783,2,189,963,98
기타,00시-02시,572,1,180,666,76
기타,02시-04시,297,0,75,386,43
기타,04시-06시,327,4,111,361,61
기타,06시-08시,984,10,319,1003,92
기타,08시-10시,2259,12,613,2551,251
기타,10시-12시,2113,16,649,2303,217
기타,12시-14시,2335,10,702,2566,246
기타,14시-16시,2320,18,724,2530,259
기타,16시-18시,2732,12,782,3086,288
기타,18시-20시,2681,8,741,2795,308
기타,20시-22시,1656,6,392,1874,166
기타,22시-24시,1029,1,269,1145,138
보행자 보호의무 위반,00시-02시,194,3,78,124,10
보행자 보호의무 위반,02시-04시,90,2,38,60,1
보행자 보호의무 위반,04시-06시,146,9,78,62,4
보행자 보호의무 위반,06시-08시,421,14,210,198,10
보행자 보호의무 위반,08시-10시,846,8,388,466,19
보행자 보호의무 위반,10시-12시,662,10,347,319,15
보행자 보호의무 위반,12시-14시,729,15,350,386,18
보행자 보호의무 위반,14시-16시,945,13,413,539,27
보행자 보호의무 위반,16시-18시,1105,8,488,623,40
보행자 보호의무 위반,18시-20시,1473,14,709,825,39
보행자 보호의무 위반,20시-22시,962,15,442,544,49
보행자 보호의무 위반,22시-24시,482,6,202,304,18
신호위반,00시-02시,1534,17,720,1946,135
신호위반,02시-04시,915,12,453,1121,101
신호위반,04시-06시,1313,22,631,1450,99
신호위반,06시-08시,2083,36,882,2187,182
신호위반,08시-10시,2730,27,1105,2969,236
신호위반,10시-12시,2428,30,976,2765,170
신호위반,12시-14시,2522,22,1060,2806,269
신호위반,14시-16시,2587,23,1058,2871,222
신호위반,16시-18시,2907,29,1068,3213,279
신호위반,18시-20시,3633,30,1439,3885,344
신호위반,20시-22시,2955,35,1158,3297,276
신호위반,22시-24시,2314,32,934,2757,185
안전거리 미확보,00시-02시,694,1,145,939,93
안전거리 미확보,02시-04시,338,0,63,424,47
안전거리 미확보,04시-06시,380,4,78,478,51
안전거리 미확보,06시-08시,1301,4,281,1627,119
안전거리 미확보,08시-10시,2704,5,510,3522,317
안전거리 미확보,10시-12시,2356,12,564,3260,308
안전거리 미확보,12시-14시,2535,7,572,3550,343
안전거리 미확보,14시-16시,2642,8,531,3654,365
안전거리 미확보,16시-18시,2995,6,572,4115,471
안전거리 미확보,18시-20시,3285,7,577,4443,385
안전거리 미확보,20시-22시,1960,6,398,2685,227
안전거리 미확보,22시-24시,1283,3,267,1705,228
안전운전 의무 불이행,00시-02시,5789,154,1699,5931,611
안전운전 의무 불이행,02시-04시,3560,120,1165,3420,392
안전운전 의무 불이행,04시-06시,3605,190,1411,3070,390
안전운전 의무 불이행,06시-08시,6834,200,2340,6487,609
안전운전 의무 불이행,08시-10시,12588,165,3723,12472,1249
안전운전 의무 불이행,10시-12시,12095,209,3773,12200,1245
안전운전 의무 불이행,12시-14시,13000,164,3822,13714,1481
안전운전 의무 불이행,14시-16시,14252,187,4194,15089,1623
안전운전 의무 불이행,16시-18시,15999,187,4535,16720,1780
안전운전 의무 불이행,18시-20시,17366,294,4792,17582,1797
안전운전 의무 불이행,20시-22시,11863,218,3440,11868,1321
안전운전 의무 불이행,22시-24시,9055,146,2519,9529,980
중앙선 침범,00시-02시,389,22,160,478,35
중앙선 침범,02시-04시,195,12,108,235,19
중앙선 침범,04시-06시,272,10,147,276,17
중앙선 침범,06시-08시,653,18,349,699,37
중앙선 침범,08시-10시,928,25,447,947,70
중앙선 침범,10시-12시,863,21,474,908,77
중앙선 침범,12시-14시,1001,24,509,1167,80
중앙선 침범,14시-16시,1133,41,593,1282,105
중앙선 침범,16시-18시,1168,30,623,1319,81
중앙선 침범,18시-20시,1232,19,560,1279,124
중앙선 침범,20시-22시,863,13,388,976,78
중앙선 침범,22시-24시,647,11,292,752,46
