가해자차량용도대분류,가해자차량용도중분류,가해자차량용도,시간대,사고건수,사망자수,중상자수,경상자수,부상신고자수
사업용,노선버스,마을버스,00시-02시,17,0,6,18,2
사업용,노선버스,마을버스,04시-06시,3,0,0,6,0
사업용,노선버스,마을버스,06시-08시,69,1,30,62,7
사업용,노선버스,마을버스,08시-10시,166,1,66,197,18
사업용,노선버스,마을버스,10시-12시,127,1,57,93,18
사업용,노선버스,마을버스,12시-14시,133,2,39,121,9
사업용,노선버스,마을버스,14시-16시,142,1,53,135,14
사업용,노선버스,마을버스,16시-18시,155,2,48,165,15
사업용,노선버스,마을버스,18시-20시,171,3,59,153,22
사업용,노선버스,마을버스,20시-22시,106,1,30,117,16
사업용,노선버스,마을버스,22시-24시,69,3,24,61,6
사업용,노선버스,시내버스,00시-02시,49,1,25,36,20
사업용,노선버스,시내버스,02시-04시,12,0,1,14,0
사업용,노선버스,시내버스,04시-06시,66,3,28,43,8
사업용,노선버스,시내버스,06시-08시,306,8,136,300,41
사업용,노선버스,시내버스,08시-10시,661,7,273,706,58
사업용,노선버스,시내버스,10시-12시,651,3,277,600,74
사업용,노선버스,시내버스,12시-14시,632,4,243,569,55
사업용,노선버스,시내버스,14시-16시,680,5,234,641,48
사업용,노선버스,시내버스,16시-18시,768,2,224,720,76
사업용,노선버스,시내버스,18시-20시,784,3,233,836,130
사업용,노선버스,시내버스,20시-22시,507,12,155,474,55
사업용,노선버스,시내버스,22시-24시,345,8,115,346,34
사업용,노선버스,시외버스,00시-02시,8,1,1,6,0
사업용,노선버스,시외버스,02시-04시,3,0,3,1,1
사업용,노선버스,시외버스,04시-06시,11,1,6,12,0
사업용,노선버스,시외버스,06시-08시,43,1,22,85,10
사업용,노선버스,시외버스,08시-10시,109,2,41,142,12
사업용,노선버스,시외버스,10시-12시,93,3,35,154,24
사업용,노선버스,시외버스,12시-14시,90,3,41,114,15
사업용,노선버스,시외버스,14시-16시,88,2,48,152,9
사업용,노선버스,시외버스,16시-18시,99,1,32,144,12
사업용,노선버스,시외버스,18시-20시,102,0,37,150,18
사업용,노선버스,시외버스,20시-22시,65,4,25,76,14
사업용,노선버스,시외버스,22시-24시,36,0,12,48,8
사업용,노선버스,고속버스,04시-06시,1,0,0,1,0
사업용,노선버스,고속버스,06시-08시,9,0,2,9,0
사업용,노선버스,고속버스,08시-10시,14,1,5,17,0
사업용,노선버스,고속버스,10시-12시,14,0,9,32,3
