가해자차종,피해자차종,사고건수,사망자수,중상자수,경상자수,부상신고자수
승용차,없음,3782,224,1588,2529,728
승용차,승용차,77599,194,17887,116200,7419
승용차,승합차,5599,28,1587,9813,1143
승용차,화물차,8668,111,2536,10919,884
승용차,특수차,456,16,151,524,61
승용차,이륜차,16434,109,6871,10510,820
승용차,사륜오토바이(ATV),118,4,57,70,5
승용차,원동기장치자전거,1720,16,656,1116,103
승용차,자전거,5184,43,2074,2953,222
승용차,개인형이동수단(PM),327,3,118,201,19
승용차,건설기계,625,25,188,674,103
승용차,농기계,276,30,175,158,16
승용차,보행자,30394,762,12331,17203,1585
승용차,기타,101,6,36,63,8
승용차,불명,82,0,14,77,13
승합차,없음,2524,21,1106,1931,342
승합차,승용차,5354,13,1288,8292,599
승합차,승합차,568,4,281,1508,249
승합차,화물차,709,7,311,1250,129
승합차,특수차,34,1,16,50,3
승합차,이륜차,912,9,397,569,58
승합차,사륜오토바이(ATV),11,1,6,6,0
승합차,원동기장치자전거,95,2,46,56,6
승합차,자전거,375,11,169,180,20
승합차,개인형이동수단(PM),15,0,7,10,0
승합차,건설기계,51,2,34,117,7
승합차,농기계,17,2,12,22,1
승합차,보행자,3529,135,1489,1850,221
승합차,기타,12,1,3,15,2
승합차,불명,15,0,2,13,2
화물차,없음,990,141,496,472,134
화물차,승용차,14030,69,3657,19242,1178
화물차,승합차,1046,11,393,2119,206
화물차,화물차,3020,125,1175,3617,268
화물차,특수차,162,16,58,173,8
화물차,이륜차,2375,60,1168,1286,92
화물차,사륜오토바이(ATV),46,3,30,20,1
화물차,원동기장치자전거,266,7,132,147,11
화물차,자전거,986,29,457,465,55
화물차,개인형이동수단(PM),37,1,14,22,1
화물차,건설기계,242,18,63,236,27
화물차,농기계,148,28,83,83,1
화물차,보행자,5410,294,2662,2452,220
화물차,기타,25,0,13,16,1
화물차,불명,5,0,0,5,1
특수차,없음,38,6,15,10,7
특수차,승용차,712,5,212,885,54
특수차,승합차,47,0,28,145,6
특수차,화물차,143,12,67,142,12
특수차,특수차,42,2,12,44,1
특수차,이륜차,63,1,38,27,2
특수차,사륜오토바이(ATV),2,0,1,1,0
특수차,원동기장치자전거,4,1,0,3,0
특수차,자전거,20,1,9,10,0
특수차,건설기계,12,1,4,9,0
특수차,농기계,2,0,0,2,0
특수차,보행자,135,9,79,47,9
특수차,기타,2,0,1,1,0
특수차,불명,1,0,0,1,0
이륜차,없음,1806,158,707,664,412
이륜차,승용차,9371,121,2273,8506,2261
이륜차,승합차,733,17,230,556,181
이륜차,화물차,1282,74,404,747,273
이륜차,특수차,41,3,10,18,11
이륜차,이륜차,1580,7,697,1287,188
이륜차,사륜오토바이(ATV),5,0,3,4,1
이륜차,원동기장치자전거,23,0,9,16,2
이륜차,자전거,454,1,173,285,52
이륜차,개인형이동수단(PM),19,0,6,11,3
이륜차,건설기계,77,8,33,25,16
이륜차,농기계,18,2,11,9,0
이륜차,보행자,2987,31,1352,1809,265
이륜차,기타,17,0,5,10,3
이륜차,불명,54,0,4,27,25
사륜오토바이(ATV),없음,116,29,51,30,7
사륜오토바이(ATV),승용차,110,0,30,100,15
사륜오토바이(ATV),승합차,7,1,2,5,0
사륜오토바이(ATV),화물차,34,3,9,20,5
사륜오토바이(ATV),특수차,2,3,0,0,0
사륜오토바이(ATV),이륜차,5,0,1,6,0
사륜오토바이(ATV),사륜오토바이(ATV),2,0,1,2,0
사륜오토바이(ATV),원동기장치자전거,1,0,1,0,0
사륜오토바이(ATV),자전거,1,0,0,1,0
사륜오토바이(ATV),건설기계,4,0,2,2,0
사륜오토바이(ATV),농기계,1,0,1,0,0
사륜오토바이(ATV),보행자,34,0,18,19,2
사륜오토바이(ATV),불명,1,0,0,0,1
원동기장치자전거,없음,199,13,75,73,51
원동기장치자전거,승용차,1080,16,264,917,255
원동기장치자전거,승합차,83,1,24,56,21
원동기장치자전거,화물차,131,8,43,77,25
원동기장치자전거,특수차,2,0,0,0,2
원동기장치자전거,이륜차,31,0,6,29,4
원동기장치자전거,사륜오토바이(ATV),2,0,2,0,1
원동기장치자전거,원동기장치자전거,119,0,48,97,20
원동기장치자전거,자전거,66,0,26,38,7
원동기장치자전거,개인형이동수단(PM),3,0,3,0,0
원동기장치자전거,건설기계,5,0,1,3,2
원동기장치자전거,농기계,2,0,1,1,0
원동기장치자전거,보행자,386,2,169,219,35
원동기장치자전거,기타,1,0,0,1,0
원동기장치자전거,불명,3,0,0,1,2
자전거,없음,289,19,94,106,70
자전거,승용차,2586,29,545,1417,692
자전거,승합차,244,10,62,132,56
자전거,화물차,472,15,132,218,110
자전거,특수차,12,0,2,4,6
자전거,이륜차,269,2,91,186,63
자전거,사륜오토바이(ATV),3,0,1,2,0
자전거,원동기장치자전거,32,0,11,22,11
자전거,자전거,536,0,220,337,138
자전거,개인형이동수단(PM),8,0,3,4,1
자전거,건설기계,20,1,8,9,2
자전거,농기계,2,0,1,0,1
자전거,보행자,1121,3,357,695,171
자전거,기타,3,0,0,3,1
자전거,불명,36,0,5,18,13
개인형이동수단(PM),없음,55,5,17,21,12
개인형이동수단(PM),승용차,157,2,35,96,37
개인형이동수단(PM),승합차,12,0,3,9,3
개인형이동수단(PM),화물차,29,1,11,11,6
개인형이동수단(PM),특수차,3,0,2,1,0
