도로종류,시간대,사고건수,사망자수,중상자수,경상자수,부상신고자수
일반국도,00시-02시,785,36,271,880,83
일반국도,02시-04시,438,18,178,449,47
일반국도,04시-06시,634,38,297,574,60
일반국도,06시-08시,1375,49,552,1508,145
일반국도,08시-10시,2158,38,782,2511,205
일반국도,10시-12시,2106,50,835,2599,198
일반국도,12시-14시,2176,33,893,2854,235
일반국도,14시-16시,2340,57,937,2920,308
일반국도,16시-18시,2475,39,861,3044,284
일반국도,18시-20시,2671,80,990,3059,274
일반국도,20시-22시,1791,73,663,1993,151
일반국도,22시-24시,1217,30,434,1446,122
지방도,00시-02시,538,22,213,591,57
지방도,02시-04시,281,11,101,296,32
지방도,04시-06시,384,19,167,388,58
지방도,06시-08시,1082,44,462,1090,102
지방도,08시-10시,1972,57,691,2126,210
지방도,10시-12시,1801,46,723,2018,200
지방도,12시-14시,1872,34,692,2096,206
지방도,14시-16시,2005,56,776,2285,216
지방도,16시-18시,2236,43,750,2586,269
지방도,18시-20시,2306,63,788,2488,275
지방도,20시-22시,1450,42,495,1500,181
지방도,22시-24시,868,25,300,956,91
특별광역시도,00시-02시,4623,72,1416,5137,477
특별광역시도,02시-04시,2832,57,933,3007,324
특별광역시도,04시-06시,2850,83,1083,2804,292
특별광역시도,06시-08시,4927,66,1560,4754,409
특별광역시도,08시-10시,9035,52,2389,9189,896
특별광역시도,10시-12시,8312,53,2277,8537,863
특별광역시도,12시-14시,9204,50,2439,9677,1093
특별광역시도,14시-16시,9922,50,2628,10381,1109
특별광역시도,16시-18시,11365,49,2970,12013,1295
특별광역시도,18시-20시,12605,51,3294,13072,1335
특별광역시도,20시-22시,9017,67,2441,9596,981
특별광역시도,22시-24시,7103,69,1963,7751,790
시도,00시-02시,2958,60,1006,3275,293
시도,02시-04시,1654,58,600,1819,172
시도,04시-06시,1902,72,746,1745,170
시도,06시-08시,4378,78,1539,4417,351
시도,08시-10시,7929,68,2395,8552,719
시도,10시-12시,7135,95,2340,7513,609
시도,12시-14시,7696,69,2416,8573,737
시도,14시-16시,8269,75,2534,9048,787
시도,16시-18시,9540,97,2860,10369,956
시도,18시-20시,10905,120,3273,11436,983
시도,20시-22시,7371,103,2324,7790,746
시도,22시-24시,5216,76,1635,5721,502
군도,00시-02시,137,7,53,142,25
군도,02시-04시,74,2,34,65,5
군도,04시-06시,115,7,54,106,14
군도,06시-08시,449,28,239,409,32
군도,08시-10시,1034,29,478,893,79
군도,10시-12시,1013,31,496,931,67
군도,12시-14시,1067,29,480,980,103
군도,14시-16시,1070,27,478,1027,78
군도,16시-18시,1125,38,469,1069,97
군도,18시-20시,994,43,395,914,61
군도,20시-22시,521,12,202,523,41
군도,22시-24시,282,5,100,268,27
고속국도,00시-02시,229,18,100,295,46
고속국도,02시-04시,146,21,79,126,16
고속국도,04시-06시,167,31,128,172,25
고속국도,06시-08시,270,23,104,337,32
고속국도,08시-10시,372,10,143,569,94
고속국도,10시-12시,461,19,192,908,144
고속국도,12시-14시,471,17,200,890,154
고속국도,14시-16시,523,16,226,1036,145
고속국도,16시-18시,539,11,217,943,109
고속국도,18시-20시,482,13,139,694,95
고속국도,20시-22시,307,13,137,447,55
고속국도,22시-24시,256,14,103,339,82
기타,00시-02시,438,8,116,459,37
기타,02시-04시,278,5,86,267,32
기타,04시-06시,307,12,103,269,30
기타,06시-08시,697,15,226,650,44
기타,08시-10시,1471,15,453,1322,155
기타,10시-12시,1443,24,461,1304,117
기타,12시-14시,1558,23,480,1503,141
기타,14시-16시,1781,32,559,1645,177
기타,16시-18시,1879,15,542,1829,207
기타,18시-20시,1960,29,563,1840,201
기타,20시-22시,1210,7,342,1135,128
기타,22시-24시,765,7,217,785,89
