도로형태_대분류,도로형태,가해자차량용도대분류,가해자차량용도중분류,가해자차량용도,사고건수,사망자수,중상자수,경상자수,부상신고자수
단일로,터널안,사업용,노선버스,마을버스,1,0,1,5,1
단일로,터널안,사업용,노선버스,시내버스,2,0,0,4,0
단일로,터널안,사업용,노선버스,시외버스,3,0,4,14,2
단일로,터널안,사업용,노선버스,고속버스,1,0,1,1,0
단일로,터널안,사업용,전세버스,전세버스,5,0,6,22,1
단일로,터널안,사업용,택시,법인택시,14,0,5,29,5
단일로,터널안,사업용,택시,개인택시,11,0,5,21,3
단일로,터널안,사업용,화물차,화물차,65,6,37,96,9
단일로,터널안,사업용,렌터카,렌터카,65,0,25,108,12
단일로,터널안,사업용,덤프트럭,덤프트럭,2,1,1,0,0
단일로,터널안,사업용,기타/건설기계,기타/건설기계,10,1,10,5,3
단일로,터널안,비사업용,승용차,승용차,439,9,169,776,87
단일로,터널안,비사업용,버스,버스,7,0,2,15,1
단일로,터널안,비사업용,화물차,화물차,85,2,33,162,14
단일로,터널안,비사업용,기타/건설기계,기타/건설기계,12,1,2,15,5
단일로,터널안,이륜차,이륜차,이륜차,33,1,12,19,11
단일로,터널안,원동기장치자전거,원동기장치자전거,원동기장치자전거,2,0,1,1,1
단일로,터널안,자전거,자전거,자전거,7,0,0,6,1
단일로,터널안,불명,불명,불명,9,0,0,7,4
단일로,교량위,사업용,노선버스,마을버스,2,0,2,7,8
단일로,교량위,사업용,노선버스,시내버스,16,0,7,21,0
단일로,교량위,사업용,노선버스,시외버스,8,0,3,11,1
단일로,교량위,사업용,노선버스,고속버스,1,0,0,1,0
단일로,교량위,사업용,전세버스,전세버스,11,1,15,24,1
단일로,교량위,사업용,택시,법인택시,71,1,20,121,10
단일로,교량위,사업용,택시,개인택시,26,0,7,39,7
단일로,교량위,사업용,화물차,화물차,96,8,42,132,11
단일로,교량위,사업용,렌터카,렌터카,91,0,28,150,17
단일로,교량위,사업용,덤프트럭,덤프트럭,2,0,2,1,0
단일로,교량위,사업용,기타/건설기계,기타/건설기계,37,1,14,40,2
단일로,교량위,비사업용,승용차,승용차,738,23,232,1052,71
단일로,교량위,비사업용,버스,버스,9,0,4,17,1
단일로,교량위,비사업용,어린이통학버스,어린이통학버스,1,0,0,0,2
단일로,교량위,비사업용,화물차,화물차,183,7,88,234,10
단일로,교량위,비사업용,기타/건설기계,기타/건설기계,15,1,5,27,3
단일로,교량위,이륜차,이륜차,이륜차,73,4,32,50,9
단일로,교량위,사륜오토바이(ATV),사륜오토바이(ATV),사륜오토바이(ATV),5,2,2,1,0
단일로,교량위,원동기장치자전거,원동기장치자전거,원동기장치자전거,10,1,4,1,6
단일로,교량위,자전거,자전거,자전거,20,0,6,11,4
단일로,교량위,개인형이동수단(PM),개인형이동수단(PM),개인형이동수단(PM),4,0,2,2,1
단일로,교량위,농기계,농기계,농기계,1,0,2,0,0
단일로,교량위,불명,불명,불명,26,0,1,22,5
단일로,고가도로위,사업용,노선버스,마을버스,2,0,1,3,0
단일로,고가도로위,사업용,노선버스,시내버스,11,0,1,15,2
단일로,고가도로위,사업용,노선버스,시외버스,2,0,0,2,0
단일로,고가도로위,사업용,노선버스,고속버스,1,0,0,1,0
단일로,고가도로위,사업용,전세버스,전세버스,5,0,2,11,0
단일로,고가도로위,사업용,택시,법인택시,42,0,12,57,5
단일로,고가도로위,사업용,택시,개인택시,10,0,2,12,0
단일로,고가도로위,사업용,화물차,화물차,28,2,14,27,1
단일로,고가도로위,사업용,렌터카,렌터카,28,0,3,40,7
단일로,고가도로위,사업용,덤프트럭,덤프트럭,2,0,2,1,0
단일로,고가도로위,사업용,기타/건설기계,기타/건설기계,10,0,2,13,1
단일로,고가도로위,비사업용,승용차,승용차,350,4,96,492,37
단일로,고가도로위,비사업용,버스,버스,5,0,2,6,0
단일로,고가도로위,비사업용,어린이통학버스,어린이통학버스,2,0,0,5,0
단일로,고가도로위,비사업용,화물차,화물차,62,3,20,84,5
단일로,고가도로위,비사업용,위험물운송,위험물운송,1,0,0,1,0
