도로형태_대분류,도로형태,가해자차종,사고건수,사망자수,중상자수,경상자수,부상신고자수
단일로,터널안,승용차,524,9,203,921,107
단일로,터널안,승합차,33,1,17,84,9
단일로,터널안,화물차,137,6,64,242,23
단일로,터널안,특수차,15,3,7,16,0
단일로,터널안,이륜차,33,1,12,19,11
단일로,터널안,원동기장치자전거,2,0,1,1,1
단일로,터널안,자전거,7,0,0,6,1
단일로,터널안,건설기계,13,1,10,10,4
단일로,터널안,불명,9,0,0,7,4
단일로,교량위,승용차,926,24,287,1362,105
단일로,교량위,승합차,61,2,35,105,16
단일로,교량위,화물차,257,10,116,339,19
단일로,교량위,특수차,24,5,16,28,2
단일로,교량위,이륜차,73,4,32,50,9
단일로,교량위,사륜오토바이(ATV),5,2,2,1,0
단일로,교량위,원동기장치자전거,10,1,4,1,6
단일로,교량위,자전거,20,0,6,11,4
단일로,교량위,개인형이동수단(PM),4,0,2,2,1
단일로,교량위,건설기계,39,1,15,43,2
단일로,교량위,농기계,1,0,2,0,0
단일로,교량위,불명,26,0,1,22,5
단일로,고가도로위,승용차,429,4,113,600,49
단일로,고가도로위,승합차,36,3,10,52,3
단일로,고가도로위,화물차,83,5,30,105,6
단일로,고가도로위,특수차,10,0,6,8,0
단일로,고가도로위,이륜차,42,3,17,25,5
단일로,고가도로위,원동기장치자전거,4,0,2,1,1
단일로,고가도로위,자전거,3,0,2,1,0
단일로,고가도로위,개인형이동수단(PM),1,0,0,1,0
단일로,고가도로위,건설기계,13,0,2,16,1
단일로,고가도로위,불명,25,0,2,24,3
단일로,지하차도(도로)내,승용차,1675,35,540,1930,125
단일로,지하차도(도로)내,승합차,178,6,79,238,21
단일로,지하차도(도로)내,화물차,365,13,152,411,33
단일로,지하차도(도로)내,특수차,14,1,4,10,0
단일로,지하차도(도로)내,이륜차,232,8,77,170,41
단일로,지하차도(도로)내,사륜오토바이(ATV),5,0,3,1,1
단일로,지하차도(도로)내,원동기장치자전거,26,1,11,16,2
단일로,지하차도(도로)내,자전거,47,2,21,24,5
단일로,지하차도(도로)내,건설기계,36,4,17,45,2
단일로,지하차도(도로)내,농기계,8,1,3,5,0
단일로,지하차도(도로)내,기타,2,0,0,2,0
단일로,지하차도(도로)내,불명,26,1,3,19,5
단일로,기타단일로,승용차,63741,888,18708,70938,6091
단일로,기타단일로,승합차,7007,101,2552,7488,895
단일로,기타단일로,화물차,13052,481,4634,13860,1070
단일로,기타단일로,특수차,606,19,238,703,42
단일로,기타단일로,이륜차,7631,222,2488,5304,1492
단일로,기타단일로,사륜오토바이(ATV),162,25,65,73,17
단일로,기타단일로,원동기장치자전거,891,13,289,588,195
단일로,기타단일로,자전거,2494,36,703,1420,577
단일로,기타단일로,개인형이동수단(PM),192,5,63,111,25
