도로형태_대분류,도로형태,기상상태,사고건수,사망자수,중상자수,경상자수,부상신고자수
단일로,터널안,맑음,707,19,286,1215,139
단일로,터널안,흐림,19,0,10,31,15
단일로,터널안,비,42,2,17,55,4
단일로,터널안,눈,2,0,0,2,0
단일로,터널안,기타/불명,3,0,1,3,2
단일로,교량위,맑음,1250,39,433,1703,146
단일로,교량위,흐림,61,2,19,76,2
단일로,교량위,비,109,5,57,153,20
단일로,교량위,안개,9,2,3,14,1
단일로,교량위,눈,9,1,4,10,0
단일로,교량위,기타/불명,8,0,2,8,0
단일로,고가도로위,맑음,540,12,149,690,52
단일로,고가도로위,흐림,20,3,5,31,6
단일로,고가도로위,비,77,0,28,96,9
단일로,고가도로위,안개,2,0,0,8,0
단일로,고가도로위,눈,2,0,2,1,0
단일로,고가도로위,기타/불명,5,0,0,7,1
단일로,지하차도(도로)내,맑음,2287,65,778,2549,199
단일로,지하차도(도로)내,흐림,124,3,38,132,9
단일로,지하차도(도로)내,비,191,4,90,182,25
단일로,지하차도(도로)내,안개,2,0,1,1,0
단일로,지하차도(도로)내,눈,5,0,2,4,0
단일로,지하차도(도로)내,기타/불명,5,0,1,3,2
단일로,기타단일로,맑음,89715,1574,27267,93703,10016
단일로,기타단일로,흐림,2839,113,977,2787,290
단일로,기타단일로,비,5979,148,1991,6178,671
단일로,기타단일로,안개,111,6,59,143,15
단일로,기타단일로,눈,210,6,85,268,31
단일로,기타단일로,기타/불명,536,11,173,469,52
교차로,교차로내,맑음,65133,641,21897,73282,6461
교차로,교차로내,흐림,2119,33,698,2402,207
교차로,교차로내,비,4552,40,1500,5188,455
교차로,교차로내,안개,69,0,36,69,5
교차로,교차로내,눈,99,1,35,121,8
교차로,교차로내,기타/불명,289,2,113,315,23
교차로,교차로횡단보도내,맑음,7224,139,3142,4318,417
교차로,교차로횡단보도내,흐림,274,9,112,163,17
교차로,교차로횡단보도내,비,639,12,293,380,23
교차로,교차로횡단보도내,안개,4,0,1,3,0
교차로,교차로횡단보도내,눈,15,0,9,6,0
교차로,교차로횡단보도내,기타/불명,46,1,14,31,3
교차로,교차로부근,맑음,30273,274,8154,34699,3079
교차로,교차로부근,흐림,1054,23,310,1187,104
교차로,교차로부근,비,2345,26,626,2846,236
교차로,교차로부근,안개,25,1,12,26,1
교차로,교차로부근,눈,59,0,16,71,5
교차로,교차로부근,기타/불명,206,3,55,235,13
철길건널목,철길건널목,맑음,7,0,8,5,0
철길건널목,철길건널목,흐림,1,2,0,0,0
기타,기타,맑음,9300,115,2522,8727,1001
기타,기타,흐림,245,3,63,224,32
기타,기타,비,442,7,129,418,52
기타,기타,안개,9,0,2,11,0
기타,기타,눈,16,0,4,21,3
기타,기타,기타/불명,223,1,54,203,25
불명,불명,맑음,55,1,20,47,4
불명,불명,흐림,2,0,0,2,0
불명,불명,비,1,0,1,0,0
불명,불명,기타/불명,5,0,2,2,1
