도로형태_대분류,도로형태,시간대,사고건수,사망자수,중상자수,경상자수,부상신고자수
단일로,터널안,00시-02시,30,2,10,31,6
단일로,터널안,02시-04시,21,2,8,12,3
단일로,터널안,04시-06시,16,0,6,18,0
단일로,터널안,06시-08시,55,1,16,90,11
단일로,터널안,08시-10시,101,3,41,148,25
단일로,터널안,10시-12시,108,1,47,194,16
단일로,터널안,12시-14시,78,3,29,130,45
단일로,터널안,14시-16시,123,3,62,251,19
단일로,터널안,16시-18시,92,1,40,183,20
단일로,터널안,18시-20시,84,2,29,163,10
단일로,터널안,20시-22시,27,2,8,29,0
단일로,터널안,22시-24시,38,1,18,57,5
단일로,교량위,00시-02시,56,7,22,58,6
단일로,교량위,02시-04시,42,2,19,44,3
단일로,교량위,04시-06시,52,6,36,43,6
단일로,교량위,06시-08시,125,3,49,156,9
단일로,교량위,08시-10시,155,5,63,196,12
단일로,교량위,10시-12시,141,5,45,215,22
단일로,교량위,12시-14시,132,2,38,203,12
단일로,교량위,14시-16시,137,5,56,202,20
단일로,교량위,16시-18시,173,6,49,283,17
단일로,교량위,18시-20시,206,5,59,258,22
단일로,교량위,20시-22시,129,2,42,168,15
단일로,교량위,22시-24시,98,1,40,138,25
단일로,고가도로위,00시-02시,41,2,13,54,3
단일로,고가도로위,02시-04시,22,0,13,16,5
단일로,고가도로위,04시-06시,24,4,13,23,3
단일로,고가도로위,06시-08시,44,2,13,53,2
단일로,고가도로위,08시-10시,75,2,18,92,6
단일로,고가도로위,10시-12시,62,0,16,67,5
단일로,고가도로위,12시-14시,62,1,17,93,10
단일로,고가도로위,14시-16시,60,0,11,86,9
단일로,고가도로위,16시-18시,77,1,30,100,7
단일로,고가도로위,18시-20시,95,2,18,117,11
단일로,고가도로위,20시-22시,53,1,12,82,6
단일로,고가도로위,22시-24시,31,0,10,50,1
단일로,지하차도(도로)내,00시-02시,93,7,28,89,11
단일로,지하차도(도로)내,02시-04시,65,1,31,67,2
단일로,지하차도(도로)내,04시-06시,87,4,36,78,8
단일로,지하차도(도로)내,06시-08시,160,5,58,162,17
단일로,지하차도(도로)내,08시-10시,265,10,88,335,26
단일로,지하차도(도로)내,10시-12시,277,8,95,317,24
단일로,지하차도(도로)내,12시-14시,270,5,93,289,17
단일로,지하차도(도로)내,14시-16시,319,4,115,323,26
단일로,지하차도(도로)내,16시-18시,345,7,118,411,32
단일로,지하차도(도로)내,18시-20시,369,7,129,442,40
단일로,지하차도(도로)내,20시-22시,218,10,71,215,22
단일로,지하차도(도로)내,22시-24시,146,4,48,143,10
단일로,기타단일로,00시-02시,4196,128,1280,4274,472
단일로,기타단일로,02시-04시,2512,110,843,2378,298
단일로,기타단일로,04시-06시,2611,147,1077,2234,312
단일로,기타단일로,06시-08시,5398,167,1880,5266,506
단일로,기타단일로,08시-10시,10048,125,2984,10389,1049
단일로,기타단일로,10시-12시,9517,157,3059,10001,1075
단일로,기타단일로,12시-14시,10526,131,3292,11508,1197
단일로,기타단일로,14시-16시,11673,171,3636,12763,1343
단일로,기타단일로,16시-18시,13134,164,3888,14151,1505
단일로,기타단일로,18시-20시,13993,239,3956,14424,1446
단일로,기타단일로,20시-22시,9071,186,2716,9169,1063
단일로,기타단일로,22시-24시,6711,133,1941,6991,809
교차로,교차로내,00시-02시,3012,44,1135,3742,277
교차로,교차로내,02시-04시,1745,25,700,2156,193
교차로,교차로내,04시-06시,2115,47,875,2349,201
교차로,교차로내,06시-08시,4451,60,1674,4672,366
교차로,교차로내,08시-10시,7960,70,2582,8729,741
교차로,교차로내,10시-12시,7190,84,2502,8052,621
교차로,교차로내,12시-14시,7651,58,2582,8747,866
교차로,교차로내,14시-16시,7814,74,2569,8826,818
교차로,교차로내,16시-18시,8868,72,2712,10117,962
교차로,교차로내,18시-20시,9953,77,3181,10814,992
교차로,교차로내,20시-22시,6759,67,2214,7588,635
교차로,교차로내,22시-24시,4743,39,1553,5585,487
교차로,교차로횡단보도내,00시-02시,290,3,125,196,17
교차로,교차로횡단보도내,02시-04시,155,9,71,87,9
교차로,교차로횡단보도내,04시-06시,254,18,136,110,12
교차로,교차로횡단보도내,06시-08시,503,19,253,243,19
교차로,교차로횡단보도내,08시-10시,906,13,378,527,53
교차로,교차로횡단보도내,10시-12시,675,10,321,370,37
교차로,교차로횡단보도내,12시-14시,716,13,304,445,36
교차로,교차로횡단보도내,14시-16시,884,19,369,557,51
교차로,교차로횡단보도내,16시-18시,1023,10,415,632,59
교차로,교차로횡단보도내,18시-20시,1245,14,554,736,70
교차로,교차로횡단보도내,20시-22시,965,18,411,610,65
교차로,교차로횡단보도내,22시-24시,586,15,234,388,32
교차로,교차로부근,00시-02시,1616,19,470,1947,175
교차로,교차로부근,02시-04시,915,18,270,1064,90
교차로,교차로부근,04시-06시,971,31,332,1007,66
교차로,교차로부근,06시-08시,1927,32,580,2058,149
교차로,교차로부근,08시-10시,3413,29,901,3756,328
교차로,교차로부근,10시-12시,3234,40,930,3647,295
교차로,교차로부근,12시-14시,3370,28,935,3924,353
교차로,교차로부근,14시-16시,3666,25,995,4176,399
교차로,교차로부근,16시-18시,4052,15,1047,4691,457
교차로,교차로부근,18시-20시,4549,38,1109,5212,482
교차로,교차로부근,20시-22시,3555,29,899,4271,384
교차로,교차로부근,22시-24시,2694,23,705,3311,260
철길건널목,철길건널목,06시-08시,1,2,0,0,0
철길건널목,철길건널목,08시-10시,2,0,2,0,0
철길건널목,철길건널목,12시-14시,1,0,2,0,0
철길건널목,철길건널목,14시-16시,2,0,1,1,0
철길건널목,철길건널목,18시-20시,1,0,1,0,0
철길건널목,철길건널목,22시-24시,1,0,2,4,0
기타,기타,00시-02시,372,11,92,386,51
기타,기타,02시-04시,225,5,56,204,25
기타,기타,04시-06시,229,5,67,196,41
기타,기타,06시-08시,509,12,157,462,36
기타,기타,08시-10시,1036,12,272,978,116
기타,기타,10시-12시,1063,13,307,943,103
기타,기타,12시-14시,1229,14,303,1228,132
기타,기타,14시-16시,1230,11,324,1155,135
기타,기타,16시-18시,1381,16,365,1274,158
기타,기타,18시-20시,1423,15,403,1332,151
기타,기타,20시-22시,881,2,228,847,92
기타,기타,22시-24시,657,10,200,599,73
불명,불명,00시-02시,2,0,0,2,0
불명,불명,02시-04시,1,0,0,1,0
불명,불명,06시-08시,5,0,2,3,0
불명,불명,08시-10시,10,0,2,12,2
불명,불명,10시-12시,4,0,2,4,0
불명,불명,12시-14시,9,0,5,6,1
불명,불명,14시-16시,2,1,0,2,0
불명,불명,16시-18시,14,0,5,11,0
불명,불명,18시-20시,5,0,3,5,0
불명,불명,20시-22시,9,0,3,5,1
불명,불명,22시-24시,2,0,1,0,1
