도로형태_대분류,도로형태,요일,사고건수,사망자수,중상자수,경상자수,부상신고자수
단일로,터널안,일,87,1,39,171,26
단일로,터널안,월,118,3,49,197,42
단일로,터널안,화,140,4,59,180,28
단일로,터널안,수,75,5,27,108,10
단일로,터널안,목,114,3,42,179,22
단일로,터널안,금,130,2,39,241,17
단일로,터널안,토,109,3,59,230,15
단일로,교량위,일,164,7,57,262,13
단일로,교량위,월,213,7,68,233,21
단일로,교량위,화,222,6,84,265,31
단일로,교량위,수,205,6,88,315,31
단일로,교량위,목,173,10,57,231,27
단일로,교량위,금,237,6,68,283,25
단일로,교량위,토,232,7,96,375,21
단일로,고가도로위,일,73,2,26,102,7
단일로,고가도로위,월,71,3,22,80,11
단일로,고가도로위,화,96,1,36,122,5
단일로,고가도로위,수,113,1,27,140,14
단일로,고가도로위,목,84,4,16,101,5
단일로,고가도로위,금,112,0,22,172,15
단일로,고가도로위,토,97,4,35,116,11
단일로,지하차도(도로)내,일,309,10,127,353,21
단일로,지하차도(도로)내,월,372,9,132,421,28
단일로,지하차도(도로)내,화,379,8,126,373,27
단일로,지하차도(도로)내,수,433,6,146,493,52
단일로,지하차도(도로)내,목,336,12,102,365,32
단일로,지하차도(도로)내,금,406,14,144,432,34
단일로,지하차도(도로)내,토,379,13,133,434,41
단일로,기타단일로,일,11116,216,3695,12723,1416
단일로,기타단일로,월,14262,295,4249,14313,1552
단일로,기타단일로,화,14707,251,4431,14698,1561
단일로,기타단일로,수,14301,263,4311,14313,1467
단일로,기타단일로,목,14320,283,4403,14305,1471
단일로,기타단일로,금,15946,279,4794,16369,1831
단일로,기타단일로,토,14738,271,4669,16827,1777
교차로,교차로내,일,8092,63,2830,10235,920
교차로,교차로내,월,10626,131,3526,11560,964
교차로,교차로내,화,10748,118,3657,11564,1053
교차로,교차로내,수,10758,111,3552,11805,1048
교차로,교차로내,목,10486,94,3469,11452,966
교차로,교차로내,금,11301,122,3747,12335,1095
교차로,교차로내,토,10250,78,3498,12426,1113
교차로,교차로횡단보도내,일,742,12,320,464,44
교차로,교차로횡단보도내,월,1275,27,561,730,68
교차로,교차로횡단보도내,화,1246,21,548,748,81
교차로,교차로횡단보도내,수,1351,25,593,792,78
교차로,교차로횡단보도내,목,1264,30,563,745,59
교차로,교차로횡단보도내,금,1372,30,591,813,67
교차로,교차로횡단보도내,토,952,16,395,609,63
교차로,교차로부근,일,3912,39,1105,4986,455
교차로,교차로부근,월,4914,41,1278,5422,445
교차로,교차로부근,화,5030,48,1337,5544,530
교차로,교차로부근,수,4890,57,1327,5517,456
교차로,교차로부근,목,4974,49,1339,5463,502
교차로,교차로부근,금,5326,55,1455,5931,525
교차로,교차로부근,토,4916,38,1332,6201,525
철길건널목,철길건널목,일,1,0,2,4,0
철길건널목,철길건널목,월,2,0,1,1,0
철길건널목,철길건널목,화,3,0,4,0,0
철길건널목,철길건널목,수,1,0,1,0,0
철길건널목,철길건널목,목,1,2,0,0,0
기타,기타,일,1158,11,310,1169,178
기타,기타,월,1476,23,376,1347,140
기타,기타,화,1551,22,393,1439,157
기타,기타,수,1476,19,420,1284,144
기타,기타,목,1477,16,414,1318,140
기타,기타,금,1583,20,438,1464,188
기타,기타,토,1514,15,423,1583,166
불명,불명,일,4,0,1,2,1
불명,불명,월,11,1,7,5,1
불명,불명,화,11,0,2,11,1
불명,불명,수,12,0,4,11,1
불명,불명,목,12,0,4,9,1
불명,불명,금,9,0,4,9,0
불명,불명,토,4,0,1,4,0
