시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,중구,1,0,2,0,0
서울,강남구,2,0,2,1,1
서울,강동구,33,0,11,48,17
서울,송파구,23,0,1,28,6
서울,서초구,42,0,22,89,60
서울,양천구,3,1,1,5,0
서울,중랑구,4,1,1,1,2
서울,노원구,7,1,1,11,1
서울,금천구,5,0,1,11,0
부산,해운대구,2,0,0,3,0
부산,사하구,1,0,1,0,0
부산,금정구,23,0,6,40,3
부산,강서구,44,1,18,64,5
부산,사상구,4,0,0,5,0
부산,기장군,15,0,7,27,0
경기,수원시,63,2,26,67,16
경기,성남시,170,3,69,269,74
경기,의정부시,27,0,6,41,10
경기,안양시,65,1,14,84,15
경기,부천시,56,1,16,78,2
경기,안산시,73,3,12,109,11
경기,평택시,116,8,47,191,42
경기,광명시,27,0,7,46,2
경기,구리시,93,0,16,99,42
경기,양주시,17,0,7,18,2
경기,여주시,44,2,31,81,25
경기,화성시,172,4,58,283,43
경기,시흥시,96,7,23,128,10
경기,파주시,1,0,0,1,0
경기,고양시,30,0,10,28,7
경기,광주시,29,2,9,51,21
경기,포천시,7,0,5,7,4
경기,가평군,12,0,14,29,0
경기,양평군,18,0,8,26,4
경기,이천시,58,11,36,87,14
경기,용인시,241,5,100,453,167
경기,안성시,89,2,28,140,41
경기,김포시,32,1,8,36,6
경기,과천시,1,0,0,2,1
경기,군포시,38,0,19,45,14
경기,남양주시,75,3,24,90,36
경기,오산시,69,1,14,127,23
경기,의왕시,46,4,19,64,24
경기,하남시,115,3,35,140,37
강원,춘천시,26,2,9,84,2
강원,원주시,33,1,10,66,1
강원,동해시,6,1,2,8,0
강원,강릉시,19,2,8,37,5
강원,속초시,3,0,4,4,0
강원,삼척시,1,0,4,0,0
강원,홍천군,22,3,6,32,9
강원,횡성군,19,1,3,39,2
강원,평창군,16,0,4,32,1
강원,인제군,4,0,3,5,0
강원,양양군,11,0,3,28,5
충북,청주시,96,6,41,160,16
충북,충주시,54,2,36,128,9
충북,제천시,8,0,12,24,0
충북,보은군,20,2,16,45,3
충북,옥천군,5,1,4,5,0
충북,영동군,11,2,10,9,0
충북,진천군,36,1,24,89,8
충북,괴산군,16,0,5,32,5
충북,음성군,30,3,20,41,2
충북,단양군,6,2,4,19,10
충북,증평군,2,0,0,6,0
충남,천안시,115,4,33,217,7
충남,보령시,13,5,9,13,4
충남,공주시,60,7,28,123,7
충남,서산시,11,2,3,17,2
충남,금산군,4,0,1,12,0
충남,논산시,20,0,11,27,3
충남,부여군,2,1,3,1,0
충남,서천군,5,0,3,3,0
충남,청양군,2,0,1,2,0
충남,홍성군,6,0,3,12,0
충남,예산군,4,0,1,4,0
충남,당진시,40,4,26,77,0
전북,전주시,10,1,6,15,1
전북,군산시,7,0,7,24,3
전북,정읍시,12,1,3,26,0
전북,남원시,6,2,3,16,0
전북,김제시,15,2,14,28,5
전북,완주군,14,0,8,29,1
전북,진안군,1,0,1,1,0
전북,무주군,3,0,3,11,0
전북,장수군,2,0,1,1,0
전북,임실군,8,0,3,17,3
전북,순창군,3,0,1,4,0
전북,고창군,6,2,1,6,0
전북,부안군,8,0,1,17,0
전북,익산시,13,0,6,23,2
전남,순천시,30,3,15,39,0
전남,나주시,6,0,2,14,0
전남,광양시,11,1,6,8,0
전남,담양군,14,1,11,21,0
전남,곡성군,15,1,3,21,0
전남,구례군,2,0,3,2,0
전남,보성군,6,0,6,11,0
전남,장흥군,2,0,1,5,0
전남,강진군,1,0,0,1,0
전남,영암군,1,0,0,2,0
전남,무안군,17,0,3,29,0
전남,함평군,10,1,5,12,3
전남,장성군,20,0,9,43,0
경북,포항시,4,1,4,5,0
경북,경주시,21,1,14,30,2
경북,김천시,20,3,9,26,0
경북,안동시,6,0,1,15,2
경북,구미시,23,0,15,42,0
경북,영주시,3,1,2,9,0
경북,영천시,36,4,18,47,2
경북,문경시,24,1,8,50,2
경북,상주시,22,5,13,32,0
경북,군위군,21,8,32,39,1
경북,의성군,5,0,2,6,0
경북,청송군,3,0,3,2,0
경북,영덕군,1,0,0,0,1
경북,청도군,9,1,6,7,1
경북,고령군,6,0,2,10,0
경북,성주군,4,0,1,7,0
경북,칠곡군,44,0,31,61,0
경북,예천군,2,0,2,3,0
경북,경산시,15,1,5,15,0
경남,진주시,18,2,12,20,2
경남,통영시,2,0,3,1,0
경남,김해시,126,3,40,214,8
경남,밀양시,13,1,11,15,1
경남,함안군,48,3,30,74,11
경남,창녕군,10,1,9,11,0
경남,양산시,64,3,29,103,5
경남,고성군,3,0,3,3,0
경남,사천시,6,0,4,14,1
경남,하동군,8,1,4,16,0
경남,산청군,3,0,3,3,2
경남,함양군,13,2,13,18,0
경남,거창군,2,0,1,2,0
경남,합천군,5,1,2,11,0
경남,창원시(통합),34,1,25,89,14
대구,동구,41,3,25,75,0
대구,서구,24,0,5,41,2
대구,북구,43,5,20,63,1
대구,수성구,1,0,0,4,0
대구,달서구,9,0,4,11,0
대구,달성군,29,7,12,45,2
인천,중구,19,0,13,17,1
인천,동구,4,0,2,7,0
인천,미추홀구,10,4,4,7,1
인천,부평구,64,1,14,92,6
인천,남동구,61,0,19,85,9
인천,서구,16,1,7,20,1
인천,연수구,8,0,1,17,2
인천,계양구,47,1,11,53,5
광주,북구,32,0,7,55,2
광주,광산구,18,0,9,26,0
대전,동구,12,2,3,23,1
대전,중구,2,0,0,4,0
대전,서구,6,0,2,11,0
대전,유성구,15,0,5,22,0
대전,대덕구,24,2,9,30,0
울산,중구,2,0,0,2,1
울산,울주군,51,2,29,66,1
세종,세종시,3,0,3,0,0
