시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,184,2,62,115,24
서울,중구,151,3,67,74,12
서울,용산구,144,2,50,96,5
서울,성동구,162,8,57,98,5
서울,동대문구,315,5,123,173,28
서울,성북구,262,5,115,150,13
서울,도봉구,189,1,93,83,18
서울,은평구,246,5,104,127,19
서울,서대문구,211,11,78,103,36
서울,마포구,192,3,67,122,15
서울,강서구,276,8,91,168,24
서울,구로구,230,5,85,143,7
서울,영등포구,341,2,126,211,38
서울,동작구,203,1,90,111,23
서울,관악구,194,5,79,108,15
서울,강남구,352,6,94,240,32
서울,강동구,286,5,108,153,32
서울,송파구,395,2,137,240,45
서울,서초구,284,5,80,204,24
서울,양천구,237,3,85,145,17
서울,중랑구,276,7,113,154,28
서울,노원구,297,2,105,178,28
서울,광진구,128,1,51,73,9
서울,강북구,217,3,81,134,11
서울,금천구,140,3,50,87,11
부산,중구,59,1,23,31,7
부산,서구,122,1,46,70,13
부산,동구,112,1,45,63,12
부산,영도구,92,2,45,46,5
부산,부산진구,305,5,129,168,26
부산,동래구,213,1,85,120,18
부산,남구,168,4,81,86,10
부산,북구,110,4,48,61,10
부산,해운대구,176,8,84,77,23
부산,사하구,192,6,87,102,12
부산,금정구,149,3,60,90,9
부산,강서구,79,4,34,40,5
부산,연제구,138,1,52,88,11
부산,수영구,131,0,60,77,8
부산,사상구,184,6,69,96,27
부산,기장군,95,6,45,61,4
경기,수원시,639,8,223,410,57
경기,성남시,564,14,223,332,74
경기,의정부시,261,7,92,160,24
경기,안양시,246,4,109,140,14
경기,부천시,515,11,216,292,34
경기,안산시,415,7,147,282,14
경기,평택시,458,16,182,238,71
경기,광명시,184,5,80,90,25
경기,구리시,115,1,49,74,5
경기,양주시,172,9,43,122,14
경기,여주시,148,10,47,104,9
경기,화성시,323,6,126,215,18
경기,시흥시,231,6,87,146,15
경기,파주시,226,6,90,123,23
경기,고양시,580,19,236,354,62
경기,광주시,284,7,89,214,15
경기,연천군,60,3,30,33,3
경기,포천시,179,9,83,102,21
경기,가평군,93,4,38,62,5
경기,양평군,139,5,51,89,13
경기,이천시,166,8,74,104,9
경기,용인시,479,8,182,291,77
경기,안성시,178,8,63,130,12
경기,김포시,305,9,127,202,15
경기,동두천시,92,3,33,54,7
경기,과천시,26,0,9,12,8
경기,군포시,101,1,36,66,10
경기,남양주시,378,15,137,263,34
경기,오산시,134,3,49,80,17
경기,의왕시,86,2,32,56,10
경기,하남시,146,8,59,81,16
강원,춘천시,288,9,101,215,15
강원,원주시,336,12,137,204,31
강원,동해시,89,5,40,59,0
강원,강릉시,170,5,74,110,4
강원,속초시,73,3,33,43,3
강원,태백시,51,1,21,34,2
강원,삼척시,110,7,58,68,3
강원,홍천군,92,8,34,66,5
강원,횡성군,59,3,37,31,2
강원,영월군,45,3,19,13,19
강원,평창군,52,4,28,27,0
강원,정선군,22,3,10,13,2
강원,철원군,41,4,14,30,0
강원,화천군,29,3,11,22,0
강원,양구군,29,1,23,9,1
강원,인제군,30,2,27,13,0
강원,고성군,25,0,11,19,1
강원,양양군,43,4,29,30,11
충북,청주시,757,22,304,502,38
충북,충주시,282,13,116,185,21
충북,제천시,214,7,89,135,9
충북,보은군,66,13,39,29,2
충북,옥천군,87,5,55,37,7
충북,영동군,73,3,55,36,1
충북,진천군,95,3,42,64,5
충북,괴산군,66,7,45,22,2
충북,음성군,139,7,74,84,3
충북,단양군,44,3,24,20,5
충북,증평군,55,3,28,26,2
충남,천안시,362,12,141,228,15
충남,아산시,146,14,75,60,8
충남,보령시,129,6,90,56,0
충남,공주시,151,8,71,97,9
충남,서산시,166,13,86,72,15
충남,금산군,57,5,26,35,0
충남,태안군,129,14,71,52,16
충남,논산시,135,18,77,57,6
충남,부여군,92,9,67,30,2
충남,서천군,159,11,70,92,10
충남,청양군,83,9,37,43,0
충남,홍성군,104,11,63,45,0
충남,예산군,147,9,72,83,0
충남,당진시,168,9,92,90,6
충남,계룡시,16,1,10,8,0
전북,전주시,428,16,202,248,1
전북,군산시,282,14,89,203,6
전북,정읍시,214,14,98,141,0
전북,남원시,128,2,82,65,0
전북,김제시,179,15,70,137,1
전북,완주군,78,9,37,41,3
전북,진안군,42,5,31,30,1
전북,무주군,37,5,29,15,1
전북,장수군,32,6,17,9,0
전북,임실군,39,3,18,28,0
전북,순창군,61,6,22,29,9
전북,고창군,72,10,37,52,1
전북,부안군,129,11,62,74,2
전북,익산시,328,19,131,214,7
전남,목포시,340,6,113,276,5
전남,여수시,312,11,121,208,16
전남,순천시,310,13,115,235,10
전남,나주시,184,11,73,137,2
전남,광양시,136,10,76,76,5
전남,담양군,122,11,46,93,1
전남,곡성군,62,6,42,36,4
전남,구례군,67,7,28,47,8
전남,고흥군,157,10,95,108,7
전남,보성군,125,14,59,82,3
전남,화순군,111,9,55,64,13
전남,장흥군,126,8,72,72,2
전남,강진군,141,3,66,92,19
전남,해남군,165,14,75,115,4
전남,영암군,130,4,67,89,2
전남,무안군,101,10,49,62,0
전남,함평군,80,5,24,52,17
전남,영광군,100,9,47,64,7
전남,장성군,85,6,43,58,6
전남,완도군,70,3,43,47,0
전남,진도군,62,6,36,33,1
전남,신안군,70,1,37,54,4
경북,포항시,557,21,204,387,28
경북,경주시,444,14,253,277,33
경북,김천시,188,11,84,108,1
경북,안동시,275,12,135,161,5
경북,구미시,249,10,115,127,27
경북,영주시,193,7,91,83,22
경북,영천시,237,18,85,185,7
경북,문경시,131,3,54,82,3
경북,상주시,225,14,107,135,1
경북,군위군,52,6,28,24,0
경북,의성군,123,13,83,44,0
경북,청송군,37,6,21,18,1
경북,영양군,31,2,17,19,0
경북,영덕군,82,6,32,52,7
경북,청도군,82,8,31,54,3
경북,고령군,51,4,22,34,3
경북,성주군,93,6,37,64,0
경북,칠곡군,136,4,75,69,18
경북,예천군,99,5,76,33,0
경북,봉화군,61,2,21,43,17
경북,울진군,55,4,37,22,1
경북,울릉군,8,0,3,9,1
경북,경산시,221,10,105,112,9
경남,진주시,191,12,129,54,7
경남,통영시,154,1,73,92,13
경남,김해시,349,8,161,200,14
경남,밀양시,159,9,103,64,1
경남,거제시,126,4,70,73,4
경남,의령군,67,3,34,40,4
경남,함안군,100,7,44,63,4
경남,창녕군,118,3,78,42,10
경남,양산시,207,8,99,102,18
경남,고성군,77,6,49,34,0
경남,사천시,184,6,92,98,14
경남,남해군,83,4,61,19,15
경남,하동군,64,7,34,30,5
경남,산청군,74,2,40,39,8
경남,함양군,88,3,53,42,12
경남,거창군,86,5,46,41,6
경남,합천군,76,7,54,26,0
경남,창원시(통합),586,31,294,295,27
제주,제주시,473,16,181,262,59
제주,서귀포시,280,15,115,154,40
대구,중구,146,6,54,74,20
대구,동구,357,9,135,240,22
대구,서구,251,3,98,141,34
대구,남구,175,3,69,96,21
대구,북구,403,9,175,205,41
대구,수성구,366,6,140,217,35
대구,달서구,517,4,188,320,39
대구,달성군,148,4,69,84,15
인천,중구,99,3,43,57,3
인천,동구,28,2,11,14,3
인천,미추홀구,173,7,70,87,16
인천,부평구,159,5,54,96,7
인천,남동구,224,5,84,139,12
인천,서구,176,12,75,102,4
인천,연수구,64,4,28,34,1
인천,계양구,115,5,53,60,4
인천,강화군,73,6,34,40,2
인천,옹진군,8,1,5,3,4
광주,동구,125,1,54,72,6
광주,서구,250,3,61,199,6
광주,북구,400,12,116,298,19
광주,광산구,238,6,74,173,12
광주,남구,182,3,51,147,8
대전,동구,307,9,103,224,5
대전,중구,277,6,111,191,13
대전,서구,325,7,113,237,14
대전,유성구,237,8,76,170,9
대전,대덕구,122,4,56,69,3
울산,중구,128,2,50,73,11
울산,남구,188,2,77,110,9
울산,동구,86,1,34,49,4
울산,북구,78,3,37,37,5
울산,울주군,143,9,70,81,12
세종,세종시,134,8,79,74,0
