시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,59,2,32,15,11
서울,중구,49,2,31,14,3
서울,용산구,41,1,25,15,1
서울,성동구,57,5,33,20,1
서울,동대문구,136,2,76,50,8
서울,성북구,129,3,72,53,4
서울,도봉구,92,1,63,25,6
서울,은평구,114,2,66,43,4
서울,서대문구,87,6,53,26,3
서울,마포구,64,3,40,17,4
서울,강서구,109,6,57,42,4
서울,구로구,92,3,55,34,1
서울,영등포구,123,1,63,52,9
서울,동작구,93,1,57,30,10
서울,관악구,96,4,50,42,3
서울,강남구,91,5,41,43,3
서울,강동구,125,5,67,48,5
서울,송파구,117,1,65,44,7
서울,서초구,68,5,33,28,2
서울,양천구,94,2,52,38,5
서울,중랑구,125,5,69,47,5
서울,노원구,112,2,60,49,4
서울,광진구,42,1,21,18,4
서울,강북구,99,2,57,38,3
서울,금천구,54,2,31,20,1
부산,중구,30,1,12,15,2
부산,서구,53,1,27,23,2
부산,동구,50,1,32,15,2
부산,영도구,56,2,34,17,3
부산,부산진구,141,4,85,50,3
부산,동래구,92,1,59,29,3
부산,남구,80,3,47,28,3
부산,북구,50,2,29,17,3
부산,해운대구,99,5,64,23,8
부산,사하구,94,6,50,37,2
부산,금정구,65,3,32,28,2
부산,강서구,19,1,10,8,0
부산,연제구,57,1,27,29,3
부산,수영구,65,0,35,28,4
부산,사상구,68,4,39,25,3
부산,기장군,38,3,22,13,0
경기,수원시,202,3,111,80,10
경기,성남시,178,10,99,68,6
경기,의정부시,92,6,48,36,3
경기,안양시,88,2,59,27,1
경기,부천시,179,3,104,64,9
경기,안산시,117,5,65,45,2
경기,평택시,123,5,68,44,8
경기,광명시,67,4,37,20,7
경기,구리시,45,1,29,15,0
경기,양주시,35,3,13,17,2
경기,여주시,30,6,10,12,2
경기,화성시,88,5,46,36,2
경기,시흥시,58,3,36,19,0
경기,파주시,88,2,51,31,6
경기,고양시,182,11,93,71,11
경기,광주시,74,5,42,28,0
경기,연천군,13,2,5,6,0
경기,포천시,36,3,20,11,3
경기,가평군,23,0,15,8,0
경기,양평군,33,2,21,10,0
경기,이천시,48,3,30,14,1
경기,용인시,131,6,69,46,11
경기,안성시,38,4,20,12,2
경기,김포시,78,3,40,31,4
경기,동두천시,30,3,15,9,3
경기,과천시,3,0,1,0,2
경기,군포시,39,1,15,20,3
