시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,중구,1,0,1,16,16
서울,서대문구,3,0,11,67,18
서울,영등포구,1,0,6,28,1
서울,동작구,1,0,4,13,8
서울,강남구,1,0,0,27,7
서울,송파구,1,0,0,1,25
서울,서초구,1,0,1,0,47
서울,금천구,1,0,6,13,13
부산,사하구,1,0,9,16,1
부산,사상구,1,0,3,19,5
경기,성남시,1,0,1,2,17
경기,안양시,1,0,0,10,18
경기,평택시,3,3,6,37,13
경기,광주시,2,1,4,26,18
경기,연천군,1,4,2,0,0
경기,용인시,3,1,15,50,11
경기,안성시,1,0,0,9,12
경기,김포시,1,0,4,15,1
경기,오산시,1,0,3,9,8
강원,삼척시,2,7,12,2,0
강원,양양군,1,0,7,9,13
충북,청주시,2,0,7,38,1
충북,충주시,2,4,12,26,2
충북,진천군,1,0,9,13,5
충북,음성군,1,1,2,22,0
충남,천안시,2,0,7,31,8
충남,아산시,1,2,17,14,0
충남,공주시,1,3,1,0,0
충남,논산시,1,0,3,18,0
전북,군산시,1,0,5,15,3
전북,정읍시,1,3,1,0,0
전북,무주군,1,0,2,21,2
전북,부안군,1,0,1,22,0
전남,순천시,1,3,1,0,0
전남,고흥군,1,0,9,32,0
전남,영암군,2,0,7,35,0
전남,진도군,1,3,2,0,0
경북,상주시,1,3,0,0,0
경북,군위군,1,6,13,12,0
경북,울릉군,1,0,16,16,5
경남,창원시(통합),1,0,6,24,13
인천,중구,1,0,12,14,0
대전,유성구,1,0,1,19,2
울산,북구,1,0,5,38,3
울산,울주군,1,0,8,12,3
