시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,39,0,18,20,1
서울,중구,50,0,24,20,8
서울,용산구,53,2,20,29,7
서울,성동구,42,1,17,23,1
서울,동대문구,59,3,31,19,7
서울,성북구,101,2,46,51,4
서울,도봉구,53,0,28,24,2
서울,은평구,62,0,37,24,2
서울,서대문구,52,4,24,19,6
서울,마포구,43,1,24,17,4
서울,강서구,59,4,24,27,4
서울,구로구,100,3,58,36,6
서울,영등포구,97,1,55,38,4
서울,동작구,53,1,20,27,5
서울,관악구,72,4,39,29,1
서울,강남구,100,3,37,59,4
서울,강동구,86,0,41,38,9
서울,송파구,77,2,39,31,5
서울,서초구,60,2,22,33,3
서울,양천구,57,3,34,16,4
서울,중랑구,112,3,62,45,4
서울,노원구,79,1,38,43,2
서울,광진구,49,0,22,27,2
서울,강북구,60,2,29,29,0
서울,금천구,50,0,23,26,1
부산,중구,17,1,7,8,1
부산,서구,20,0,11,10,0
부산,동구,18,1,9,7,1
부산,영도구,39,2,18,17,2
부산,부산진구,118,5,62,50,3
부산,동래구,58,0,34,21,3
부산,남구,49,1,34,15,0
부산,북구,45,3,32,11,0
부산,해운대구,50,3,28,17,3
부산,사하구,59,4,28,29,1
부산,금정구,48,1,27,20,1
부산,강서구,14,0,7,7,0
부산,연제구,30,0,19,11,1
부산,수영구,32,0,21,12,0
부산,사상구,44,4,17,19,4
부산,기장군,25,1,15,8,2
경기,수원시,172,6,83,77,9
경기,성남시,120,9,56,55,5
경기,의정부시,90,6,36,45,6
경기,안양시,58,3,33,22,1
경기,부천시,197,1,81,102,18
경기,안산시,131,4,61,58,10
경기,평택시,116,6,55,50,6
경기,광명시,25,1,13,8,4
경기,구리시,24,0,4,18,2
경기,양주시,23,1,12,9,1
경기,여주시,16,3,6,7,1
경기,화성시,75,2,38,32,6
경기,시흥시,61,2,36,22,2
경기,파주시,65,1,33,28,4
경기,고양시,142,8,60,69,7
경기,광주시,62,3,22,32,6
경기,연천군,13,0,8,5,0
경기,포천시,29,1,16,11,2
경기,가평군,8,1,3,4,0
경기,양평군,11,3,4,4,1
경기,이천시,49,1,28,20,3
경기,용인시,83,2,40,37,5
경기,안성시,26,2,10,14,2
경기,김포시,59,6,27,23,4
경기,동두천시,13,2,6,5,1
경기,과천시,5,0,4,1,0
경기,군포시,28,1,11,16,1
경기,남양주시,103,3,47,47,9
경기,오산시,42,2,18,19,4
경기,의왕시,23,0,12,11,0
경기,하남시,17,2,2,13,2
강원,춘천시,52,4,22,26,1
강원,원주시,83,6,41,40,0
강원,동해시,17,2,6,10,0
강원,강릉시,47,3,25,19,0
강원,속초시,34,2,16,16,0
강원,태백시,13,1,6,6,0
강원,삼척시,13,0,10,3,0
강원,홍천군,9,0,3,7,0
강원,횡성군,5,0,4,0,1
강원,영월군,11,1,6,3,1
강원,평창군,6,1,4,1,0
강원,정선군,3,0,1,2,0
강원,철원군,2,2,0,0,0
강원,화천군,7,1,2,4,0
강원,양구군,5,0,2,3,0
강원,인제군,3,0,2,1,0
강원,고성군,3,0,1,1,1
강원,양양군,8,1,5,2,0
충북,청주시,131,10,60,63,2
충북,충주시,31,6,11,14,0
충북,제천시,43,2,17,21,5
충북,보은군,6,0,3,3,0
충북,옥천군,14,1,8,6,0
충북,영동군,5,0,4,1,0
충북,진천군,18,0,9,10,0
충북,괴산군,3,1,2,0,0
충북,음성군,26,5,11,11,0
충북,단양군,3,0,1,2,0
충북,증평군,10,0,4,6,0
충남,천안시,137,6,62,75,2
충남,아산시,29,3,15,12,0
충남,보령시,51,1,33,19,0
충남,공주시,19,2,9,7,1
충남,서산시,26,1,13,13,0
충남,금산군,9,1,5,3,0
충남,태안군,16,3,11,2,0
충남,논산시,25,3,18,4,0
충남,부여군,5,1,3,0,1
충남,서천군,10,1,6,3,0
충남,청양군,6,1,3,2,0
충남,홍성군,15,5,6,4,0
충남,예산군,13,0,7,5,1
충남,당진시,22,0,16,6,0
충남,계룡시,3,0,2,1,0
전북,전주시,142,4,74,64,2
전북,군산시,55,2,24,29,1
전북,정읍시,28,1,16,11,0
전북,남원시,18,2,11,5,0
전북,김제시,23,4,9,10,0
전북,완주군,5,0,3,2,0
전북,진안군,4,0,2,2,0
전북,무주군,6,0,4,3,0
전북,장수군,5,1,2,2,0
전북,임실군,5,1,3,1,0
전북,순창군,6,1,3,2,0
전북,고창군,7,2,2,3,0
전북,부안군,9,0,5,4,0
전북,익산시,99,3,53,44,0
전남,목포시,79,1,42,36,1
전남,여수시,69,5,32,34,1
전남,순천시,46,2,23,22,1
전남,나주시,19,2,9,7,1
전남,광양시,29,3,16,10,1
전남,담양군,11,0,5,6,0
전남,곡성군,5,2,2,1,0
전남,구례군,4,0,2,1,1
전남,고흥군,14,0,11,4,0
전남,보성군,11,0,10,1,0
전남,화순군,19,5,6,7,1
전남,장흥군,9,1,5,3,0
전남,강진군,6,0,2,4,0
전남,해남군,19,3,10,6,0
전남,영암군,17,1,9,8,0
전남,무안군,17,1,8,8,0
전남,함평군,9,2,7,0,0
전남,영광군,17,2,8,6,1
전남,장성군,4,1,2,1,0
전남,완도군,4,0,2,2,0
전남,진도군,7,2,3,2,0
전남,신안군,3,0,1,2,0
경북,포항시,121,7,64,47,3
경북,경주시,62,3,37,24,0
경북,김천시,19,1,12,6,0
경북,안동시,27,0,17,11,0
경북,구미시,70,3,36,30,2
경북,영주시,47,2,25,17,4
경북,영천시,37,4,15,17,1
경북,문경시,11,1,5,5,0
경북,상주시,14,2,5,8,0
경북,군위군,7,2,5,0,0
경북,의성군,8,2,6,0,0
경북,청송군,2,1,2,0,0
경북,영양군,2,0,0,2,0
경북,영덕군,7,1,4,2,0
경북,청도군,7,1,4,1,1
경북,고령군,5,0,1,4,0
경북,성주군,2,0,2,0,0
경북,칠곡군,31,1,15,12,3
경북,예천군,6,0,4,2,0
경북,봉화군,5,0,2,3,0
경북,울진군,9,2,5,2,0
경북,경산시,69,5,39,25,0
경남,진주시,82,4,57,19,2
경남,통영시,37,1,19,20,1
경남,김해시,136,5,85,46,4
경남,밀양시,34,5,14,10,5
경남,거제시,37,2,15,20,0
경남,의령군,9,0,5,4,0
경남,함안군,13,0,8,5,0
경남,창녕군,11,0,8,3,0
경남,양산시,54,5,27,19,5
경남,고성군,8,0,7,1,0
