시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,15,0,6,14,2
서울,중구,16,0,6,15,2
서울,용산구,24,0,3,35,1
서울,성동구,13,0,2,17,1
서울,동대문구,6,0,1,5,1
서울,성북구,22,0,14,12,2
서울,도봉구,11,0,4,10,1
서울,은평구,16,0,2,17,4
서울,서대문구,17,0,3,18,4
서울,마포구,34,0,7,44,3
서울,강서구,30,0,5,33,7
서울,구로구,19,0,4,19,2
서울,영등포구,19,0,4,18,2
서울,동작구,25,0,10,19,3
서울,관악구,21,0,9,23,0
서울,강남구,66,0,17,65,5
서울,강동구,23,1,6,28,1
서울,송파구,41,1,13,42,6
서울,서초구,28,1,7,31,2
서울,양천구,19,0,7,21,4
서울,중랑구,19,0,7,13,6
서울,노원구,19,0,1,20,4
서울,광진구,16,0,4,17,1
서울,강북구,14,0,3,19,1
서울,금천구,24,0,8,20,3
부산,중구,6,0,1,5,0
부산,서구,12,1,7,7,1
부산,동구,7,0,2,5,1
부산,영도구,9,0,4,8,3
부산,부산진구,34,2,11,36,4
부산,동래구,24,2,6,17,4
부산,남구,19,0,5,22,4
부산,북구,12,0,1,12,1
부산,해운대구,29,1,7,30,7
부산,사하구,25,1,6,23,4
부산,금정구,25,0,12,13,4
부산,강서구,14,0,2,8,5
부산,연제구,15,0,2,18,0
부산,수영구,11,0,5,11,0
부산,사상구,33,0,9,25,10
부산,기장군,11,0,5,17,0
경기,수원시,79,2,12,86,11
경기,성남시,42,1,21,37,3
경기,의정부시,30,0,7,35,3
경기,안양시,21,0,10,15,5
경기,부천시,59,0,19,78,5
경기,안산시,86,0,24,99,7
경기,평택시,80,2,24,92,18
경기,광명시,13,0,5,9,6
경기,구리시,4,0,2,5,0
경기,양주시,18,0,5,23,1
경기,여주시,12,1,3,8,3
경기,화성시,62,2,21,68,3
경기,시흥시,54,1,16,45,8
경기,파주시,39,1,10,35,8
경기,고양시,53,2,14,51,15
경기,광주시,37,1,13,44,4
경기,연천군,6,0,2,4,1
경기,포천시,31,2,13,24,7
경기,가평군,9,0,2,8,1
경기,양평군,12,0,10,4,2
경기,이천시,23,1,7,15,4
경기,용인시,65,2,21,60,17
경기,안성시,27,3,5,20,6
경기,김포시,42,1,15,34,4
경기,동두천시,11,1,1,9,4
경기,과천시,3,0,0,4,0
경기,군포시,12,0,3,13,0
경기,남양주시,34,1,6,53,7
경기,오산시,25,0,4,32,4
경기,의왕시,7,0,2,8,4
경기,하남시,11,0,0,12,1
강원,춘천시,25,1,10,26,0
강원,원주시,41,3,10,46,2
강원,동해시,7,0,4,5,1
강원,강릉시,22,1,13,26,3
강원,속초시,4,0,2,2,0
강원,태백시,3,0,2,6,0
강원,삼척시,6,0,2,8,0
강원,홍천군,11,1,3,7,2
강원,횡성군,4,0,1,8,0
강원,영월군,1,0,0,1,0
강원,평창군,6,0,1,7,0
강원,정선군,1,0,1,1,1
강원,철원군,4,1,2,2,0
강원,양구군,2,0,6,3,0
강원,인제군,3,0,2,0,1
강원,고성군,1,0,0,1,0
강원,양양군,6,1,1,6,0
충북,청주시,114,1,36,121,10
충북,충주시,22,1,4,27,3
충북,제천시,14,0,14,19,3
충북,보은군,9,1,4,10,1
충북,옥천군,7,0,7,6,0
충북,영동군,11,0,7,7,0
충북,진천군,28,0,12,38,3
충북,괴산군,10,1,4,12,4
충북,음성군,30,2,13,29,0
충북,증평군,6,0,0,5,1
충남,천안시,93,4,25,84,7
충남,아산시,34,2,13,30,3
충남,보령시,20,1,10,16,4
충남,공주시,25,1,10,30,2
충남,서산시,39,1,17,31,4
충남,금산군,3,0,1,4,0
충남,태안군,16,2,9,15,3
충남,논산시,36,2,15,35,6
충남,부여군,18,2,7,10,2
충남,서천군,12,1,3,11,1
충남,청양군,11,2,5,4,1
충남,홍성군,16,1,6,13,0
충남,예산군,14,1,5,15,0
충남,당진시,22,2,7,22,0
충남,계룡시,1,0,1,1,0
전북,전주시,57,1,15,61,4
전북,군산시,34,0,14,51,2
전북,정읍시,24,0,8,20,0
전북,남원시,9,0,7,3,0
전북,김제시,9,0,3,11,0
전북,완주군,16,0,4,22,0
전북,진안군,4,0,1,2,2
전북,무주군,6,0,5,2,0
전북,장수군,2,0,1,1,0
전북,임실군,3,1,0,1,1
전북,순창군,8,2,2,4,0
전북,고창군,7,0,1,9,2
전북,부안군,14,0,11,7,1
전북,익산시,33,1,13,36,0
전남,목포시,50,2,10,74,1
전남,여수시,44,3,10,47,4
전남,순천시,39,2,9,52,3
전남,나주시,28,1,3,35,1
전남,광양시,30,0,15,23,3
전남,담양군,9,0,6,12,0
전남,곡성군,8,0,3,5,1
전남,구례군,7,0,1,3,4
전남,고흥군,16,1,8,12,0
전남,보성군,18,3,9,9,0
전남,화순군,12,0,2,21,1
전남,장흥군,17,0,15,21,1
전남,강진군,16,1,5,13,0
전남,해남군,32,1,11,24,1
전남,영암군,29,2,15,21,2
전남,무안군,19,3,4,21,0
전남,함평군,13,0,8,6,1
전남,영광군,16,0,4,14,0
전남,장성군,5,0,0,7,0
전남,완도군,9,1,2,6,0
전남,진도군,10,0,7,5,0
전남,신안군,14,2,5,12,1
경북,포항시,62,1,20,67,3
경북,경주시,44,3,16,35,4
경북,김천시,24,2,10,25,0
경북,안동시,24,0,10,23,1
경북,구미시,64,1,21,57,20
경북,영주시,12,0,7,8,3
경북,영천시,25,0,9,22,1
경북,문경시,13,0,2,10,2
경북,상주시,23,0,13,18,0
경북,군위군,6,0,4,3,0
경북,의성군,10,0,8,4,0
경북,영양군,4,0,2,2,1
경북,영덕군,7,0,3,5,0
경북,청도군,10,1,1,7,2
경북,고령군,11,0,5,11,0
경북,성주군,12,0,5,10,0
경북,칠곡군,26,1,10,10,9
경북,예천군,7,1,4,4,0
경북,봉화군,7,0,1,6,2
경북,울진군,6,0,3,4,0
경북,울릉군,2,0,1,1,1
경북,경산시,43,2,18,41,2
경남,진주시,37,3,9,36,3
경남,통영시,21,0,16,23,3
경남,김해시,97,5,48,88,3
경남,밀양시,19,0,7,13,2
경남,거제시,26,1,14,38,0
경남,의령군,5,0,3,1,2
경남,함안군,20,6,10,13,0
경남,창녕군,19,1,14,10,1
경남,양산시,40,3,16,32,4
경남,고성군,10,1,2,9,1
경남,사천시,21,1,12,17,3
경남,남해군,7,1,3,3,2
경남,하동군,4,1,1,3,0
경남,산청군,11,0,4,10,0
경남,함양군,7,1,4,4,2
경남,거창군,18,1,6,15,4
경남,합천군,9,2,3,4,1
경남,창원시(통합),88,6,27,98,9
제주,제주시,78,2,21,77,12
제주,서귀포시,58,4,22,52,13
대구,중구,17,0,3,15,3
대구,동구,18,1,7,16,3
대구,서구,27,1,10,24,5
대구,남구,21,0,3,15,6
대구,북구,34,0,11,36,2
대구,수성구,29,1,8,28,7
대구,달서구,54,0,21,54,5
대구,달성군,27,1,7,20,7
인천,중구,14,0,8,14,3
인천,동구,5,0,0,4,1
인천,미추홀구,28,0,3,38,2
인천,부평구,28,1,5,33,1
인천,남동구,42,1,19,47,3
인천,서구,35,0,10,39,2
인천,연수구,15,0,3,19,1
인천,계양구,20,1,5,17,2
인천,강화군,4,0,1,2,1
인천,옹진군,3,0,2,2,1
광주,동구,9,0,4,16,0
광주,서구,43,1,2,59,6
광주,북구,37,0,4,44,3
광주,광산구,62,1,9,73,8
광주,남구,5,0,1,4,0
대전,동구,18,0,6,20,0
대전,중구,30,1,11,34,3
대전,서구,43,1,6,59,3
대전,유성구,27,0,10,30,3
대전,대덕구,16,0,7,15,0
울산,중구,23,0,6,13,5
울산,남구,39,1,14,39,5
울산,동구,17,0,8,22,1
울산,북구,21,2,11,12,4
울산,울주군,30,1,12,32,3
세종,세종시,24,0,13,16,1
