시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,308,3,108,178,33
서울,중구,288,4,117,143,33
서울,용산구,264,6,81,173,18
서울,성동구,229,8,87,128,11
서울,동대문구,429,6,192,220,26
서울,성북구,409,4,167,235,13
서울,도봉구,270,2,129,132,22
서울,은평구,362,3,153,192,26
서울,서대문구,325,8,134,166,24
서울,마포구,363,4,135,206,34
서울,강서구,468,13,164,283,22
서울,구로구,412,8,165,228,27
서울,영등포구,560,6,212,324,39
서울,동작구,410,3,142,239,42
서울,관악구,355,6,142,202,15
서울,강남구,839,8,224,569,70
서울,강동구,439,7,164,239,49
서울,송파구,594,5,180,375,54
서울,서초구,466,10,149,274,46
서울,양천구,381,7,142,209,35
서울,중랑구,474,7,184,262,34
서울,노원구,415,6,153,257,20
서울,광진구,263,3,86,169,11
서울,강북구,401,2,137,249,24
서울,금천구,265,5,106,155,9
부산,중구,100,1,37,60,6
부산,서구,138,1,61,71,9
부산,동구,143,2,73,61,10
부산,영도구,117,3,51,57,9
부산,부산진구,547,11,234,310,20
부산,동래구,314,3,139,161,14
부산,남구,269,3,118,133,21
부산,북구,202,4,92,106,8
부산,해운대구,279,9,152,110,19
부산,사하구,280,9,121,146,11
부산,금정구,255,5,95,123,41
부산,강서구,69,1,32,37,0
부산,연제구,226,2,92,126,19
부산,수영구,214,2,82,124,15
부산,사상구,273,9,106,159,39
부산,기장군,118,5,49,70,3
경기,수원시,1014,16,325,623,82
경기,성남시,807,20,310,449,64
경기,의정부시,439,13,140,258,37
경기,안양시,343,8,153,191,13
경기,부천시,902,9,304,551,66
경기,안산시,660,9,258,377,37
경기,평택시,557,17,205,312,50
경기,광명시,234,5,83,112,45
경기,구리시,177,2,59,112,9
경기,양주시,143,5,55,80,11
경기,여주시,74,7,32,33,6
경기,화성시,457,12,185,251,24
경기,시흥시,376,12,159,189,27
경기,파주시,327,7,155,163,25
경기,고양시,710,18,271,367,83
경기,광주시,324,9,111,192,25
경기,연천군,38,3,22,10,3
경기,포천시,123,4,59,59,10
경기,가평군,60,2,26,33,3
경기,양평군,88,3,37,45,8
경기,이천시,214,8,85,116,14
경기,용인시,569,14,225,296,55
경기,안성시,144,7,54,82,9
경기,김포시,326,10,120,178,25
경기,동두천시,90,4,35,45,9
경기,과천시,28,1,9,14,5
경기,군포시,161,3,59,90,13
경기,남양주시,456,10,189,255,29
경기,오산시,184,4,62,103,20
경기,의왕시,87,4,36,43,8
경기,하남시,167,7,63,85,20
강원,춘천시,287,11,112,167,9
강원,원주시,343,11,133,196,13
강원,동해시,73,4,28,44,0
강원,강릉시,187,4,83,104,5
강원,속초시,99,6,45,44,5
강원,태백시,41,1,15,25,0
강원,삼척시,76,5,36,40,0
강원,홍천군,66,4,21,37,5
강원,횡성군,31,2,22,10,1
강원,영월군,28,2,10,9,7
강원,평창군,24,2,17,4,1
강원,정선군,21,1,10,10,0
강원,철원군,15,4,7,5,1
강원,화천군,21,4,8,12,0
강원,양구군,17,0,10,8,0
강원,인제군,13,2,8,3,0
강원,고성군,14,0,3,10,1
강원,양양군,34,1,14,20,0
충북,청주시,691,23,292,380,23
충북,충주시,180,12,69,106,1
충북,제천시,151,11,62,78,8
충북,보은군,27,3,12,11,1
충북,옥천군,42,2,23,18,0
충북,영동군,30,1,21,8,0
충북,진천군,57,2,33,25,1
충북,괴산군,26,4,16,6,0
충북,음성군,80,7,43,32,2
충북,단양군,22,1,12,8,1
충북,증평군,43,3,23,16,1
충남,천안시,550,20,212,336,12
충남,아산시,214,9,104,99,13
충남,보령시,137,5,74,67,2
충남,공주시,92,7,38,48,1
충남,서산시,148,7,87,53,7
충남,금산군,40,4,20,18,0
충남,태안군,55,5,32,17,5
충남,논산시,93,5,64,25,0
충남,부여군,49,4,32,12,2
충남,서천군,60,10,22,30,0
충남,청양군,30,3,16,12,0
충남,홍성군,82,13,42,31,0
충남,예산군,71,3,39,28,4
충남,당진시,125,3,80,51,1
충남,계룡시,8,1,4,3,0
전북,전주시,607,14,291,317,9
전북,군산시,263,7,102,154,9
전북,정읍시,131,8,66,59,1
전북,남원시,60,2,37,24,0
전북,김제시,96,10,43,47,0
전북,완주군,48,3,27,17,1
전북,진안군,11,2,7,2,0
전북,무주군,18,0,11,8,0
전북,장수군,17,4,6,8,0
전북,임실군,17,2,9,6,0
전북,순창군,16,1,8,7,0
전북,고창군,36,5,14,17,0
전북,부안군,63,1,37,29,0
전북,익산시,289,11,130,161,1
전남,목포시,354,10,132,227,7
전남,여수시,339,9,143,194,10
전남,순천시,252,11,98,151,3
전남,나주시,58,4,19,35,2
전남,광양시,101,3,46,55,4
전남,담양군,35,3,16,16,0
전남,곡성군,17,5,8,5,0
전남,구례군,32,3,13,13,3
전남,고흥군,47,1,28,19,2
전남,보성군,42,2,26,13,2
전남,화순군,66,8,24,34,3
전남,장흥군,46,2,18,24,3
전남,강진군,42,1,15,25,1
전남,해남군,60,3,35,25,2
전남,영암군,50,3,23,25,2
전남,무안군,62,6,25,34,0
전남,함평군,24,4,11,9,1
전남,영광군,42,3,18,19,2
전남,장성군,32,2,16,15,0
전남,완도군,36,1,15,22,0
전남,진도군,23,4,9,9,1
전남,신안군,22,2,17,7,0
경북,포항시,487,13,222,244,24
경북,경주시,275,6,146,133,4
경북,김천시,141,7,75,62,5
경북,안동시,169,7,67,104,3
경북,구미시,324,12,147,171,13
경북,영주시,128,7,72,47,7
경북,영천시,116,11,42,63,3
경북,문경시,57,2,21,33,2
경북,상주시,73,7,38,33,0
경북,군위군,23,3,11,9,0
경북,의성군,33,5,20,8,0
경북,청송군,10,2,9,1,0
경북,영양군,15,1,6,8,0
경북,영덕군,38,3,21,15,0
경북,청도군,28,2,14,10,2
경북,고령군,18,0,7,10,1
경북,성주군,35,3,19,14,0
경북,칠곡군,109,5,53,49,10
경북,예천군,25,0,16,11,0
경북,봉화군,16,0,4,12,0
경북,울진군,27,4,17,7,0
경북,울릉군,4,0,2,2,0
경북,경산시,285,9,115,151,19
경남,진주시,279,10,178,91,6
경남,통영시,179,2,79,97,8
경남,김해시,431,12,224,201,14
경남,밀양시,126,12,65,39,14
경남,거제시,182,6,101,80,3
경남,의령군,27,2,11,13,1
경남,함안군,55,2,26,25,2
경남,창녕군,50,2,30,20,0
경남,양산시,230,11,127,85,18
경남,고성군,49,3,20,25,3
경남,사천시,154,5,84,58,11
경남,남해군,43,2,31,10,3
경남,하동군,26,5,6,15,0
경남,산청군,27,1,21,6,0
경남,함양군,29,1,15,9,4
경남,거창군,38,1,22,16,0
경남,합천군,30,1,19,9,1
경남,창원시(통합),850,36,431,384,29
제주,제주시,660,21,251,369,43
제주,서귀포시,210,13,99,95,13
대구,중구,219,6,73,119,27
대구,동구,351,4,142,183,28
대구,서구,251,5,95,139,25
대구,남구,198,3,81,109,15
대구,북구,401,6,179,197,38
대구,수성구,407,3,149,249,24
대구,달서구,702,9,261,386,61
대구,달성군,137,5,67,66,12
인천,중구,110,2,44,65,7
인천,동구,40,0,19,19,3
인천,미추홀구,358,6,122,167,73
인천,부평구,316,8,116,184,21
인천,남동구,372,13,118,229,20
인천,서구,326,12,143,156,20
인천,연수구,135,2,53,75,10
인천,계양구,204,5,86,105,15
인천,강화군,43,1,23,19,0
인천,옹진군,6,2,3,1,1
광주,동구,163,5,58,103,5
광주,서구,328,6,98,222,11
광주,북구,516,11,171,324,33
광주,광산구,309,9,104,197,13
광주,남구,197,3,64,124,11
대전,동구,256,6,96,151,6
대전,중구,326,9,134,186,9
대전,서구,565,13,171,393,14
대전,유성구,278,7,97,162,20
대전,대덕구,185,5,81,101,5
울산,중구,204,3,89,116,4
울산,남구,325,3,164,150,19
울산,동구,153,1,61,94,5
울산,북구,118,2,55,59,4
울산,울주군,169,8,67,82,23
세종,세종시,144,3,65,79,3
