시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,20,1,6,21,0
서울,중구,16,0,6,19,0
서울,용산구,33,0,13,51,0
서울,성동구,11,0,4,17,0
서울,동대문구,29,0,10,29,0
서울,성북구,15,0,3,18,0
서울,도봉구,12,0,3,12,0
서울,은평구,20,0,9,17,1
서울,서대문구,20,1,7,17,0
서울,마포구,31,0,9,39,3
서울,강서구,56,0,12,59,0
서울,구로구,35,0,11,29,0
서울,영등포구,27,0,5,30,1
서울,동작구,18,0,9,34,1
서울,관악구,23,1,8,19,0
서울,강남구,65,0,21,82,4
서울,강동구,29,0,8,37,0
서울,송파구,30,0,14,32,1
서울,서초구,58,1,6,69,49
서울,양천구,20,0,9,25,4
서울,중랑구,25,0,6,21,0
서울,노원구,49,0,6,54,2
서울,광진구,29,1,15,30,0
서울,강북구,20,0,7,19,1
서울,금천구,30,0,3,37,0
부산,중구,5,0,0,5,0
부산,서구,4,0,2,3,0
부산,동구,32,0,8,31,0
부산,영도구,11,0,7,9,0
부산,부산진구,127,0,23,127,1
부산,동래구,20,0,7,22,1
부산,남구,16,0,6,15,1
부산,북구,17,0,3,18,0
부산,해운대구,38,1,14,39,1
부산,사하구,18,0,10,14,1
부산,금정구,87,0,13,66,18
부산,강서구,11,0,2,12,0
부산,연제구,36,0,8,39,2
부산,수영구,21,0,9,26,0
부산,사상구,99,0,22,99,5
부산,기장군,6,1,3,7,2
경기,수원시,271,1,41,299,6
경기,성남시,82,0,22,105,5
경기,의정부시,47,1,14,60,1
경기,안양시,37,0,15,38,2
경기,부천시,110,0,24,135,3
경기,안산시,234,0,36,266,25
경기,평택시,76,2,19,97,0
경기,광명시,21,0,7,26,3
경기,구리시,19,0,8,28,1
경기,양주시,17,0,5,15,0
경기,여주시,9,0,4,8,0
경기,화성시,147,3,29,189,8
경기,시흥시,100,3,17,124,4
경기,파주시,67,0,14,77,2
경기,고양시,238,1,52,260,31
경기,광주시,39,0,10,51,4
경기,연천군,5,0,3,3,0
경기,포천시,26,1,11,28,4
경기,가평군,3,0,0,2,1
경기,양평군,12,0,1,14,2
경기,이천시,23,1,6,27,1
경기,용인시,149,2,22,182,11
경기,안성시,33,1,15,39,0
경기,김포시,39,1,11,50,4
경기,동두천시,8,0,4,7,0
경기,과천시,6,0,0,6,3
경기,군포시,18,0,4,17,2
경기,남양주시,50,1,10,70,1
경기,오산시,39,0,5,36,5
경기,의왕시,14,0,5,10,4
경기,하남시,32,0,6,38,6
강원,춘천시,32,0,6,40,0
강원,원주시,75,0,16,84,4
강원,동해시,5,0,2,3,0
강원,강릉시,13,0,6,19,0
강원,속초시,8,1,4,10,0
강원,태백시,2,0,1,4,0
강원,삼척시,16,0,4,15,0
강원,홍천군,12,0,3,17,0
강원,횡성군,5,1,2,5,0
강원,영월군,1,1,0,0,0
강원,평창군,5,0,0,12,0
강원,정선군,2,0,1,1,1
강원,철원군,5,0,3,5,0
강원,화천군,1,0,0,1,0
강원,양구군,1,0,6,2,0
강원,인제군,1,0,0,3,0
강원,고성군,3,0,0,3,0
강원,양양군,6,0,0,9,0
충북,청주시,97,3,30,117,3
충북,충주시,40,1,9,44,0
충북,제천시,20,0,8,18,0
충북,보은군,2,0,0,3,0
충북,옥천군,9,0,6,11,0
충북,영동군,2,0,2,1,0
충북,진천군,11,0,2,11,0
충북,괴산군,1,0,1,0,0
충북,음성군,13,0,4,17,0
충북,단양군,1,0,0,1,0
충북,증평군,3,0,0,5,0
충남,천안시,192,3,26,246,7
충남,아산시,53,1,9,70,0
충남,보령시,9,0,7,13,0
충남,공주시,13,1,0,25,0
충남,서산시,65,0,25,72,8
충남,금산군,6,1,1,7,0
충남,태안군,3,0,2,1,0
충남,논산시,28,1,12,48,0
충남,부여군,3,0,2,1,0
충남,서천군,4,1,1,3,0
충남,청양군,6,0,3,7,0
충남,홍성군,2,0,0,2,0
충남,예산군,11,2,3,8,0
충남,당진시,29,0,17,31,0
충남,계룡시,2,0,1,2,0
전북,전주시,80,0,21,98,0
전북,군산시,33,0,5,47,0
전북,정읍시,17,1,4,18,0
전북,남원시,4,0,2,2,0
전북,김제시,17,1,4,15,0
전북,완주군,12,0,3,16,2
전북,진안군,2,0,1,1,1
전북,무주군,2,1,1,0,0
전북,장수군,1,0,0,1,0
전북,임실군,4,0,5,1,0
전북,고창군,9,1,3,7,0
전북,부안군,15,0,9,13,0
전북,익산시,29,1,13,42,0
전남,목포시,43,4,6,59,0
전남,여수시,57,2,8,67,0
전남,순천시,57,0,12,78,0
전남,나주시,19,0,5,31,0
전남,광양시,32,0,5,30,6
전남,담양군,2,0,0,2,0
전남,곡성군,1,0,0,1,0
전남,구례군,1,0,0,1,0
전남,고흥군,3,0,1,3,0
전남,보성군,5,1,2,3,0
전남,화순군,11,0,2,12,0
전남,장흥군,11,0,2,12,1
전남,강진군,10,0,3,7,1
전남,해남군,13,1,2,19,0
전남,영암군,10,1,6,9,1
전남,무안군,8,2,0,7,0
