시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,6,6,0,1,0
서울,중구,5,5,1,1,0
서울,용산구,10,10,1,1,0
서울,성동구,13,13,0,0,0
서울,동대문구,15,15,1,1,1
서울,성북구,8,8,0,0,0
서울,도봉구,4,4,1,2,0
서울,은평구,7,7,0,0,1
서울,서대문구,14,14,0,2,0
서울,마포구,7,7,1,2,0
서울,강서구,20,20,0,4,0
서울,구로구,13,13,1,1,0
서울,영등포구,11,11,9,7,0
서울,동작구,5,5,2,2,0
서울,관악구,10,10,0,0,0
서울,강남구,14,14,2,1,2
서울,강동구,11,11,3,1,0
서울,송파구,13,13,5,14,3
서울,서초구,14,14,3,1,0
서울,양천구,11,11,1,3,0
서울,중랑구,12,12,1,0,0
서울,노원구,8,8,0,2,0
서울,광진구,3,3,0,0,0
서울,강북구,7,7,1,0,1
서울,금천구,9,9,0,2,0
부산,중구,1,1,0,0,0
부산,서구,2,2,1,0,0
부산,동구,3,3,4,0,0
부산,영도구,3,3,1,0,0
부산,부산진구,14,14,0,1,0
부산,동래구,6,6,1,0,0
부산,남구,5,5,0,0,0
부산,북구,10,10,7,4,2
부산,해운대구,16,16,4,2,0
부산,사하구,12,12,2,0,0
부산,금정구,6,6,0,0,0
부산,강서구,8,8,3,5,0
부산,연제구,3,3,1,5,0
부산,수영구,4,4,0,0,0
부산,사상구,13,13,0,0,0
부산,기장군,9,10,4,3,1
경기,수원시,31,31,1,5,0
경기,성남시,39,39,4,5,7
경기,의정부시,17,17,2,6,2
경기,안양시,18,20,2,7,2
경기,부천시,23,23,0,6,0
경기,안산시,26,27,3,6,1
경기,평택시,47,51,8,21,7
경기,광명시,9,9,0,0,0
경기,구리시,6,6,0,0,0
경기,양주시,18,19,2,3,0
경기,여주시,17,17,4,2,0
경기,화성시,32,33,7,24,0
경기,시흥시,26,30,6,14,0
경기,파주시,20,21,3,9,5
경기,고양시,38,39,6,6,1
경기,광주시,19,20,9,23,5
경기,연천군,8,11,2,1,0
경기,포천시,15,15,6,2,2
경기,가평군,8,8,1,2,0
경기,양평군,13,13,1,2,0
경기,이천시,30,33,8,19,6
경기,용인시,34,34,10,45,37
경기,안성시,16,16,2,7,1
경기,김포시,24,24,1,4,2
경기,동두천시,6,6,0,0,0
경기,과천시,1,1,0,0,0
경기,군포시,3,3,0,0,0
경기,남양주시,30,31,10,12,1
경기,오산시,7,7,1,1,0
경기,의왕시,10,10,8,7,4
경기,하남시,17,17,5,6,0
강원,춘천시,22,23,7,5,0
강원,원주시,32,34,11,8,2
강원,동해시,6,7,0,0,0
강원,강릉시,14,14,1,0,0
강원,속초시,8,8,1,2,0
강원,태백시,2,2,0,1,0
강원,삼척시,10,16,17,2,0
강원,홍천군,16,16,4,3,1
강원,횡성군,9,9,3,3,0
강원,영월군,4,4,0,0,0
강원,평창군,5,5,0,0,0
강원,정선군,6,6,3,0,0
강원,철원군,10,12,3,5,0
강원,화천군,8,9,3,0,0
강원,양구군,2,2,3,2,0
강원,인제군,8,8,2,3,0
강원,고성군,1,1,1,0,0
강원,양양군,9,9,3,2,0
충북,청주시,48,49,9,12,1
충북,충주시,32,36,10,1,1
충북,제천시,18,19,5,3,0
충북,보은군,12,13,5,5,0
충북,옥천군,7,7,0,1,0
충북,영동군,9,9,6,1,0
충북,진천군,11,11,1,0,0
충북,괴산군,9,10,2,2,0
충북,음성군,17,18,5,26,0
충북,단양군,9,10,4,3,0
충북,증평군,6,6,1,1,0
충남,천안시,42,42,9,10,0
충남,아산시,35,36,21,20,6
충남,보령시,16,16,3,3,0
충남,공주시,19,22,7,3,0
충남,서산시,24,26,7,3,1
충남,금산군,7,7,1,1,0
충남,태안군,17,17,11,1,0
충남,논산시,26,26,1,1,0
충남,부여군,15,16,4,2,0
충남,서천군,18,18,1,0,0
충남,청양군,10,10,0,0,0
충남,홍성군,21,21,0,1,0
충남,예산군,17,17,1,5,0
충남,당진시,31,33,6,7,0
충남,계룡시,1,1,0,0,0
전북,전주시,34,35,5,8,0
전북,군산시,24,25,2,5,0
전북,정읍시,18,20,4,3,0
전북,남원시,8,8,3,0,0
전북,김제시,21,23,5,6,0
전북,완주군,17,17,3,7,0
전북,진안군,7,7,2,4,0
전북,무주군,9,9,4,2,0
전북,장수군,10,11,0,1,0
전북,임실군,6,7,2,1,0
전북,순창군,9,9,3,2,1
전북,고창군,15,15,10,4,0
전북,부안군,17,18,4,6,0
전북,익산시,33,34,4,6,0
전남,목포시,12,13,0,4,0
전남,여수시,26,27,2,5,0
전남,순천시,25,28,10,20,0
전남,나주시,25,25,7,10,0
전남,광양시,16,17,4,4,0
전남,담양군,12,12,8,1,0
전남,곡성군,9,9,4,6,0
전남,구례군,6,7,2,2,0
전남,고흥군,16,17,2,2,0
전남,보성군,13,15,2,1,1
전남,화순군,11,11,5,3,1
전남,장흥군,11,11,5,4,0
전남,강진군,6,6,2,0,0
전남,해남군,19,22,5,14,0
전남,영암군,11,11,6,3,0
전남,무안군,16,17,0,1,0
전남,함평군,8,9,0,1,1
전남,영광군,11,11,1,2,0
전남,장성군,7,7,0,1,0
전남,완도군,4,4,1,0,0
전남,진도군,10,12,2,4,0
전남,신안군,3,3,3,1,0
경북,포항시,31,33,4,4,2
경북,경주시,35,35,12,11,1
경북,김천시,15,17,4,0,0
경북,안동시,31,31,7,4,3
경북,구미시,30,30,2,6,2
경북,영주시,11,11,2,5,0
경북,영천시,23,23,3,7,2
경북,문경시,8,8,1,4,0
경북,상주시,24,26,4,6,0
경북,군위군,13,18,28,18,0
경북,의성군,19,20,3,5,0
경북,청송군,7,7,5,0,0
경북,영양군,2,2,0,0,0
경북,영덕군,9,9,0,4,0
경북,청도군,13,13,2,2,0
경북,고령군,4,4,0,0,0
경북,성주군,10,11,4,3,0
경북,칠곡군,17,17,3,4,3
경북,예천군,6,6,0,0,0
경북,봉화군,5,5,3,0,0
경북,울진군,6,6,0,0,0
경북,경산시,21,22,5,7,0
경남,진주시,28,28,2,3,0
경남,통영시,3,3,0,0,0
경남,김해시,31,32,4,8,0
경남,밀양시,22,23,9,3,0
