시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,20,0,2,16,7
서울,중구,24,0,3,19,8
서울,용산구,27,0,1,28,4
서울,성동구,45,0,4,49,9
서울,동대문구,41,0,7,39,3
서울,성북구,59,0,11,58,6
서울,도봉구,42,0,5,35,10
서울,은평구,55,0,12,36,12
서울,서대문구,43,0,7,28,15
서울,마포구,45,0,5,41,8
서울,강서구,90,1,12,75,23
서울,구로구,81,0,12,63,19
서울,영등포구,74,0,7,64,21
서울,동작구,57,0,4,44,18
서울,관악구,37,0,6,35,4
서울,강남구,107,0,11,90,25
서울,강동구,69,0,13,56,18
서울,송파구,136,0,13,112,34
서울,서초구,69,0,16,57,16
서울,양천구,81,2,13,63,18
서울,중랑구,65,0,8,63,11
서울,노원구,74,0,8,67,8
서울,광진구,45,0,8,44,2
서울,강북구,59,0,4,62,3
서울,금천구,30,0,8,22,2
부산,중구,8,0,0,10,0
부산,서구,19,0,6,14,2
부산,동구,14,0,4,11,2
부산,영도구,7,0,2,4,2
부산,부산진구,52,0,10,39,8
부산,동래구,49,0,8,35,11
부산,남구,32,0,5,26,5
부산,북구,27,0,6,25,2
부산,해운대구,50,0,10,36,9
부산,사하구,40,1,7,43,12
부산,금정구,37,0,7,26,5
부산,강서구,22,0,3,23,1
부산,연제구,29,0,3,28,7
부산,수영구,22,0,3,24,0
부산,사상구,30,0,5,30,3
부산,기장군,33,0,4,32,3
경기,수원시,215,0,34,178,52
경기,성남시,159,0,24,147,33
경기,의정부시,87,0,14,77,19
경기,안양시,67,0,9,62,7
경기,부천시,167,0,28,147,36
경기,안산시,184,0,20,176,30
경기,평택시,191,0,23,157,63
경기,광명시,61,0,4,38,39
경기,구리시,43,0,7,40,6
경기,양주시,59,0,8,57,7
경기,여주시,30,0,3,29,8
경기,화성시,196,0,23,212,32
경기,시흥시,129,0,21,118,26
경기,파주시,103,0,23,97,17
경기,고양시,192,0,24,178,44
경기,광주시,98,0,9,105,28
경기,연천군,4,0,1,5,0
경기,포천시,38,0,2,35,16
경기,가평군,23,0,3,23,2
경기,양평군,34,0,6,30,13
경기,이천시,64,0,10,71,8
경기,용인시,184,0,27,158,63
경기,안성시,58,0,7,57,39
경기,김포시,125,0,12,138,13
경기,동두천시,19,0,0,24,4
경기,과천시,22,0,6,18,7
경기,군포시,43,0,11,36,8
경기,남양주시,157,0,26,133,37
경기,오산시,64,0,11,53,15
경기,의왕시,33,0,1,29,12
경기,하남시,71,1,5,73,15
강원,춘천시,70,0,16,68,13
강원,원주시,73,0,9,70,9
강원,동해시,11,1,1,12,0
강원,강릉시,57,0,4,63,3
강원,속초시,29,0,5,25,7
강원,태백시,9,0,0,13,0
강원,삼척시,21,0,5,22,0
강원,홍천군,11,0,0,17,3
강원,횡성군,18,0,4,21,1
강원,영월군,8,0,2,5,3
강원,평창군,11,0,3,18,1
강원,정선군,5,0,0,4,1
강원,철원군,4,0,1,4,0
강원,화천군,4,0,1,4,0
강원,양구군,5,0,0,7,0
강원,인제군,6,2,0,4,0
강원,고성군,9,0,1,8,1
강원,양양군,16,0,1,12,5
충북,청주시,273,0,32,320,10
충북,충주시,98,1,17,101,8
충북,제천시,51,0,8,55,9
충북,보은군,9,0,0,8,3
충북,옥천군,15,0,2,17,0
충북,영동군,3,0,2,2,0
충북,진천군,24,0,6,27,3
충북,괴산군,4,0,0,4,0
충북,음성군,23,0,7,17,1
충북,단양군,7,0,3,4,3
충북,증평군,8,0,0,11,0
충남,천안시,155,0,19,164,11
충남,아산시,71,1,14,77,6
충남,보령시,27,0,5,31,0
충남,공주시,37,2,7,38,9
충남,서산시,47,0,22,31,4
충남,금산군,4,0,2,2,0
충남,태안군,25,0,7,29,3
충남,논산시,23,0,10,19,0
충남,부여군,7,0,3,5,0
충남,서천군,10,1,2,7,0
충남,청양군,3,0,2,3,0
충남,홍성군,9,0,2,9,0
충남,예산군,12,0,2,13,0
충남,당진시,48,0,14,47,0
충남,계룡시,5,0,0,6,2
전북,전주시,139,0,28,180,7
전북,군산시,59,0,11,62,3
전북,정읍시,23,0,3,25,2
전북,남원시,8,0,2,8,0
전북,김제시,19,0,3,22,2
전북,완주군,15,0,5,16,2
전북,진안군,2,0,2,0,1
전북,무주군,7,0,2,6,1
전북,장수군,1,0,2,0,0
