시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,7,0,2,4,1
서울,중구,6,0,1,2,3
서울,용산구,11,0,1,10,0
서울,성동구,15,0,3,10,2
서울,동대문구,20,0,6,13,1
서울,성북구,23,0,6,16,1
서울,도봉구,18,0,3,13,2
서울,은평구,29,0,10,15,5
서울,서대문구,16,0,4,11,1
서울,마포구,14,0,4,8,2
서울,강서구,43,1,10,27,5
서울,구로구,44,0,10,27,7
서울,영등포구,31,0,5,23,5
서울,동작구,24,0,3,17,4
서울,관악구,14,0,5,9,1
서울,강남구,44,0,4,31,9
서울,강동구,33,0,7,21,7
서울,송파구,54,0,9,33,14
서울,서초구,21,0,6,13,2
서울,양천구,41,2,10,25,4
서울,중랑구,29,0,6,19,5
서울,노원구,28,0,5,20,3
서울,광진구,29,0,8,20,2
서울,강북구,22,0,2,17,3
서울,금천구,18,0,5,12,1
부산,중구,1,0,0,1,0
부산,서구,10,0,4,5,1
부산,동구,5,0,2,2,1
부산,영도구,3,0,2,1,0
부산,부산진구,28,0,9,17,2
부산,동래구,22,0,6,14,2
부산,남구,16,0,5,10,1
부산,북구,14,0,6,8,0
부산,해운대구,25,0,9,11,5
부산,사하구,16,1,6,9,0
부산,금정구,23,0,7,12,4
부산,강서구,5,0,1,4,0
부산,연제구,13,0,3,8,2
부산,수영구,7,0,3,4,0
부산,사상구,14,0,5,8,2
부산,기장군,15,0,4,12,0
경기,수원시,83,0,25,49,11
경기,성남시,62,0,14,47,4
경기,의정부시,32,0,10,19,4
경기,안양시,21,0,6,13,2
경기,부천시,63,0,10,48,7
경기,안산시,65,0,9,51,6
경기,평택시,51,0,17,29,6
경기,광명시,18,0,1,9,8
경기,구리시,17,0,4,12,1
경기,양주시,12,0,1,10,1
경기,여주시,5,0,1,3,2
경기,화성시,55,0,12,38,5
경기,시흥시,45,0,11,25,10
경기,파주시,33,0,18,14,3
경기,고양시,68,0,15,45,12
경기,광주시,25,0,7,14,4
경기,연천군,1,0,1,0,0
경기,포천시,5,0,1,3,1
경기,가평군,5,0,0,5,0
경기,양평군,4,0,1,3,0
경기,이천시,22,0,5,12,6
경기,용인시,61,0,20,33,8
경기,안성시,15,0,4,11,1
경기,김포시,34,0,6,23,5
경기,동두천시,7,0,0,8,1
경기,과천시,4,0,1,2,1
경기,군포시,18,0,8,10,1
경기,남양주시,58,0,18,34,7
경기,오산시,17,0,5,8,4
경기,의왕시,11,0,1,8,2
경기,하남시,20,1,3,14,3
강원,춘천시,17,0,6,11,1
강원,원주시,17,0,5,12,0
강원,동해시,4,1,1,2,0
강원,강릉시,20,0,3,17,0
강원,속초시,12,0,4,6,2
강원,태백시,1,0,0,1,0
강원,삼척시,9,0,3,6,0
강원,홍천군,3,0,0,4,0
강원,횡성군,3,0,3,0,0
강원,영월군,4,0,2,1,1
강원,평창군,1,0,1,0,0
강원,화천군,2,0,1,1,0
강원,양구군,2,0,0,2,0
강원,인제군,2,1,0,1,0
강원,고성군,4,0,1,2,1
강원,양양군,2,0,1,1,0
충북,청주시,72,0,21,51,2
충북,충주시,22,1,7,16,0
충북,제천시,14,0,3,10,1
충북,보은군,2,0,0,2,0
충북,옥천군,7,0,1,6,0
충북,영동군,1,0,1,0,0
충북,진천군,8,0,5,4,0
충북,음성군,5,0,3,2,0
충북,단양군,1,0,1,0,0
충북,증평군,1,0,0,1,0
충남,천안시,45,0,15,29,2
충남,아산시,31,1,7,23,3
충남,보령시,13,0,5,9,0
충남,공주시,6,1,4,2,0
충남,서산시,18,0,12,8,0
충남,금산군,3,0,2,1,0
충남,태안군,6,0,2,4,1
충남,논산시,7,0,6,1,0
충남,부여군,3,0,1,2,0
충남,서천군,5,1,0,4,0
충남,청양군,1,0,1,0,0
충남,홍성군,2,0,1,1,0
충남,예산군,5,0,2,3,0
충남,당진시,14,0,7,8,0
충남,계룡시,1,0,0,1,0
전북,전주시,55,0,21,32,3
전북,군산시,23,0,7,15,1
전북,정읍시,9,0,3,7,0
전북,남원시,2,0,0,2,0
전북,김제시,6,0,2,6,0
전북,완주군,5,0,4,1,0
전북,진안군,1,0,1,0,0
전북,무주군,3,0,2,1,0
전북,순창군,1,0,0,1,0
전북,고창군,2,0,1,1,0
전북,부안군,4,0,1,4,0
전북,익산시,20,0,7,13,0
전남,목포시,40,1,10,31,0
전남,여수시,24,0,11,14,0
전남,순천시,33,0,12,22,0
전남,나주시,14,0,6,7,1
전남,광양시,16,0,9,7,1
전남,담양군,3,0,0,3,0
전남,구례군,2,0,0,1,1
전남,고흥군,2,0,3,0,0
전남,보성군,1,0,1,0,0
전남,화순군,8,1,2,5,0
전남,장흥군,5,0,1,3,1
전남,강진군,1,0,0,1,0
전남,해남군,5,0,2,2,1
전남,영암군,6,0,1,5,0
전남,무안군,13,0,4,9,0
전남,함평군,2,1,1,0,0
전남,영광군,4,0,1,2,1
전남,장성군,2,0,0,2,0
전남,완도군,3,0,1,2,0
전남,진도군,1,0,1,0,0
전남,신안군,1,1,1,0,0
경북,포항시,39,0,9,28,3
경북,경주시,23,0,11,12,0
경북,김천시,11,0,6,6,0
경북,안동시,12,0,4,9,0
