시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,용산구,2,0,0,2,0
서울,성동구,1,0,1,0,0
서울,동대문구,3,0,1,2,0
서울,성북구,8,0,2,7,0
서울,도봉구,8,0,1,7,0
서울,은평구,6,0,2,2,2
서울,마포구,2,0,1,1,0
서울,강서구,16,1,3,10,2
서울,구로구,13,0,4,5,4
서울,영등포구,2,0,1,1,0
서울,동작구,4,0,1,3,0
서울,관악구,3,0,1,2,0
서울,강남구,6,0,0,5,1
서울,강동구,4,0,2,2,0
서울,송파구,4,0,0,3,2
서울,서초구,3,0,0,1,2
서울,양천구,8,1,1,5,1
서울,중랑구,3,0,0,3,0
서울,노원구,6,0,2,4,0
서울,광진구,6,0,4,2,0
서울,강북구,5,0,1,5,0
서울,금천구,1,0,1,0,0
부산,서구,1,0,1,0,0
부산,동구,1,0,0,0,1
부산,영도구,1,0,1,0,0
부산,부산진구,4,0,3,1,0
부산,동래구,5,0,1,3,1
부산,남구,3,0,2,1,0
부산,북구,2,0,1,1,0
부산,해운대구,3,0,1,2,0
부산,사하구,3,0,2,1,0
부산,금정구,3,0,1,2,0
부산,강서구,2,0,0,2,0
부산,연제구,6,0,2,3,1
부산,수영구,1,0,1,0,0
부산,사상구,2,0,1,1,0
부산,기장군,6,0,1,6,0
경기,수원시,7,0,1,6,0
경기,성남시,7,0,2,6,0
경기,의정부시,4,0,1,2,1
경기,안양시,4,0,1,3,0
경기,부천시,7,0,0,9,0
경기,안산시,16,0,5,11,1
경기,평택시,3,0,0,3,0
경기,광명시,2,0,0,1,1
경기,구리시,4,0,1,3,0
경기,양주시,3,0,1,2,0
경기,화성시,8,0,3,6,1
경기,시흥시,9,0,3,6,1
경기,파주시,2,0,0,2,0
경기,고양시,10,0,1,8,1
경기,광주시,1,0,0,1,0
경기,가평군,1,0,0,1,0
경기,용인시,5,0,1,4,0
경기,안성시,1,0,1,0,0
경기,김포시,2,0,0,2,0
경기,동두천시,2,0,0,3,0
경기,과천시,1,0,1,0,0
경기,군포시,4,0,2,2,0
경기,남양주시,7,0,1,5,1
경기,오산시,3,0,0,3,0
경기,의왕시,3,0,0,3,0
경기,하남시,7,0,1,7,0
강원,춘천시,1,0,0,2,0
강원,원주시,2,0,1,1,0
강원,동해시,1,0,0,1,0
강원,강릉시,4,0,1,3,0
강원,태백시,1,0,0,1,0
강원,삼척시,1,0,0,1,0
강원,횡성군,1,0,1,0,0
강원,영월군,1,0,0,1,0
강원,인제군,1,1,0,0,0
충북,청주시,10,0,3,8,0
충북,충주시,5,1,3,2,0
충북,제천시,4,0,1,3,0
충북,옥천군,2,0,1,1,0
충북,진천군,2,0,1,1,0
충북,음성군,1,0,1,0,0
충남,천안시,4,0,1,3,0
충남,아산시,3,1,0,3,0
충남,보령시,2,0,1,1,0
충남,서산시,4,0,1,4,0
충남,논산시,1,0,1,0,0
전북,전주시,5,0,2,3,0
전북,군산시,2,0,0,2,0
전북,정읍시,1,0,0,1,0
전북,완주군,1,0,1,0,0
전북,무주군,1,0,1,0,0
전북,익산시,3,0,1,2,0
전남,목포시,5,0,0,5,0
전남,여수시,2,0,1,1,0
전남,순천시,5,0,1,4,0
전남,나주시,2,0,0,2,0
전남,광양시,2,0,2,0,0
전남,영암군,3,0,0,4,0
전남,무안군,1,0,0,1,0
경북,포항시,5,0,0,6,0
경북,경주시,2,0,1,1,0
경북,안동시,3,0,2,1,0
경북,구미시,4,0,1,3,0
경북,영천시,1,0,1,0,0
경북,칠곡군,1,0,0,1,0
경북,울진군,1,0,0,1,0
경북,경산시,5,0,2,3,0
경남,진주시,4,0,2,2,0
경남,통영시,1,0,1,0,0
경남,김해시,4,0,3,1,0
경남,거제시,3,0,1,2,0
경남,함안군,1,0,1,0,0
경남,양산시,2,0,2,0,0
경남,고성군,1,0,0,1,0
경남,사천시,3,0,1,1,1
경남,하동군,1,0,0,1,0
경남,거창군,1,0,1,0,0
경남,창원시(통합),9,0,3,6,1
제주,제주시,15,0,8,7,0
제주,서귀포시,3,0,2,1,0
대구,중구,1,0,0,1,0
대구,동구,3,0,1,2,0
대구,남구,2,0,0,2,0
대구,북구,5,0,3,2,0
대구,수성구,7,0,5,3,0
대구,달서구,7,0,3,4,0
대구,달성군,5,0,4,1,0
인천,중구,1,0,0,1,0
인천,동구,1,0,0,1,0
인천,미추홀구,6,0,3,3,0
인천,부평구,5,0,2,3,0
인천,남동구,6,0,1,5,0
인천,서구,8,0,2,6,0
인천,연수구,4,0,1,3,0
인천,계양구,2,0,0,3,0
인천,강화군,1,0,1,0,0
광주,동구,2,0,2,0,0
광주,서구,7,0,0,7,0
광주,북구,4,0,1,3,0
광주,광산구,6,0,2,7,0
광주,남구,1,0,1,0,0
대전,동구,2,0,0,2,0
대전,중구,7,0,1,5,1
대전,서구,3,0,0,3,0
대전,유성구,8,0,4,2,2
대전,대덕구,1,0,1,0,0
울산,중구,6,0,3,3,0
울산,남구,6,0,3,3,0
울산,동구,5,0,0,5,1
울산,북구,5,1,1,4,0
울산,울주군,2,0,1,1,0
세종,세종시,4,0,0,4,0
