시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,48,0,10,63,5
서울,중구,30,0,10,29,3
서울,용산구,73,1,20,102,5
서울,성동구,61,0,20,69,3
서울,동대문구,63,0,29,53,4
서울,성북구,62,1,24,79,3
서울,도봉구,35,1,12,36,4
서울,은평구,77,0,27,83,16
서울,서대문구,35,0,9,41,9
서울,마포구,118,0,28,168,15
서울,강서구,110,0,26,127,13
서울,구로구,103,1,32,136,9
서울,영등포구,114,1,24,176,12
서울,동작구,67,0,19,114,11
서울,관악구,95,0,27,110,12
서울,강남구,293,1,75,420,28
서울,강동구,64,0,13,85,10
서울,송파구,161,0,52,227,16
서울,서초구,152,2,57,185,6
서울,양천구,64,1,19,93,9
서울,중랑구,74,0,18,66,18
서울,노원구,93,0,21,117,9
서울,광진구,62,1,23,74,3
서울,강북구,60,1,19,76,7
서울,금천구,76,2,17,94,6
부산,중구,10,0,5,9,1
부산,서구,28,0,10,24,1
부산,동구,21,0,9,21,3
부산,영도구,16,0,9,12,4
부산,부산진구,82,0,31,99,9
부산,동래구,53,0,16,65,9
부산,남구,32,1,15,37,3
부산,북구,44,0,14,45,7
부산,해운대구,71,5,13,89,11
부산,사하구,54,1,24,54,8
부산,금정구,35,1,12,40,4
부산,강서구,43,0,20,54,1
부산,연제구,40,0,9,46,4
부산,수영구,30,1,9,28,4
부산,사상구,52,0,22,46,10
부산,기장군,25,1,9,32,2
경기,수원시,376,1,104,497,31
경기,성남시,252,7,85,285,37
경기,의정부시,112,2,32,131,19
경기,안양시,106,1,32,143,11
경기,부천시,209,2,63,264,18
경기,안산시,308,2,105,401,20
경기,평택시,335,15,99,429,48
경기,광명시,57,0,13,75,25
경기,구리시,63,0,12,86,3
경기,양주시,75,2,23,94,3
경기,여주시,50,4,21,44,6
경기,화성시,272,3,71,397,22
경기,시흥시,205,4,76,250,24
경기,파주시,127,1,30,167,7
경기,고양시,268,3,83,356,33
경기,광주시,142,1,50,171,9
경기,연천군,18,0,5,32,2
경기,포천시,75,2,18,103,12
경기,가평군,32,0,22,38,1
경기,양평군,42,1,20,37,4
경기,이천시,95,1,25,126,8
경기,용인시,264,9,74,317,54
경기,안성시,87,3,30,101,16
경기,김포시,144,2,43,177,3
경기,동두천시,21,0,6,23,1
경기,과천시,15,0,7,13,1
경기,군포시,30,0,6,30,6
경기,남양주시,164,3,45,207,26
경기,오산시,89,0,15,118,9
경기,의왕시,40,1,18,47,3
경기,하남시,67,1,21,71,11
강원,춘천시,96,1,20,148,3
강원,원주시,131,3,25,173,7
강원,동해시,20,2,7,19,1
강원,강릉시,78,3,19,103,1
강원,속초시,28,1,11,29,0
강원,태백시,11,0,3,15,0
강원,삼척시,17,0,8,14,0
강원,홍천군,19,2,4,26,2
강원,횡성군,12,0,9,17,1
강원,영월군,7,0,2,4,2
강원,평창군,13,0,15,24,0
강원,정선군,6,0,3,8,0
강원,철원군,16,3,13,10,0
강원,화천군,3,2,1,1,0
강원,양구군,6,0,4,4,0
강원,인제군,9,0,10,1,1
강원,고성군,8,0,2,7,0
강원,양양군,12,1,2,14,0
충북,청주시,356,5,108,494,20
충북,충주시,94,5,35,84,11
충북,제천시,53,2,21,60,4
충북,보은군,4,0,0,7,1
충북,옥천군,24,1,15,22,3
충북,영동군,18,0,13,11,2
충북,진천군,37,1,10,37,3
충북,괴산군,15,1,8,12,1
충북,음성군,47,1,21,39,1
충북,단양군,14,0,8,16,1
충북,증평군,16,0,6,17,1
충남,천안시,350,4,75,498,18
충남,아산시,126,2,31,152,5
충남,보령시,51,0,29,48,4
충남,공주시,58,2,15,66,4
충남,서산시,128,5,82,115,9
충남,금산군,16,0,6,16,0
충남,태안군,32,4,19,22,2
충남,논산시,50,0,22,45,9
충남,부여군,12,0,6,8,1
충남,서천군,30,4,12,27,0
충남,청양군,15,1,6,11,0
충남,홍성군,31,2,7,46,1
충남,예산군,30,2,10,33,0
충남,당진시,82,7,43,69,3
충남,계룡시,8,0,2,10,0
전북,전주시,239,4,68,341,1
전북,군산시,69,1,21,87,2
전북,정읍시,38,2,10,42,1
전북,남원시,17,0,9,18,1
전북,김제시,36,1,6,61,0
전북,완주군,35,2,7,52,2
전북,진안군,7,1,0,7,2
전북,무주군,10,2,5,6,1
전북,장수군,4,1,1,2,0
전북,임실군,4,0,0,4,0
전북,순창군,8,1,2,7,1
전북,고창군,10,0,8,8,0
전북,부안군,28,3,15,23,2
전북,익산시,74,2,18,122,1
전남,목포시,115,2,16,191,7
전남,여수시,109,0,26,149,5
전남,순천시,95,0,26,130,4
