사고유형대분류,사고유형중분류,사고유형,도로종류,사고건수,사망자수,중상자수,경상자수,부상신고자수
차대사람,횡단중,횡단중,일반국도,970,94,490,403,40
차대사람,횡단중,횡단중,지방도,1180,60,593,556,54
차대사람,횡단중,횡단중,특별광역시도,8046,204,3894,4055,420
차대사람,횡단중,횡단중,시도,6425,241,3289,3019,245
차대사람,횡단중,횡단중,군도,610,35,333,262,22
차대사람,횡단중,횡단중,고속국도,12,2,4,6,1
차대사람,횡단중,횡단중,기타,858,16,340,511,40
차대사람,차도통행중,차도통행중,일반국도,211,36,89,77,19
차대사람,차도통행중,차도통행중,지방도,239,28,118,97,11
차대사람,차도통행중,차도통행중,특별광역시도,2048,48,806,1130,146
차대사람,차도통행중,차도통행중,시도,1627,53,656,884,88
차대사람,차도통행중,차도통행중,군도,254,8,125,121,7
차대사람,차도통행중,차도통행중,고속국도,5,2,2,1,0
차대사람,차도통행중,차도통행중,기타,381,5,148,217,22
차대사람,길가장자리구역통행중,길가장자리구역통행중,일반국도,93,7,38,47,7
차대사람,길가장자리구역통행중,길가장자리구역통행중,지방도,137,13,55,68,8
차대사람,길가장자리구역통행중,길가장자리구역통행중,특별광역시도,1324,2,336,907,136
차대사람,길가장자리구역통행중,길가장자리구역통행중,시도,775,8,251,488,57
차대사람,길가장자리구역통행중,길가장자리구역통행중,군도,142,8,56,77,6
차대사람,길가장자리구역통행중,길가장자리구역통행중,고속국도,2,0,1,1,0
차대사람,길가장자리구역통행중,길가장자리구역통행중,기타,232,3,79,146,12
차대사람,보도통행중,보도통행중,일반국도,88,4,38,52,3
차대사람,보도통행중,보도통행중,지방도,98,3,43,56,5
차대사람,보도통행중,보도통행중,특별광역시도,1161,13,416,713,93
차대사람,보도통행중,보도통행중,시도,678,13,295,393,44
차대사람,보도통행중,보도통행중,군도,58,3,22,32,3
차대사람,보도통행중,보도통행중,고속국도,2,0,1,0,1
차대사람,보도통행중,보도통행중,기타,250,1,84,152,21
차대사람,기타,기타,일반국도,780,30,318,432,52
차대사람,기타,기타,지방도,1009,54,386,557,77
차대사람,기타,기타,특별광역시도,8114,108,2545,5084,765
차대사람,기타,기타,시도,5241,93,1838,3170,401
차대사람,기타,기타,군도,463,21,224,225,19
차대사람,기타,기타,고속국도,71,12,36,34,5
차대사람,기타,기타,기타,2566,43,911,1508,235
차대차,정면충돌,정면충돌,일반국도,826,54,655,939,73
차대차,정면충돌,정면충돌,지방도,854,41,577,977,95
차대차,정면충돌,정면충돌,특별광역시도,2296,32,1036,2587,225
차대차,정면충돌,정면충돌,시도,2436,56,1188,2879,222
차대차,정면충돌,정면충돌,군도,435,17,295,468,37
차대차,정면충돌,정면충돌,고속국도,23,6,18,31,1
차대차,정면충돌,정면충돌,기타,461,9,183,506,49
차대차,측면충돌,측면충돌,일반국도,7278,88,2574,9103,736
차대차,측면충돌,측면충돌,지방도,6130,84,2160,7443,706
차대차,측면충돌,측면충돌,특별광역시도,33543,120,8142,39754,3875
차대차,측면충돌,측면충돌,시도,28546,187,8332,34092,2639
차대차,측면충돌,측면충돌,군도,3450,48,1440,3838,282
차대차,측면충돌,측면충돌,고속국도,1051,7,299,1500,169
차대차,측면충돌,측면충돌,기타,3510,19,884,4028,384
차대차,후진중충돌,후진중충돌,일반국도,129,0,20,160,7
차대차,후진중충돌,후진중충돌,지방도,171,0,40,213,7
차대차,후진중충돌,후진중충돌,특별광역시도,1175,1,104,1336,73
차대차,후진중충돌,후진중충돌,시도,1009,0,92,1193,68
차대차,후진중충돌,후진중충돌,군도,122,0,36,122,5
차대차,후진중충돌,후진중충돌,고속국도,27,0,3,32,2
차대차,후진중충돌,후진중충돌,기타,442,0,44,546,24
차대차,추돌,추돌,일반국도,4756,95,1751,7523,524
차대차,추돌,추돌,지방도,2485,39,696,3867,271
차대차,추돌,추돌,특별광역시도,13879,38,3049,20081,1511
차대차,추돌,추돌,시도,10141,76,2495,15416,1098
차대차,추돌,추돌,군도,721,13,246,897,62
차대차,추돌,추돌,고속국도,1801,107,945,3479,446
차대차,추돌,추돌,기타,1198,11,343,1644,104
차대차,기타,기타,일반국도,3716,39,1091,4340,430
차대차,기타,기타,지방도,3301,26,942,3895,445
차대차,기타,기타,특별광역시도,17339,54,4050,18477,2087
차대차,기타,기타,시도,15023,68,3975,16949,1580
차대차,기타,기타,군도,849,10,295,891,78
차대차,기타,기타,고속국도,1076,37,359,1568,340
차대차,기타,기타,기타,3129,13,809,3307,352
차량단독,전도,전도,일반국도,141,12,54,70,23
차량단독,전도,전도,지방도,159,12,68,80,34
차량단독,전도,전도,특별광역시도,236,14,69,96,79
차량단독,전도,전도,시도,332,23,148,125,79
차량단독,전도,전도,군도,149,17,67,70,22
차량단독,전도,전도,고속국도,13,3,15,6,1
차량단독,전도,전도,기타,111,17,41,43,24
차량단독,전복,전복,일반국도,34,5,10,15,9
차량단독,전복,전복,지방도,37,6,27,20,8
차량단독,전복,전복,특별광역시도,25,3,10,13,4
차량단독,전복,전복,시도,39,5,14,21,12
차량단독,전복,전복,군도,21,5,14,17,0
차량단독,전복,전복,고속국도,11,5,7,7,1
차량단독,전복,전복,기타,23,7,15,9,3
차량단독,공작물충돌,공작물충돌,일반국도,691,53,361,402,129
차량단독,공작물충돌,공작물충돌,지방도,539,59,250,338,103
차량단독,공작물충돌,공작물충돌,특별광역시도,733,47,320,452,195
차량단독,공작물충돌,공작물충돌,시도,1060,96,473,669,247
차량단독,공작물충돌,공작물충돌,군도,307,30,172,169,48
차량단독,공작물충돌,공작물충돌,고속국도,65,18,39,64,17
차량단독,공작물충돌,공작물충돌,기타,191,15,86,124,37
차량단독,주/정차차량 충돌,주/정차차량 충돌,일반국도,2,0,2,0,0
차량단독,주/정차차량 충돌,주/정차차량 충돌,지방도,5,0,3,5,0
차량단독,주/정차차량 충돌,주/정차차량 충돌,특별광역시도,17,2,2,14,2
차량단독,주/정차차량 충돌,주/정차차량 충돌,시도,15,2,4,8,1
차량단독,주/정차차량 충돌,주/정차차량 충돌,군도,3,0,2,0,1
차량단독,주/정차차량 충돌,주/정차차량 충돌,고속국도,1,0,0,1,0
차량단독,주/정차차량 충돌,주/정차차량 충돌,기타,2,1,0,1,0
차량단독,도로이탈,도로이탈 추락,일반국도,43,8,21,22,7
차량단독,도로이탈,도로이탈 추락,지방도,70,19,35,27,8
차량단독,도로이탈,도로이탈 추락,특별광역시도,14,4,6,7,3
차량단독,도로이탈,도로이탈 추락,시도,109,24,60,38,14
차량단독,도로이탈,도로이탈 추락,군도,117,22,62,48,20
차량단독,도로이탈,도로이탈 추락,고속국도,2,2,0,0,1
차량단독,도로이탈,도로이탈 추락,기타,88,19,52,47,6
차량단독,도로이탈,도로이탈 기타,일반국도,29,3,16,18,2
차량단독,도로이탈,도로이탈 기타,지방도,44,5,27,28,5
차량단독,도로이탈,도로이탈 기타,특별광역시도,11,1,4,13,1
차량단독,도로이탈,도로이탈 기타,시도,50,3,23,29,6
차량단독,도로이탈,도로이탈 기타,군도,40,4,18,23,2
차량단독,도로이탈,도로이탈 기타,기타,26,2,19,14,1
차량단독,기타,기타,일반국도,379,13,165,234,51
차량단독,기타,기타,지방도,337,13,138,193,60
차량단독,기타,기타,특별광역시도,1834,28,604,1199,249
차량단독,기타,기타,시도,1443,21,531,881,224
차량단독,기타,기타,군도,140,17,71,67,15
차량단독,기타,기타,고속국도,61,5,39,26,12
차량단독,기타,기타,기타,315,11,106,204,44
철길건널목,철길건널목,철길건널목,시도,4,2,4,4,0
철길건널목,철길건널목,철길건널목,기타,4,0,4,1,0
