사고유형대분류,사고유형중분류,사고유형,가해자차종,사고건수,사망자수,중상자수,경상자수,부상신고자수
차대사람,횡단중,횡단중,승용차,12364,398,6110,6094,432
차대사람,횡단중,횡단중,승합차,1112,75,571,484,44
차대사람,횡단중,횡단중,화물차,2078,135,1143,814,52
차대사람,횡단중,횡단중,특수차,47,5,31,10,5
차대사람,횡단중,횡단중,이륜차,1547,18,789,889,127
차대사람,횡단중,횡단중,사륜오토바이(ATV),10,0,5,5,1
차대사람,횡단중,횡단중,원동기장치자전거,171,2,84,90,13
차대사람,횡단중,횡단중,자전거,245,1,101,145,23
차대사람,횡단중,횡단중,개인형이동수단(PM),29,0,11,15,3
차대사람,횡단중,횡단중,건설기계,85,17,53,18,1
차대사람,횡단중,횡단중,농기계,1,1,0,0,0
차대사람,횡단중,횡단중,기타,5,0,1,3,1
차대사람,횡단중,횡단중,불명,407,0,44,245,120
차대사람,차도통행중,차도통행중,승용차,3401,114,1373,1847,176
차대사람,차도통행중,차도통행중,승합차,233,8,103,117,12
차대사람,차도통행중,차도통행중,화물차,557,42,261,252,18
차대사람,차도통행중,차도통행중,특수차,15,2,9,3,1
차대사람,차도통행중,차도통행중,이륜차,261,5,114,149,30
차대사람,차도통행중,차도통행중,사륜오토바이(ATV),1,0,1,0,0
차대사람,차도통행중,차도통행중,원동기장치자전거,28,0,11,15,4
차대사람,차도통행중,차도통행중,자전거,77,1,34,38,9
차대사람,차도통행중,차도통행중,개인형이동수단(PM),7,0,4,3,1
차대사람,차도통행중,차도통행중,건설기계,30,7,16,7,0
차대사람,차도통행중,차도통행중,농기계,2,1,0,2,0
차대사람,차도통행중,차도통행중,기타,4,0,2,2,0
차대사람,차도통행중,차도통행중,불명,149,0,16,92,42
차대사람,길가장자리구역통행중,길가장자리구역통행중,승용차,1930,16,549,1311,133
차대사람,길가장자리구역통행중,길가장자리구역통행중,승합차,115,3,33,70,12
차대사람,길가장자리구역통행중,길가장자리구역통행중,화물차,358,21,161,167,19
차대사람,길가장자리구역통행중,길가장자리구역통행중,특수차,5,0,3,2,0
차대사람,길가장자리구역통행중,길가장자리구역통행중,이륜차,79,0,29,56,7
차대사람,길가장자리구역통행중,길가장자리구역통행중,사륜오토바이(ATV),2,0,2,0,0
차대사람,길가장자리구역통행중,길가장자리구역통행중,원동기장치자전거,7,0,5,3,1
차대사람,길가장자리구역통행중,길가장자리구역통행중,자전거,30,0,6,23,5
차대사람,길가장자리구역통행중,길가장자리구역통행중,개인형이동수단(PM),2,0,0,1,1
차대사람,길가장자리구역통행중,길가장자리구역통행중,건설기계,10,1,5,3,1
차대사람,길가장자리구역통행중,길가장자리구역통행중,농기계,4,0,2,2,0
차대사람,길가장자리구역통행중,길가장자리구역통행중,기타,4,0,1,3,0
차대사람,길가장자리구역통행중,길가장자리구역통행중,불명,159,0,20,93,47
차대사람,보도통행중,보도통행중,승용차,1261,16,530,766,51
차대사람,보도통행중,보도통행중,승합차,116,7,54,61,6
차대사람,보도통행중,보도통행중,화물차,262,8,127,139,6
차대사람,보도통행중,보도통행중,특수차,4,0,2,2,0
차대사람,보도통행중,보도통행중,이륜차,239,3,77,162,19
차대사람,보도통행중,보도통행중,사륜오토바이(ATV),8,0,3,7,0
차대사람,보도통행중,보도통행중,원동기장치자전거,49,0,16,30,5
차대사람,보도통행중,보도통행중,자전거,227,0,57,142,36
차대사람,보도통행중,보도통행중,개인형이동수단(PM),34,0,5,20,10
차대사람,보도통행중,보도통행중,건설기계,12,3,7,3,0
차대사람,보도통행중,보도통행중,농기계,1,0,1,0,0
차대사람,보도통행중,보도통행중,기타,10,0,2,7,1
차대사람,보도통행중,보도통행중,불명,112,0,18,59,36
차대사람,기타,기타,승용차,11438,218,3769,7185,793
차대사람,기타,기타,승합차,1953,42,728,1118,147
차대사람,기타,기타,화물차,2155,88,970,1080,125
차대사람,기타,기타,특수차,64,2,34,30,3
차대사람,기타,기타,이륜차,861,5,343,553,82
차대사람,기타,기타,사륜오토바이(ATV),13,0,7,7,1
차대사람,기타,기타,원동기장치자전거,131,0,53,81,12
차대사람,기타,기타,자전거,542,1,159,347,98
차대사람,기타,기타,개인형이동수단(PM),58,0,18,39,6
차대사람,기타,기타,건설기계,91,4,57,29,4
차대사람,기타,기타,농기계,13,1,9,2,1
차대사람,기타,기타,기타,35,0,11,22,3
차대사람,기타,기타,불명,890,0,100,517,279
차대차,정면충돌,정면충돌,승용차,5000,114,2742,6028,406
차대차,정면충돌,정면충돌,승합차,225,7,158,337,33
차대차,정면충돌,정면충돌,화물차,997,45,608,1096,65
차대차,정면충돌,정면충돌,특수차,25,1,19,26,4
차대차,정면충돌,정면충돌,이륜차,633,35,247,587,98
차대차,정면충돌,정면충돌,사륜오토바이(ATV),13,2,6,5,4
차대차,정면충돌,정면충돌,원동기장치자전거,72,2,33,66,12
차대차,정면충돌,정면충돌,자전거,261,5,90,151,60
차대차,정면충돌,정면충돌,개인형이동수단(PM),18,0,9,7,5
차대차,정면충돌,정면충돌,건설기계,47,4,32,52,3
차대차,정면충돌,정면충돌,농기계,13,0,2,17,2
차대차,정면충돌,정면충돌,기타,8,0,2,4,4
차대차,정면충돌,정면충돌,불명,19,0,4,11,6
차대차,측면충돌,측면충돌,승용차,56569,212,15834,72178,5139
차대차,측면충돌,측면충돌,승합차,3935,22,1125,5295,382
차대차,측면충돌,측면충돌,화물차,10042,105,3182,11494,771
차대차,측면충돌,측면충돌,특수차,504,7,153,564,32
차대차,측면충돌,측면충돌,이륜차,7241,126,2181,6195,1507
차대차,측면충돌,측면충돌,사륜오토바이(ATV),96,3,21,89,8
차대차,측면충돌,측면충돌,원동기장치자전거,825,17,238,652,167
차대차,측면충돌,측면충돌,자전거,2222,33,557,1216,563
차대차,측면충돌,측면충돌,개인형이동수단(PM),124,3,40,68,25
차대차,측면충돌,측면충돌,건설기계,1172,20,354,1307,57
차대차,측면충돌,측면충돌,농기계,157,5,60,138,15
차대차,측면충돌,측면충돌,기타,46,0,13,32,7
차대차,측면충돌,측면충돌,불명,575,0,73,530,118
차대차,후진중충돌,후진중충돌,승용차,2257,0,208,2753,142
차대차,후진중충돌,후진중충돌,승합차,144,0,14,157,9
차대차,후진중충돌,후진중충돌,화물차,586,0,102,616,25
차대차,후진중충돌,후진중충돌,특수차,24,0,4,22,1
차대차,후진중충돌,후진중충돌,이륜차,13,0,1,11,3
차대차,후진중충돌,후진중충돌,사륜오토바이(ATV),1,0,2,0,0
차대차,후진중충돌,후진중충돌,자전거,4,0,1,1,2
차대차,후진중충돌,후진중충돌,건설기계,30,1,6,28,0
차대차,후진중충돌,후진중충돌,농기계,5,0,1,5,0
차대차,후진중충돌,후진중충돌,불명,11,0,0,9,4
차대차,추돌,추돌,승용차,24642,152,6032,37978,2405
차대차,추돌,추돌,승합차,1706,13,687,3558,415
차대차,추돌,추돌,화물차,5437,159,1923,8202,557
차대차,추돌,추돌,특수차,226,12,108,345,17
차대차,추돌,추돌,이륜차,1845,32,460,1636,429
차대차,추돌,추돌,사륜오토바이(ATV),20,2,6,18,2
차대차,추돌,추돌,원동기장치자전거,170,1,41,143,47
차대차,추돌,추돌,자전거,187,1,58,100,56
차대차,추돌,추돌,개인형이동수단(PM),9,0,3,6,2
차대차,추돌,추돌,건설기계,480,6,174,685,42
차대차,추돌,추돌,농기계,12,0,0,13,2
차대차,추돌,추돌,기타,15,1,2,16,1
차대차,추돌,추돌,불명,232,0,31,207,41
차대차,기타,기타,승용차,28695,104,7528,34319,2722
차대차,기타,기타,승합차,2154,11,586,2734,237
차대차,기타,기타,화물차,5318,58,1422,6021,431
차대차,기타,기타,특수차,271,3,88,313,21
차대차,기타,기타,이륜차,3931,38,962,3071,978
차대차,기타,기타,사륜오토바이(ATV),38,0,12,24,7
차대차,기타,기타,원동기장치자전거,459,4,106,358,113
차대차,기타,기타,자전거,1547,17,375,883,413
차대차,기타,기타,개인형이동수단(PM),111,0,33,67,21
차대차,기타,기타,건설기계,533,8,147,619,54
차대차,기타,기타,농기계,69,2,25,56,10
차대차,기타,기타,기타,57,1,14,33,14
차대차,기타,기타,불명,1250,1,223,929,291
차량단독,전도,전도,승용차,98,6,58,62,25
차량단독,전도,전도,승합차,19,2,25,24,11
차량단독,전도,전도,화물차,100,11,45,67,16
차량단독,전도,전도,특수차,14,1,5,6,2
차량단독,전도,전도,이륜차,632,35,231,238,157
차량단독,전도,전도,사륜오토바이(ATV),39,9,16,11,3
차량단독,전도,전도,원동기장치자전거,71,5,26,28,16
차량단독,전도,전도,자전거,91,9,30,34,18
차량단독,전도,전도,개인형이동수단(PM),10,0,3,4,3
차량단독,전도,전도,건설기계,17,4,5,5,3
차량단독,전도,전도,농기계,43,16,16,6,7
차량단독,전도,전도,기타,7,0,2,5,1
차량단독,전복,전복,승용차,119,14,57,62,25
차량단독,전복,전복,승합차,6,5,18,9,0
차량단독,전복,전복,화물차,29,5,8,19,5
차량단독,전복,전복,특수차,1,1,0,0,0
차량단독,전복,전복,이륜차,11,3,4,4,3
차량단독,전복,전복,사륜오토바이(ATV),7,3,1,2,1
차량단독,전복,전복,원동기장치자전거,2,0,2,0,1
차량단독,전복,전복,자전거,5,1,2,1,1
차량단독,전복,전복,개인형이동수단(PM),1,0,0,1,0
차량단독,전복,전복,건설기계,1,0,1,0,0
차량단독,전복,전복,농기계,7,4,1,2,1
차량단독,전복,전복,기타,1,0,3,2,0
차량단독,공작물충돌,공작물충돌,승용차,2271,152,1011,1428,461
차량단독,공작물충돌,공작물충돌,승합차,172,9,149,341,135
차량단독,공작물충돌,공작물충돌,화물차,553,75,269,269,68
