사고유형대분류,사고유형중분류,사고유형,시간대,사고건수,사망자수,중상자수,경상자수,부상신고자수
차대사람,횡단중,횡단중,00시-02시,767,40,406,356,43
차대사람,횡단중,횡단중,02시-04시,379,29,206,165,22
차대사람,횡단중,횡단중,04시-06시,571,63,320,184,23
차대사람,횡단중,횡단중,06시-08시,1003,68,571,371,28
차대사람,횡단중,횡단중,08시-10시,1780,39,861,887,63
차대사람,횡단중,횡단중,10시-12시,1404,46,772,586,54
차대사람,횡단중,횡단중,12시-14시,1498,37,710,750,71
차대사람,횡단중,횡단중,14시-16시,1934,39,893,1033,75
차대사람,횡단중,횡단중,16시-18시,2165,44,974,1139,113
차대사람,횡단중,횡단중,18시-20시,3037,110,1468,1523,135
차대사람,횡단중,횡단중,20시-22시,2161,88,1052,1105,130
차대사람,횡단중,횡단중,22시-24시,1402,49,710,713,65
차대사람,차도통행중,차도통행중,00시-02시,235,9,80,150,13
차대사람,차도통행중,차도통행중,02시-04시,159,8,66,84,8
차대사람,차도통행중,차도통행중,04시-06시,143,21,66,54,8
차대사람,차도통행중,차도통행중,06시-08시,243,23,116,105,8
차대사람,차도통행중,차도통행중,08시-10시,418,10,176,228,15
차대사람,차도통행중,차도통행중,10시-12시,411,13,185,201,19
차대사람,차도통행중,차도통행중,12시-14시,461,5,173,267,27
차대사람,차도통행중,차도통행중,14시-16시,509,7,202,275,37
차대사람,차도통행중,차도통행중,16시-18시,570,7,232,301,41
차대사람,차도통행중,차도통행중,18시-20시,667,25,271,357,43
차대사람,차도통행중,차도통행중,20시-22시,563,32,222,297,44
차대사람,차도통행중,차도통행중,22시-24시,386,20,155,208,30
차대사람,길가장자리구역통행중,길가장자리구역통행중,00시-02시,117,2,30,70,17
차대사람,길가장자리구역통행중,길가장자리구역통행중,02시-04시,73,1,18,50,6
차대사람,길가장자리구역통행중,길가장자리구역통행중,04시-06시,62,3,19,40,4
차대사람,길가장자리구역통행중,길가장자리구역통행중,06시-08시,102,3,34,61,7
차대사람,길가장자리구역통행중,길가장자리구역통행중,08시-10시,262,2,76,159,26
차대사람,길가장자리구역통행중,길가장자리구역통행중,10시-12시,241,3,87,147,12
차대사람,길가장자리구역통행중,길가장자리구역통행중,12시-14시,274,2,80,188,12
차대사람,길가장자리구역통행중,길가장자리구역통행중,14시-16시,326,2,98,232,26
차대사람,길가장자리구역통행중,길가장자리구역통행중,16시-18시,336,3,102,212,28
차대사람,길가장자리구역통행중,길가장자리구역통행중,18시-20시,437,15,147,266,30
차대사람,길가장자리구역통행중,길가장자리구역통행중,20시-22시,287,5,80,172,38
차대사람,길가장자리구역통행중,길가장자리구역통행중,22시-24시,188,0,45,137,20
차대사람,보도통행중,보도통행중,00시-02시,64,2,25,33,10
