사고유형대분류,사고유형중분류,사고유형,월,사고건수,사망자수,중상자수,경상자수,부상신고자수
차대사람,횡단중,횡단중,01월,1532,69,841,650,61
차대사람,횡단중,횡단중,02월,1201,40,599,594,39
차대사람,횡단중,횡단중,03월,1453,47,736,709,61
차대사람,횡단중,횡단중,04월,1604,55,778,783,73
차대사람,횡단중,횡단중,05월,1516,61,751,715,85
차대사람,횡단중,횡단중,06월,1364,44,635,707,61
차대사람,횡단중,횡단중,07월,1399,36,654,731,65
차대사람,횡단중,횡단중,08월,1372,48,647,688,81
차대사람,횡단중,횡단중,09월,1516,63,732,743,94
차대사람,횡단중,횡단중,10월,1716,67,863,821,66
차대사람,횡단중,횡단중,11월,1798,64,890,879,66
차대사람,횡단중,횡단중,12월,1630,58,817,792,70
차대사람,차도통행중,차도통행중,01월,353,16,155,178,15
차대사람,차도통행중,차도통행중,02월,329,11,139,161,24
차대사람,차도통행중,차도통행중,03월,419,11,171,216,31
차대사람,차도통행중,차도통행중,04월,387,12,150,221,21
차대사람,차도통행중,차도통행중,05월,421,13,160,232,29
차대사람,차도통행중,차도통행중,06월,353,12,130,196,30
차대사람,차도통행중,차도통행중,07월,364,10,139,211,16
차대사람,차도통행중,차도통행중,08월,376,13,157,208,20
차대사람,차도통행중,차도통행중,09월,390,17,158,209,19
차대사람,차도통행중,차도통행중,10월,444,15,176,245,22
차대사람,차도통행중,차도통행중,11월,487,23,225,231,30
차대사람,차도통행중,차도통행중,12월,442,27,184,219,36
차대사람,길가장자리구역통행중,길가장자리구역통행중,01월,210,5,73,140,24
차대사람,길가장자리구역통행중,길가장자리구역통행중,02월,207,5,54,130,23
차대사람,길가장자리구역통행중,길가장자리구역통행중,03월,283,4,91,177,20
차대사람,길가장자리구역통행중,길가장자리구역통행중,04월,237,2,72,150,18
차대사람,길가장자리구역통행중,길가장자리구역통행중,05월,216,1,60,149,17
차대사람,길가장자리구역통행중,길가장자리구역통행중,06월,187,2,54,120,15
차대사람,길가장자리구역통행중,길가장자리구역통행중,07월,182,0,49,119,19
