시도,시군구,가해자연령층,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,20세이하,20,0,11,13,8
서울,종로구,21-30세,135,2,37,127,23
서울,종로구,31-40세,165,0,43,162,36
서울,종로구,41-50세,199,2,57,183,24
서울,종로구,51-60세,287,0,69,293,37
서울,종로구,61-64세,99,2,23,89,6
서울,종로구,65세이상,190,0,65,188,23
서울,종로구,불명,38,0,7,20,15
서울,중구,20세이하,9,0,5,2,2
서울,중구,21-30세,149,0,58,139,23
서울,중구,31-40세,186,0,51,164,25
서울,중구,41-50세,191,2,61,176,42
서울,중구,51-60세,296,2,87,279,30
서울,중구,61-64세,109,0,34,102,18
서울,중구,65세이상,213,1,63,199,22
서울,중구,불명,31,0,6,22,5
서울,용산구,20세이하,29,0,10,21,2
서울,용산구,21-30세,166,2,56,204,5
서울,용산구,31-40세,205,0,54,193,7
서울,용산구,41-50세,179,0,43,202,14
서울,용산구,51-60세,271,2,67,272,14
서울,용산구,61-64세,106,0,38,110,2
서울,용산구,65세이상,184,6,42,193,14
서울,용산구,불명,47,0,6,33,12
서울,성동구,20세이하,38,0,16,19,8
서울,성동구,21-30세,150,1,34,142,16
서울,성동구,31-40세,173,2,55,164,14
서울,성동구,41-50세,191,1,64,156,16
서울,성동구,51-60세,245,3,58,285,19
서울,성동구,61-64세,101,4,20,105,1
서울,성동구,65세이상,156,2,46,156,4
서울,성동구,불명,37,0,1,36,4
서울,동대문구,20세이하,60,1,15,49,12
서울,동대문구,21-30세,155,1,55,140,21
서울,동대문구,31-40세,234,3,83,191,20
서울,동대문구,41-50세,267,1,94,222,23
서울,동대문구,51-60세,390,5,121,342,25
서울,동대문구,61-64세,148,1,42,132,12
서울,동대문구,65세이상,288,3,92,246,26
서울,동대문구,불명,23,0,5,18,2
서울,성북구,20세이하,39,0,13,35,8
서울,성북구,21-30세,201,1,68,187,23
서울,성북구,31-40세,252,1,76,245,22
서울,성북구,41-50세,276,1,85,251,16
서울,성북구,51-60세,350,2,99,344,21
서울,성북구,61-64세,164,1,52,162,10
서울,성북구,65세이상,216,2,51,214,14
서울,성북구,불명,11,0,3,6,2
서울,도봉구,20세이하,54,1,17,33,18
서울,도봉구,21-30세,112,1,35,88,25
서울,도봉구,31-40세,128,1,34,105,14
서울,도봉구,41-50세,140,1,51,124,21
서울,도봉구,51-60세,222,0,83,202,29
서울,도봉구,61-64세,63,0,25,72,6
서울,도봉구,65세이상,118,0,38,112,15
서울,도봉구,불명,15,0,3,6,7
서울,은평구,20세이하,40,0,16,27,10
서울,은평구,21-30세,109,0,37,87,16
