시도,시군구,가해자차량용도대분류,가해자차량용도중분류,가해자차량용도,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,사업용,노선버스,마을버스,11,0,1,7,4
서울,종로구,사업용,노선버스,시내버스,52,0,21,56,2
서울,종로구,사업용,노선버스,시외버스,8,0,2,9,0
서울,종로구,사업용,전세버스,전세버스,21,0,7,21,0
서울,종로구,사업용,택시,법인택시,173,0,41,190,17
서울,종로구,사업용,택시,개인택시,74,1,26,61,9
서울,종로구,사업용,화물차,화물차,16,0,4,16,0
서울,종로구,사업용,렌터카,렌터카,73,0,20,77,6
서울,종로구,사업용,기타/건설기계,기타/건설기계,4,0,2,5,1
서울,종로구,비사업용,승용차,승용차,425,1,107,445,47
서울,종로구,비사업용,버스,버스,1,0,0,2,0
서울,종로구,비사업용,어린이통학버스,어린이통학버스,2,0,1,2,0
서울,종로구,비사업용,화물차,화물차,64,1,24,57,6
서울,종로구,비사업용,기타/건설기계,기타/건설기계,13,0,4,22,3
서울,종로구,이륜차,이륜차,이륜차,99,2,32,55,39
서울,종로구,원동기장치자전거,원동기장치자전거,원동기장치자전거,38,0,11,22,13
서울,종로구,자전거,자전거,자전거,19,1,3,6,9
서울,종로구,개인형이동수단(PM),개인형이동수단(PM),개인형이동수단(PM),1,0,0,1,0
서울,종로구,기타,기타,기타,2,0,0,1,1
서울,종로구,불명,불명,불명,37,0,6,20,15
서울,중구,사업용,노선버스,마을버스,2,0,0,2,0
서울,중구,사업용,노선버스,시내버스,54,1,17,41,6
서울,중구,사업용,노선버스,시외버스,8,1,2,3,2
서울,중구,사업용,노선버스,고속버스,4,0,2,3,0
서울,중구,사업용,전세버스,전세버스,14,0,1,19,1
서울,중구,사업용,택시,법인택시,199,0,61,200,17
서울,중구,사업용,택시,개인택시,81,0,23,82,11
서울,중구,사업용,화물차,화물차,23,0,8,16,3
서울,중구,사업용,렌터카,렌터카,87,0,31,83,13
서울,중구,사업용,기타/건설기계,기타/건설기계,7,1,3,3,0
서울,중구,비사업용,승용차,승용차,417,1,132,435,62
서울,중구,비사업용,버스,버스,11,0,2,10,4
서울,중구,비사업용,화물차,화물차,62,1,20,54,2
서울,중구,비사업용,기타/건설기계,기타/건설기계,14,0,5,10,0
서울,중구,이륜차,이륜차,이륜차,109,0,35,70,24
서울,중구,원동기장치자전거,원동기장치자전거,원동기장치자전거,37,0,12,19,9
서울,중구,자전거,자전거,자전거,23,0,4,14,7
서울,중구,개인형이동수단(PM),개인형이동수단(PM),개인형이동수단(PM),2,0,1,1,0
서울,중구,기타,기타,기타,1,0,0,0,1
서울,중구,불명,불명,불명,29,0,6,18,5
서울,용산구,사업용,노선버스,마을버스,8,0,4,5,0
서울,용산구,사업용,노선버스,시내버스,17,0,2,17,1
서울,용산구,사업용,노선버스,시외버스,2,0,1,4,0
서울,용산구,사업용,전세버스,전세버스,9,0,1,9,0
서울,용산구,사업용,택시,법인택시,236,1,70,260,7
서울,용산구,사업용,택시,개인택시,59,2,16,68,3
서울,용산구,사업용,화물차,화물차,32,1,6,35,0
