시도,시군구,가해자차종,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,승용차,732,2,192,758,77
서울,종로구,승합차,120,0,37,134,11
서울,종로구,화물차,79,1,28,72,6
서울,종로구,특수차,1,0,0,1,0
서울,종로구,이륜차,99,2,32,55,39
서울,종로구,원동기장치자전거,38,0,11,22,13
서울,종로구,자전거,19,1,3,6,9
서울,종로구,개인형이동수단(PM),1,0,0,1,0
서울,종로구,건설기계,5,0,3,5,1
서울,종로구,기타,2,0,0,1,1
서울,종로구,불명,37,0,6,20,15
서울,중구,승용차,764,1,240,784,101
서울,중구,승합차,122,2,33,102,15
서울,중구,화물차,84,1,28,69,5
서울,중구,특수차,1,0,0,1,0
서울,중구,이륜차,109,0,35,70,24
서울,중구,원동기장치자전거,37,0,12,19,9
서울,중구,자전거,23,0,4,14,7
서울,중구,개인형이동수단(PM),2,0,1,1,0
서울,중구,건설기계,12,1,6,5,0
서울,중구,기타,1,0,0,0,1
서울,중구,불명,29,0,6,18,5
서울,용산구,승용차,860,5,237,948,37
서울,용산구,승합차,58,1,12,54,3
서울,용산구,화물차,88,2,19,92,7
서울,용산구,특수차,1,0,0,1,0
서울,용산구,이륜차,103,2,26,86,10
서울,용산구,사륜오토바이(ATV),1,0,1,0,0
서울,용산구,원동기장치자전거,3,0,0,2,1
서울,용산구,자전거,22,0,12,11,0
서울,용산구,개인형이동수단(PM),1,0,1,0,0
서울,용산구,건설기계,4,0,2,2,0
서울,용산구,불명,46,0,6,32,12
서울,성동구,승용차,677,7,178,728,38
서울,성동구,승합차,59,0,15,61,3
서울,성동구,화물차,103,2,41,83,7
서울,성동구,특수차,4,0,0,3,1
서울,성동구,이륜차,129,3,33,101,18
서울,성동구,원동기장치자전거,8,1,2,5,0
서울,성동구,자전거,63,0,19,40,9
서울,성동구,개인형이동수단(PM),5,0,2,1,2
서울,성동구,건설기계,7,0,2,7,0
서울,성동구,기타,1,0,1,0,0
서울,성동구,불명,35,0,1,34,4
서울,동대문구,승용차,887,9,297,816,40
서울,동대문구,승합차,94,0,44,79,2
서울,동대문구,화물차,176,0,64,147,12
서울,동대문구,특수차,3,0,2,1,0
서울,동대문구,이륜차,225,5,68,160,49
서울,동대문구,원동기장치자전거,37,0,4,35,9
서울,동대문구,자전거,110,1,22,73,25
서울,동대문구,개인형이동수단(PM),3,0,1,2,0
서울,동대문구,건설기계,8,0,1,10,1
서울,동대문구,기타,2,0,0,1,1
서울,동대문구,불명,20,0,4,16,2
서울,성북구,승용차,957,2,275,1008,42
서울,성북구,승합차,109,1,38,104,6
서울,성북구,화물차,136,1,39,123,8
서울,성북구,특수차,1,0,0,1,0
서울,성북구,이륜차,217,1,71,149,45
서울,성북구,사륜오토바이(ATV),1,1,0,0,0
서울,성북구,원동기장치자전거,19,0,7,12,4
서울,성북구,자전거,37,0,10,21,8
서울,성북구,개인형이동수단(PM),2,0,0,1,1
서울,성북구,건설기계,18,2,4,18,0
서울,성북구,기타,1,0,0,1,0
서울,성북구,불명,11,0,3,6,2
서울,도봉구,승용차,485,2,161,479,42
서울,도봉구,승합차,70,0,32,61,9
서울,도봉구,화물차,68,0,21,64,5
서울,도봉구,특수차,2,0,0,4,0
서울,도봉구,이륜차,133,2,45,82,46
서울,도봉구,원동기장치자전거,9,0,1,7,2
서울,도봉구,자전거,62,0,19,35,23
서울,도봉구,개인형이동수단(PM),3,0,1,1,1
서울,도봉구,건설기계,5,0,2,4,0
서울,도봉구,기타,1,0,1,0,0
서울,도봉구,불명,14,0,3,5,7
서울,은평구,승용차,647,1,220,610,64
서울,은평구,승합차,118,0,41,87,7
서울,은평구,화물차,104,3,36,80,14
서울,은평구,특수차,1,0,1,0,0
서울,은평구,이륜차,121,1,39,86,36
서울,은평구,원동기장치자전거,22,1,6,18,5
서울,은평구,자전거,62,1,18,36,15
서울,은평구,개인형이동수단(PM),7,0,3,4,0
서울,은평구,건설기계,9,0,1,8,0
서울,은평구,기타,4,0,2,0,2
서울,은평구,불명,24,0,2,17,6
서울,서대문구,승용차,672,5,188,677,139
서울,서대문구,승합차,122,4,46,144,19
서울,서대문구,화물차,78,1,23,57,16
서울,서대문구,이륜차,121,1,32,72,48
서울,서대문구,원동기장치자전거,25,0,8,14,11
서울,서대문구,자전거,48,1,7,18,24
서울,서대문구,개인형이동수단(PM),4,0,0,2,2
서울,서대문구,건설기계,16,2,5,29,1
서울,서대문구,기타,2,0,0,1,1
서울,서대문구,불명,25,0,2,14,9
서울,마포구,승용차,982,4,258,1090,110
서울,마포구,승합차,113,0,48,122,6
서울,마포구,화물차,99,1,30,100,10
서울,마포구,특수차,2,0,0,2,0
서울,마포구,이륜차,125,0,39,86,33
서울,마포구,원동기장치자전거,45,0,17,30,7
서울,마포구,자전거,52,0,12,33,13
서울,마포구,개인형이동수단(PM),4,1,0,2,1
서울,마포구,건설기계,10,1,1,8,0
서울,마포구,기타,3,0,0,3,1
서울,마포구,불명,59,0,5,45,11
서울,강서구,승용차,1150,9,306,1184,95
서울,강서구,승합차,171,5,51,204,16
서울,강서구,화물차,143,3,40,138,6
서울,강서구,특수차,3,0,1,2,1
서울,강서구,이륜차,185,3,43,166,35
서울,강서구,원동기장치자전거,41,0,6,41,10
서울,강서구,자전거,72,0,13,51,15
서울,강서구,개인형이동수단(PM),4,0,2,1,1
서울,강서구,건설기계,12,0,4,8,3
