시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,1133,6,312,1075,172
서울,중구,1184,5,365,1083,167
서울,용산구,1187,10,316,1228,70
서울,성동구,1091,13,294,1063,82
서울,동대문구,1565,15,507,1340,141
서울,성북구,1509,8,447,1444,116
서울,도봉구,852,4,286,742,135
서울,은평구,1119,7,369,946,149
서울,서대문구,1113,14,311,1028,270
서울,마포구,1494,7,410,1521,192
서울,강서구,1829,20,470,1834,187
서울,구로구,1529,13,438,1528,130
서울,영등포구,2439,11,606,2532,313
서울,동작구,1406,5,402,1366,253
서울,관악구,1363,10,376,1264,115
서울,강남구,3722,14,794,3924,464
서울,강동구,1414,11,430,1290,190
서울,송파구,2892,13,736,2823,444
서울,서초구,2418,14,571,2631,328
서울,양천구,1506,11,342,1527,216
서울,중랑구,1620,12,462,1438,222
서울,노원구,1703,8,484,1652,166
서울,광진구,973,3,293,955,68
서울,강북구,1277,7,314,1317,75
서울,금천구,920,9,280,986,87
부산,중구,295,1,92,259,33
부산,서구,474,2,179,443,62
부산,동구,574,3,196,561,69
부산,영도구,348,3,125,301,38
부산,부산진구,1688,14,605,1509,190
부산,동래구,1103,6,337,1011,134
부산,남구,901,5,308,763,104
부산,북구,701,10,260,647,66
부산,해운대구,1064,16,361,896,170
부산,사하구,1110,12,402,997,130
부산,금정구,801,6,255,713,114
부산,강서구,669,8,272,606,38
부산,연제구,868,3,277,822,84
부산,수영구,791,4,237,739,93
부산,사상구,1100,13,311,964,253
부산,기장군,505,10,164,589,53
경기,수원시,4920,31,1172,5216,656
경기,성남시,3801,39,1194,3955,596
경기,의정부시,1704,17,448,1720,294
경기,안양시,1616,20,494,1711,161
경기,부천시,3667,23,929,3837,342
경기,안산시,3965,27,1111,4505,326
경기,평택시,3527,51,993,4046,691
경기,광명시,1068,9,285,879,340
경기,구리시,751,6,194,818,91
경기,양주시,1118,19,295,1292,98
경기,여주시,592,17,206,709,68
경기,화성시,3008,33,900,3594,288
경기,시흥시,2480,30,805,2806,269
경기,파주시,1658,21,506,1719,183
경기,고양시,3916,39,1096,4126,572
경기,광주시,1867,20,480,2182,209
경기,연천군,196,11,91,197,20
경기,포천시,887,15,327,962,186
경기,가평군,396,8,150,494,34
경기,양평군,591,13,223,625,107
경기,이천시,1102,33,326,1259,102
경기,용인시,3485,34,1009,3916,773
경기,안성시,1014,16,324,1221,189
경기,김포시,1792,24,581,2033,173
경기,동두천시,417,6,117,403,45
경기,과천시,237,1,73,266,41
경기,군포시,650,3,214,671,139
경기,남양주시,2411,31,724,2736,383
경기,오산시,1057,7,244,1189,149
경기,의왕시,488,10,165,546,69
경기,하남시,1082,17,303,1087,215
강원,춘천시,1590,23,389,1945,109
강원,원주시,1985,34,550,2308,142
강원,동해시,358,7,102,390,2
강원,강릉시,888,14,285,1054,21
강원,속초시,391,8,149,420,23
강원,태백시,177,2,47,216,4
강원,삼척시,414,16,158,474,10
강원,홍천군,359,16,110,414,27
강원,횡성군,203,9,118,244,9
강원,영월군,156,4,55,90,107
강원,평창군,183,5,100,236,8
강원,정선군,107,6,56,104,9
강원,철원군,144,12,57,161,2
강원,화천군,101,9,44,132,2
강원,양구군,88,2,64,86,6
강원,인제군,94,8,73,70,5
강원,고성군,138,1,51,162,7
강원,양양군,178,9,74,243,28
충북,청주시,4949,49,1551,6097,290
충북,충주시,1364,36,523,1724,103
충북,제천시,870,19,328,1055,90
충북,보은군,165,13,112,167,15
충북,옥천군,236,7,131,198,14
충북,영동군,218,9,144,181,9
충북,진천군,516,11,177,623,40
충북,괴산군,190,10,115,166,16
충북,음성군,663,18,320,745,29
충북,단양군,157,10,89,159,31
충북,증평군,210,6,80,201,16
충남,천안시,3137,42,793,3640,220
충남,아산시,1083,36,401,1059,61
충남,보령시,479,16,290,401,13
충남,공주시,608,22,247,740,47
충남,서산시,839,26,499,687,82
충남,금산군,150,7,61,147,1
충남,태안군,320,17,224,309,51
충남,논산시,476,26,284,418,42
충남,부여군,222,16,159,113,6
충남,서천군,323,18,145,292,25
충남,청양군,191,10,98,171,2
충남,홍성군,341,21,145,321,8
충남,예산군,397,17,158,413,9
충남,당진시,783,33,375,806,26
충남,계룡시,55,1,29,64,5
전북,전주시,2365,35,761,2745,35
전북,군산시,1225,25,343,1512,60
전북,정읍시,596,20,238,661,5
전북,남원시,311,8,170,269,1
전북,김제시,481,23,183,678,13
전북,완주군,278,17,119,296,7
전북,진안군,77,7,57,76,4
전북,무주군,125,9,89,127,4
전북,장수군,65,11,37,41,0
전북,임실군,115,7,56,120,5
전북,순창군,110,9,41,77,16
전북,고창군,173,15,88,192,2
전북,부안군,298,18,152,362,2
전북,익산시,1396,34,398,1579,30
전남,목포시,1818,13,387,2683,57
전남,여수시,1567,27,410,1930,68
전남,순천시,1462,28,415,1849,80
전남,나주시,646,25,186,906,28
전남,광양시,739,17,236,862,44
전남,담양군,321,12,112,467,15
전남,곡성군,153,9,89,171,11
전남,구례군,142,7,62,152,14
전남,고흥군,329,17,219,358,18
전남,보성군,276,15,127,285,28
전남,화순군,325,11,115,386,45
전남,장흥군,301,11,142,316,8
전남,강진군,321,6,140,343,40
전남,해남군,434,22,156,535,21
전남,영암군,493,11,180,698,21
전남,무안군,395,17,112,466,1
전남,함평군,193,9,65,189,43
전남,영광군,225,11,91,227,29
전남,장성군,270,7,111,336,29
전남,완도군,186,4,80,218,1
전남,진도군,140,12,72,149,2
전남,신안군,141,3,69,195,5
경북,포항시,2777,33,839,3187,243
