시도,시군구,기상상태,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,맑음,1052,6,294,988,166
서울,종로구,흐림,32,0,8,31,2
서울,종로구,비,48,0,10,55,4
서울,종로구,기타/불명,1,0,0,1,0
서울,중구,맑음,1065,5,323,976,157
서울,중구,흐림,49,0,16,44,4
서울,중구,비,67,0,23,62,6
서울,중구,눈,1,0,0,1,0
서울,중구,기타/불명,2,0,3,0,0
서울,용산구,맑음,1071,9,287,1093,66
서울,용산구,흐림,40,0,8,55,2
서울,용산구,비,69,1,19,75,2
서울,용산구,눈,2,0,0,2,0
서울,용산구,기타/불명,5,0,2,3,0
서울,성동구,맑음,1021,12,271,998,78
서울,성동구,흐림,23,0,10,19,1
서울,성동구,비,45,1,12,45,3
서울,성동구,눈,1,0,1,0,0
서울,성동구,기타/불명,1,0,0,1,0
서울,동대문구,맑음,1377,11,451,1181,126
서울,동대문구,흐림,97,2,30,81,7
서울,동대문구,비,83,2,25,69,8
서울,동대문구,눈,1,0,0,1,0
서울,동대문구,기타/불명,7,0,1,8,0
서울,성북구,맑음,1325,6,396,1284,98
서울,성북구,흐림,85,1,26,70,8
서울,성북구,비,95,1,24,86,10
서울,성북구,눈,3,0,1,2,0
서울,성북구,기타/불명,1,0,0,2,0
서울,도봉구,맑음,743,3,255,636,117
서울,도봉구,흐림,53,1,13,58,5
서울,도봉구,비,55,0,18,47,13
서울,도봉구,눈,1,0,0,1,0
서울,은평구,맑음,1018,7,339,855,139
서울,은평구,흐림,28,0,8,32,2
서울,은평구,비,65,0,21,52,6
서울,은평구,안개,1,0,0,1,0
서울,은평구,눈,5,0,0,5,2
서울,은평구,기타/불명,2,0,1,1,0
서울,서대문구,맑음,962,10,262,888,226
서울,서대문구,흐림,81,2,29,82,20
서울,서대문구,비,59,2,19,50,18
서울,서대문구,눈,2,0,0,3,0
서울,서대문구,기타/불명,9,0,1,5,6
서울,마포구,맑음,1295,7,344,1300,166
서울,마포구,흐림,48,0,16,48,4
서울,마포구,비,96,0,36,103,16
서울,마포구,눈,5,0,1,5,3
서울,마포구,기타/불명,50,0,13,65,3
서울,강서구,맑음,1554,17,411,1548,157
서울,강서구,흐림,120,2,20,133,19
서울,강서구,비,110,0,29,95,11
서울,강서구,눈,6,0,0,15,0
서울,강서구,기타/불명,39,1,10,43,0
서울,구로구,맑음,1353,12,376,1350,111
서울,구로구,흐림,32,0,5,30,9
서울,구로구,비,92,1,34,101,9
서울,구로구,눈,1,0,0,1,0
서울,구로구,기타/불명,51,0,23,46,1
서울,영등포구,맑음,2240,8,553,2320,301
서울,영등포구,흐림,54,0,17,46,5
서울,영등포구,비,133,3,30,158,7
서울,영등포구,눈,9,0,5,6,0
서울,영등포구,기타/불명,3,0,1,2,0
서울,동작구,맑음,1282,5,372,1220,235
서울,동작구,흐림,35,0,11,44,4
서울,동작구,비,85,0,19,97,14
서울,동작구,눈,3,0,0,3,0
서울,동작구,기타/불명,1,0,0,2,0
서울,관악구,맑음,1175,5,324,1090,95
서울,관악구,흐림,34,3,11,25,2
서울,관악구,비,96,2,26,89,10
서울,관악구,눈,4,0,0,3,1
서울,관악구,기타/불명,54,0,15,57,7
서울,강남구,맑음,3308,12,717,3458,422
서울,강남구,흐림,97,0,19,107,7
서울,강남구,비,206,2,43,234,23
서울,강남구,안개,1,0,0,2,0
서울,강남구,눈,1,0,0,1,0
서울,강남구,기타/불명,109,0,15,122,12
서울,강동구,맑음,1222,10,379,1126,161
서울,강동구,흐림,89,0,29,74,8
서울,강동구,비,98,1,18,88,21
서울,강동구,눈,3,0,2,1,0
서울,강동구,기타/불명,2,0,2,1,0
서울,송파구,맑음,2657,9,670,2620,407
서울,송파구,흐림,65,1,19,52,14
서울,송파구,비,139,3,32,128,23
서울,송파구,안개,1,0,1,0,0
서울,송파구,눈,1,0,1,0,0
서울,송파구,기타/불명,29,0,13,23,0
서울,서초구,맑음,2211,12,513,2417,304
서울,서초구,흐림,56,1,18,58,10
서울,서초구,비,117,1,33,122,11
서울,서초구,눈,3,0,0,6,0
서울,서초구,기타/불명,31,0,7,28,3
서울,양천구,맑음,1369,11,310,1401,193
서울,양천구,흐림,57,0,15,52,12
서울,양천구,비,78,0,17,72,11
서울,양천구,눈,1,0,0,1,0
서울,양천구,기타/불명,1,0,0,1,0
서울,중랑구,맑음,1444,7,413,1288,201
서울,중랑구,흐림,64,4,14,50,10
서울,중랑구,비,86,1,27,75,10
서울,중랑구,눈,2,0,1,1,0
서울,중랑구,기타/불명,24,0,7,24,1
서울,노원구,맑음,1518,7,443,1481,148
서울,노원구,흐림,70,1,17,68,4
서울,노원구,비,111,0,23,101,10
서울,노원구,눈,3,0,1,1,4
서울,노원구,기타/불명,1,0,0,1,0
서울,광진구,맑음,896,3,267,895,60
서울,광진구,흐림,27,0,8,22,3
서울,광진구,비,49,0,17,38,5
서울,광진구,눈,1,0,1,0,0
서울,강북구,맑음,1034,5,265,1039,62
서울,강북구,흐림,162,1,32,187,10
서울,강북구,비,80,1,17,90,3
서울,강북구,눈,1,0,0,1,0
서울,금천구,맑음,821,6,247,891,85
서울,금천구,흐림,43,1,14,45,1
서울,금천구,비,54,2,18,49,1
서울,금천구,눈,1,0,1,0,0
