시도,시군구,노면상태대분류,노면상태,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,포장,건조,1063,6,299,996,164
서울,종로구,포장,젖음/습기,66,0,12,76,8
서울,종로구,포장,기타,3,0,0,3,0
서울,종로구,비포장,젖음/습기,1,0,1,0,0
서울,중구,포장,건조,1100,5,335,1012,158
서울,중구,포장,젖음/습기,79,0,26,69,9
서울,중구,포장,적설,1,0,0,1,0
서울,중구,포장,기타,4,0,4,1,0
서울,용산구,포장,건조,1090,9,292,1120,68
서울,용산구,포장,젖음/습기,94,1,23,105,2
서울,용산구,포장,기타,3,0,1,3,0
서울,성동구,포장,건조,1028,10,276,1003,79
서울,성동구,포장,젖음/습기,57,1,17,55,3
서울,성동구,포장,기타,5,2,1,4,0
서울,성동구,비포장,건조,1,0,0,1,0
서울,동대문구,포장,건조,1438,12,470,1237,129
서울,동대문구,포장,젖음/습기,123,3,37,100,11
서울,동대문구,포장,서리/결빙,2,0,0,2,0
서울,동대문구,포장,기타,1,0,0,0,1
서울,동대문구,비포장,젖음/습기,1,0,0,1,0
서울,성북구,포장,건조,1382,6,414,1333,101
서울,성북구,포장,젖음/습기,122,2,32,108,14
서울,성북구,포장,서리/결빙,1,0,1,0,0
서울,성북구,포장,기타,3,0,0,2,1
서울,성북구,비포장,젖음/습기,1,0,0,1,0
서울,도봉구,포장,건조,694,4,241,600,112
서울,도봉구,포장,젖음/습기,73,0,24,63,14
서울,도봉구,포장,기타,84,0,21,79,8
서울,도봉구,비포장,건조,1,0,0,0,1
서울,은평구,포장,건조,1030,7,341,877,141
서울,은평구,포장,젖음/습기,86,0,28,66,6
서울,은평구,포장,적설,3,0,0,3,2
서울,서대문구,포장,건조,1034,12,288,960,247
서울,서대문구,포장,젖음/습기,72,2,23,61,21
서울,서대문구,포장,적설,2,0,0,3,0
서울,서대문구,포장,기타,5,0,0,4,2
서울,마포구,포장,건조,1293,6,338,1299,167
서울,마포구,포장,젖음/습기,111,0,39,119,19
서울,마포구,포장,서리/결빙,2,0,1,2,2
서울,마포구,포장,적설,4,0,1,3,1
서울,마포구,포장,기타,79,1,30,91,3
서울,마포구,비포장,젖음/습기,1,0,1,0,0
서울,마포구,비포장,기타,4,0,0,7,0
서울,강서구,포장,건조,1586,18,410,1596,168
서울,강서구,포장,젖음/습기,135,1,35,125,12
서울,강서구,포장,서리/결빙,5,0,0,7,0
서울,강서구,포장,적설,2,0,0,7,0
서울,강서구,포장,기타,99,1,24,96,7
서울,강서구,비포장,건조,1,0,1,2,0
서울,강서구,비포장,젖음/습기,1,0,0,1,0
서울,구로구,포장,건조,1408,12,397,1398,114
서울,구로구,포장,젖음/습기,109,1,37,116,16
서울,구로구,포장,서리/결빙,1,0,0,1,0
