시도,시군구,도로형태_대분류,도로형태,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,단일로,터널안,11,0,2,17,1
서울,종로구,단일로,교량위,2,0,1,1,0
서울,종로구,단일로,지하차도(도로)내,67,0,23,73,3
서울,종로구,단일로,기타단일로,587,5,140,538,87
서울,종로구,교차로,교차로내,259,0,97,265,41
서울,종로구,교차로,교차로횡단보도내,39,0,20,22,5
서울,종로구,교차로,교차로부근,152,1,26,143,33
서울,종로구,기타,기타,16,0,3,16,2
서울,중구,단일로,터널안,9,0,3,10,1
서울,중구,단일로,지하차도(도로)내,50,0,11,46,4
서울,중구,단일로,기타단일로,649,4,198,612,118
서울,중구,교차로,교차로내,230,1,81,199,22
서울,중구,교차로,교차로횡단보도내,44,0,24,20,4
서울,중구,교차로,교차로부근,180,0,43,178,16
서울,중구,기타,기타,22,0,5,18,2
서울,용산구,단일로,터널안,4,0,1,4,1
서울,용산구,단일로,교량위,33,0,7,32,4
서울,용산구,단일로,고가도로위,1,0,0,1,0
서울,용산구,단일로,지하차도(도로)내,69,2,27,71,2
서울,용산구,단일로,기타단일로,563,7,141,598,32
서울,용산구,교차로,교차로내,208,0,61,214,11
서울,용산구,교차로,교차로횡단보도내,27,0,15,17,1
서울,용산구,교차로,교차로부근,155,1,39,172,13
서울,용산구,기타,기타,126,0,24,119,6
서울,용산구,불명,불명,1,0,1,0,0
서울,성동구,단일로,교량위,33,0,6,54,4
서울,성동구,단일로,고가도로위,4,0,0,5,0
서울,성동구,단일로,지하차도(도로)내,3,0,0,6,0
서울,성동구,단일로,기타단일로,548,7,133,541,38
서울,성동구,교차로,교차로내,280,1,82,265,14
서울,성동구,교차로,교차로횡단보도내,48,3,20,25,2
서울,성동구,교차로,교차로부근,147,2,40,144,18
서울,성동구,기타,기타,28,0,13,23,6
서울,동대문구,단일로,터널안,1,0,1,0,0
서울,동대문구,단일로,교량위,2,1,0,2,0
서울,동대문구,단일로,고가도로위,6,0,3,11,1
서울,동대문구,단일로,지하차도(도로)내,6,0,0,9,2
서울,동대문구,단일로,기타단일로,717,6,215,620,61
서울,동대문구,교차로,교차로내,456,6,158,372,40
서울,동대문구,교차로,교차로횡단보도내,81,0,38,55,3
서울,동대문구,교차로,교차로부근,237,2,73,227,27
