시도,시군구,사고유형대분류,사고유형중분류,사고유형,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,차대사람,횡단중,횡단중,98,1,50,44,10
서울,종로구,차대사람,차도통행중,차도통행중,62,1,19,39,4
서울,종로구,차대사람,길가장자리구역통행중,길가장자리구역통행중,23,0,3,19,2
서울,종로구,차대사람,보도통행중,보도통행중,16,0,6,12,3
서울,종로구,차대사람,기타,기타,106,1,30,64,14
서울,종로구,차대차,정면충돌,정면충돌,30,0,14,42,4
서울,종로구,차대차,측면충돌,측면충돌,489,0,124,531,85
서울,종로구,차대차,후진중충돌,후진중충돌,10,0,1,12,0
서울,종로구,차대차,추돌,추돌,166,1,30,205,21
서울,종로구,차대차,기타,기타,86,2,20,63,17
서울,종로구,차량단독,전도,전도,5,0,0,1,5
서울,종로구,차량단독,공작물충돌,공작물충돌,14,0,6,11,3
서울,종로구,차량단독,주/정차차량 충돌,주/정차차량 충돌,1,0,0,1,0
서울,종로구,차량단독,도로이탈,도로이탈 추락,1,0,1,0,0
서울,종로구,차량단독,기타,기타,26,0,8,31,4
서울,중구,차대사람,횡단중,횡단중,108,3,61,39,11
서울,중구,차대사람,차도통행중,차도통행중,41,0,15,28,1
서울,중구,차대사람,길가장자리구역통행중,길가장자리구역통행중,12,0,0,11,1
서울,중구,차대사람,보도통행중,보도통행중,18,0,6,14,4
서울,중구,차대사람,기타,기타,105,1,35,53,20
서울,중구,차대차,정면충돌,정면충돌,25,1,18,26,1
서울,중구,차대차,측면충돌,측면충돌,526,0,135,555,85
서울,중구,차대차,후진중충돌,후진중충돌,22,0,2,21,2
서울,중구,차대차,추돌,추돌,146,0,38,197,20
서울,중구,차대차,기타,기타,143,0,40,120,17
서울,중구,차량단독,전도,전도,3,0,0,2,1
서울,중구,차량단독,공작물충돌,공작물충돌,5,0,1,3,1
서울,중구,차량단독,주/정차차량 충돌,주/정차차량 충돌,1,0,0,1,0
서울,중구,차량단독,기타,기타,29,0,14,13,3
서울,용산구,차대사람,횡단중,횡단중,95,3,38,57,6
서울,용산구,차대사람,차도통행중,차도통행중,16,1,8,7,1
서울,용산구,차대사람,길가장자리구역통행중,길가장자리구역통행중,33,0,3,28,2
서울,용산구,차대사람,보도통행중,보도통행중,6,1,1,4,0
서울,용산구,차대사람,기타,기타,109,1,30,75,10
서울,용산구,차대차,정면충돌,정면충돌,23,0,15,21,1
서울,용산구,차대차,측면충돌,측면충돌,342,1,86,371,18
서울,용산구,차대차,후진중충돌,후진중충돌,15,0,2,15,0
서울,용산구,차대차,추돌,추돌,269,0,63,373,13
서울,용산구,차대차,기타,기타,247,0,57,258,18
서울,용산구,차량단독,전도,전도,2,0,1,1,0
서울,용산구,차량단독,공작물충돌,공작물충돌,9,3,5,3,0
서울,용산구,차량단독,기타,기타,21,0,7,15,1
서울,성동구,차대사람,횡단중,횡단중,84,4,36,41,3
서울,성동구,차대사람,차도통행중,차도통행중,22,1,11,12,3
서울,성동구,차대사람,길가장자리구역통행중,길가장자리구역통행중,30,0,8,22,0
서울,성동구,차대사람,보도통행중,보도통행중,14,1,6,8,1
서울,성동구,차대사람,기타,기타,75,2,27,43,6
서울,성동구,차대차,정면충돌,정면충돌,20,0,9,17,1
서울,성동구,차대차,측면충돌,측면충돌,391,1,86,408,28
서울,성동구,차대차,후진중충돌,후진중충돌,16,0,4,14,0
서울,성동구,차대차,추돌,추돌,198,1,44,300,13
서울,성동구,차대차,기타,기타,206,0,49,177,23
서울,성동구,차량단독,전도,전도,3,1,0,3,0
서울,성동구,차량단독,공작물충돌,공작물충돌,6,1,4,3,0
서울,성동구,차량단독,기타,기타,26,1,10,15,4
서울,동대문구,차대사람,횡단중,횡단중,143,3,80,58,12
서울,동대문구,차대사람,차도통행중,차도통행중,45,1,16,29,1
서울,동대문구,차대사람,길가장자리구역통행중,길가장자리구역통행중,14,0,7,5,2
서울,동대문구,차대사람,보도통행중,보도통행중,22,0,10,13,1
서울,동대문구,차대사람,기타,기타,200,2,79,113,20
서울,동대문구,차대차,정면충돌,정면충돌,39,2,17,38,7
서울,동대문구,차대차,측면충돌,측면충돌,475,3,138,450,49
서울,동대문구,차대차,후진중충돌,후진중충돌,18,0,2,23,0
서울,동대문구,차대차,추돌,추돌,253,1,56,324,18
서울,동대문구,차대차,기타,기타,306,1,91,255,25
서울,동대문구,차량단독,전도,전도,4,0,0,1,3
서울,동대문구,차량단독,공작물충돌,공작물충돌,8,1,1,4,2
서울,동대문구,차량단독,기타,기타,38,1,10,27,1
서울,성북구,차대사람,횡단중,횡단중,204,2,91,117,5
서울,성북구,차대사람,차도통행중,차도통행중,54,1,19,32,2
서울,성북구,차대사람,길가장자리구역통행중,길가장자리구역통행중,12,0,3,9,0
서울,성북구,차대사람,보도통행중,보도통행중,20,0,8,12,0
서울,성북구,차대사람,기타,기타,116,1,45,68,8
서울,성북구,차대차,정면충돌,정면충돌,22,0,9,23,3
서울,성북구,차대차,측면충돌,측면충돌,645,1,181,695,53
서울,성북구,차대차,후진중충돌,후진중충돌,13,0,3,16,0
서울,성북구,차대차,추돌,추돌,228,0,40,313,21
서울,성북구,차대차,기타,기타,130,0,30,108,15
서울,성북구,차량단독,전도,전도,10,1,3,2,4
서울,성북구,차량단독,공작물충돌,공작물충돌,11,1,4,8,1
서울,성북구,차량단독,도로이탈,도로이탈 추락,1,0,0,1,0
서울,성북구,차량단독,도로이탈,도로이탈 기타,1,0,0,1,0
서울,성북구,차량단독,기타,기타,42,1,11,39,4
서울,도봉구,차대사람,횡단중,횡단중,122,0,66,57,10
서울,도봉구,차대사람,차도통행중,차도통행중,19,0,6,10,3
서울,도봉구,차대사람,길가장자리구역통행중,길가장자리구역통행중,12,0,5,7,1
서울,도봉구,차대사람,보도통행중,보도통행중,16,0,4,13,2
서울,도봉구,차대사람,기타,기타,94,2,45,46,8
서울,도봉구,차대차,정면충돌,정면충돌,37,0,14,33,9
서울,도봉구,차대차,측면충돌,측면충돌,278,0,59,288,59
서울,도봉구,차대차,후진중충돌,후진중충돌,9,0,2,11,0
서울,도봉구,차대차,추돌,추돌,92,0,20,133,19
서울,도봉구,차대차,기타,기타,138,0,48,129,20
서울,도봉구,차량단독,전도,전도,3,0,2,0,1
서울,도봉구,차량단독,공작물충돌,공작물충돌,4,0,2,2,0
서울,도봉구,차량단독,기타,기타,28,2,13,13,3
서울,은평구,차대사람,횡단중,횡단중,128,2,69,61,9
서울,은평구,차대사람,차도통행중,차도통행중,37,0,16,20,1
서울,은평구,차대사람,길가장자리구역통행중,길가장자리구역통행중,28,0,7,18,5
서울,은평구,차대사람,보도통행중,보도통행중,30,0,16,16,0
서울,은평구,차대사람,기타,기타,138,1,45,84,13
서울,은평구,차대차,정면충돌,정면충돌,19,0,8,19,3
서울,은평구,차대차,측면충돌,측면충돌,406,3,115,420,78
서울,은평구,차대차,후진중충돌,후진중충돌,19,0,2,16,1
서울,은평구,차대차,추돌,추돌,129,0,34,144,19
서울,은평구,차대차,기타,기타,130,1,36,117,12
서울,은평구,차량단독,전도,전도,6,0,2,2,3
서울,은평구,차량단독,공작물충돌,공작물충돌,6,0,3,3,2
서울,은평구,차량단독,기타,기타,43,0,16,26,3
서울,서대문구,차대사람,횡단중,횡단중,136,4,72,60,7
서울,서대문구,차대사람,차도통행중,차도통행중,40,2,16,19,3
서울,서대문구,차대사람,길가장자리구역통행중,길가장자리구역통행중,10,0,3,7,0
서울,서대문구,차대사람,보도통행중,보도통행중,20,0,7,13,2
서울,서대문구,차대사람,기타,기타,120,2,38,71,16
서울,서대문구,차대차,정면충돌,정면충돌,24,0,11,30,9
서울,서대문구,차대차,측면충돌,측면충돌,389,4,81,462,132
서울,서대문구,차대차,후진중충돌,후진중충돌,8,0,1,6,1
서울,서대문구,차대차,추돌,추돌,163,0,40,200,41
서울,서대문구,차대차,기타,기타,152,0,26,135,45
서울,서대문구,차량단독,전도,전도,3,1,1,0,1
서울,서대문구,차량단독,공작물충돌,공작물충돌,11,0,2,7,6
서울,서대문구,차량단독,기타,기타,37,1,13,18,7
서울,마포구,차대사람,횡단중,횡단중,110,2,51,58,10
서울,마포구,차대사람,차도통행중,차도통행중,32,1,15,16,2
서울,마포구,차대사람,길가장자리구역통행중,길가장자리구역통행중,7,0,0,6,1
서울,마포구,차대사람,보도통행중,보도통행중,19,0,7,12,1
서울,마포구,차대사람,기타,기타,192,1,63,119,20
서울,마포구,차대차,정면충돌,정면충돌,31,1,13,26,6
서울,마포구,차대차,측면충돌,측면충돌,450,1,103,512,51
서울,마포구,차대차,후진중충돌,후진중충돌,21,0,2,20,2
서울,마포구,차대차,추돌,추돌,228,0,47,346,24
서울,마포구,차대차,기타,기타,364,0,98,376,69
서울,마포구,차량단독,전도,전도,2,0,2,1,0
서울,마포구,차량단독,공작물충돌,공작물충돌,9,0,3,9,2
