시도,시군구,시간대,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,00시-02시,63,1,18,55,9
서울,종로구,02시-04시,40,1,12,34,8
서울,종로구,04시-06시,36,0,22,38,4
서울,종로구,06시-08시,63,0,18,61,7
서울,종로구,08시-10시,106,0,24,103,10
서울,종로구,10시-12시,109,0,23,94,20
서울,종로구,12시-14시,129,1,37,113,16
서울,종로구,14시-16시,127,0,27,140,22
서울,종로구,16시-18시,119,0,29,113,30
서울,종로구,18시-20시,141,2,40,138,20
서울,종로구,20시-22시,96,0,28,90,11
서울,종로구,22시-24시,104,1,34,96,15
서울,중구,00시-02시,65,0,24,55,13
서울,중구,02시-04시,35,0,12,30,6
서울,중구,04시-06시,43,1,24,33,2
서울,중구,06시-08시,53,0,17,46,4
서울,중구,08시-10시,101,0,35,82,12
서울,중구,10시-12시,122,1,34,103,17
서울,중구,12시-14시,146,1,36,141,20
서울,중구,14시-16시,157,1,52,132,21
서울,중구,16시-18시,140,1,33,136,12
서울,중구,18시-20시,124,0,38,137,21
서울,중구,20시-22시,113,0,33,122,23
서울,중구,22시-24시,85,0,27,66,16
서울,용산구,00시-02시,95,2,33,110,8
서울,용산구,02시-04시,65,1,19,73,3
서울,용산구,04시-06시,67,2,23,66,3
서울,용산구,06시-08시,59,2,12,56,2
서울,용산구,08시-10시,94,0,25,89,1
서울,용산구,10시-12시,97,0,29,96,7
서울,용산구,12시-14시,117,0,28,122,9
서울,용산구,14시-16시,127,2,20,132,10
서울,용산구,16시-18시,113,0,28,133,5
서울,용산구,18시-20시,156,0,45,160,4
서울,용산구,20시-22시,99,1,31,85,13
서울,용산구,22시-24시,98,0,23,106,5
서울,성동구,00시-02시,62,2,20,64,8
서울,성동구,02시-04시,34,1,13,36,1
서울,성동구,04시-06시,29,1,12,26,2
서울,성동구,06시-08시,53,2,14,44,3
서울,성동구,08시-10시,121,0,35,114,8
서울,성동구,10시-12시,109,2,29,111,8
서울,성동구,12시-14시,119,1,26,134,5
서울,성동구,14시-16시,118,1,37,95,9
서울,성동구,16시-18시,128,0,34,136,7
서울,성동구,18시-20시,139,1,35,125,16
