시도,시군구,월,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,01월,87,1,25,88,12
서울,종로구,02월,66,1,22,50,12
서울,종로구,03월,87,2,25,79,18
서울,종로구,04월,85,0,25,91,15
서울,종로구,05월,112,1,25,115,18
서울,종로구,06월,95,1,27,80,9
서울,종로구,07월,83,0,22,79,8
서울,종로구,08월,115,0,23,118,23
서울,종로구,09월,99,0,28,99,16
서울,종로구,10월,104,0,37,89,13
서울,종로구,11월,100,0,23,86,17
서울,종로구,12월,100,0,30,101,11
서울,중구,01월,100,3,30,84,10
서울,중구,02월,53,0,25,49,6
서울,중구,03월,85,0,25,78,10
서울,중구,04월,113,1,38,102,14
서울,중구,05월,104,0,28,91,16
서울,중구,06월,104,0,44,82,13
서울,중구,07월,107,0,25,101,14
서울,중구,08월,101,0,25,91,11
서울,중구,09월,90,0,24,86,15
서울,중구,10월,93,1,31,86,16
서울,중구,11월,121,0,43,112,8
서울,중구,12월,113,0,27,121,34
서울,용산구,01월,104,1,33,104,5
서울,용산구,02월,87,0,29,74,2
서울,용산구,03월,112,2,31,118,14
서울,용산구,04월,102,0,25,102,11
서울,용산구,05월,98,0,28,106,9
서울,용산구,06월,99,0,36,96,3
서울,용산구,07월,92,2,18,93,7
서울,용산구,08월,95,3,23,102,6
서울,용산구,09월,95,1,26,97,2
서울,용산구,10월,100,0,18,119,2
서울,용산구,11월,114,0,29,117,5
서울,용산구,12월,89,1,20,100,4
서울,성동구,01월,88,2,28,84,7
서울,성동구,02월,76,0,19,87,7
서울,성동구,03월,78,1,16,78,6
서울,성동구,04월,96,1,20,96,13
서울,성동구,05월,101,3,36,82,9
서울,성동구,06월,108,1,36,104,3
서울,성동구,07월,87,0,15,98,2
서울,성동구,08월,75,0,16,82,5
서울,성동구,09월,89,0,27,89,7
서울,성동구,10월,110,3,28,98,8
서울,성동구,11월,97,0,29,86,11
서울,성동구,12월,86,2,24,79,4
서울,동대문구,01월,115,0,56,86,6
서울,동대문구,02월,92,0,32,96,5
서울,동대문구,03월,111,1,39,100,8
서울,동대문구,04월,126,0,47,89,17
서울,동대문구,05월,112,0,34,99,8
서울,동대문구,06월,132,4,43,96,26
서울,동대문구,07월,142,1,31,138,6
서울,동대문구,08월,137,2,41,116,14
서울,동대문구,09월,157,2,57,124,13
서울,동대문구,10월,139,3,30,130,12
서울,동대문구,11월,149,0,50,136,14
서울,동대문구,12월,153,2,47,130,12
서울,성북구,01월,105,0,37,107,7
서울,성북구,02월,102,2,21,108,6
서울,성북구,03월,126,0,44,127,10
서울,성북구,04월,133,1,29,134,5
서울,성북구,05월,128,1,35,113,9
서울,성북구,06월,115,1,37,95,13
서울,성북구,07월,117,0,39,127,7
서울,성북구,08월,125,0,24,135,18
서울,성북구,09월,128,0,37,116,8
서울,성북구,10월,149,0,51,136,10
서울,성북구,11월,150,1,56,110,12
서울,성북구,12월,131,2,37,136,11
서울,도봉구,01월,70,3,25,64,11
서울,도봉구,02월,48,0,15,40,5
서울,도봉구,03월,68,0,19,68,13
서울,도봉구,04월,67,0,20,68,7
서울,도봉구,05월,82,0,25,71,17
서울,도봉구,06월,83,0,27,75,11
서울,도봉구,07월,63,0,24,40,12
서울,도봉구,08월,79,1,32,61,14
서울,도봉구,09월,71,0,18,63,12
서울,도봉구,10월,79,0,28,70,12
서울,도봉구,11월,72,0,30,62,8
서울,도봉구,12월,70,0,23,60,13
서울,은평구,01월,83,1,34,72,9
서울,은평구,02월,74,0,26,59,9
서울,은평구,03월,85,1,30,79,13
서울,은평구,04월,88,0,38,62,8
서울,은평구,05월,107,1,28,91,15
서울,은평구,06월,92,0,30,65,18
서울,은평구,07월,84,0,20,69,16
서울,은평구,08월,91,2,39,64,12
서울,은평구,09월,99,0,31,102,8
서울,은평구,10월,103,1,37,90,12
서울,은평구,11월,110,0,25,104,10
서울,은평구,12월,103,1,31,89,19
서울,서대문구,01월,82,0,27,68,13
서울,서대문구,02월,75,0,28,52,12
서울,서대문구,03월,73,1,12,55,16
서울,서대문구,04월,81,1,15,77,13
서울,서대문구,05월,111,1,31,94,34
서울,서대문구,06월,90,1,27,107,39
서울,서대문구,07월,107,1,27,88,31
서울,서대문구,08월,94,2,26,74,23
서울,서대문구,09월,118,3,37,115,26
서울,서대문구,10월,84,2,32,139,18
서울,서대문구,11월,104,1,28,94,17
서울,서대문구,12월,94,1,21,65,28
서울,마포구,01월,110,0,27,121,12
서울,마포구,02월,112,1,31,111,18
서울,마포구,03월,108,0,27,110,13
서울,마포구,04월,104,0,23,108,11
서울,마포구,05월,139,2,34,141,18
서울,마포구,06월,129,0,47,117,18
서울,마포구,07월,148,1,51,151,22
서울,마포구,08월,145,0,37,151,18
서울,마포구,09월,121,1,31,131,13
서울,마포구,10월,129,0,40,134,15
서울,마포구,11월,124,0,32,121,22
서울,마포구,12월,125,2,30,125,12
서울,강서구,01월,136,1,33,135,11
서울,강서구,02월,131,0,31,125,9
서울,강서구,03월,144,2,42,143,9
서울,강서구,04월,140,2,29,152,8
서울,강서구,05월,153,5,30,176,24
서울,강서구,06월,143,1,31,154,21
서울,강서구,07월,147,0,33,138,14
서울,강서구,08월,189,1,50,196,14
서울,강서구,09월,162,1,53,158,26
서울,강서구,10월,167,4,46,150,18
서울,강서구,11월,162,1,50,156,20
서울,강서구,12월,155,2,42,151,13
서울,구로구,01월,140,5,43,138,8
서울,구로구,02월,100,2,27,96,4
서울,구로구,03월,132,0,40,137,12
서울,구로구,04월,138,0,44,144,16
서울,구로구,05월,129,0,42,126,9
서울,구로구,06월,134,2,35,137,15
서울,구로구,07월,112,0,29,111,8
서울,구로구,08월,124,1,34,130,13
서울,구로구,09월,128,0,32,136,12
서울,구로구,10월,129,1,36,128,14
서울,구로구,11월,137,1,40,120,7
서울,구로구,12월,126,1,36,125,12
서울,영등포구,01월,197,0,54,192,22
서울,영등포구,02월,139,2,37,140,9
서울,영등포구,03월,187,1,42,177,33
서울,영등포구,04월,228,1,68,260,32
서울,영등포구,05월,214,0,52,241,32
서울,영등포구,06월,217,2,46,209,38
서울,영등포구,07월,212,1,47,211,27
서울,영등포구,08월,214,1,52,213,30
서울,영등포구,09월,190,0,39,226,21
서울,영등포구,10월,238,2,69,246,29
서울,영등포구,11월,200,1,53,209,17
서울,영등포구,12월,203,0,47,208,23
서울,동작구,01월,89,1,30,77,11
서울,동작구,02월,87,0,29,74,16
서울,동작구,03월,130,1,34,127,23
서울,동작구,04월,111,1,28,84,24
서울,동작구,05월,137,0,46,151,34
서울,동작구,06월,125,0,39,139,32
서울,동작구,07월,121,0,33,116,19
서울,동작구,08월,106,0,19,112,19
서울,동작구,09월,124,2,31,104,21
서울,동작구,10월,133,0,45,122,17
서울,동작구,11월,131,0,43,129,21
서울,동작구,12월,112,0,25,131,16
서울,관악구,01월,104,0,35,98,15
서울,관악구,02월,94,0,25,83,8
서울,관악구,03월,101,2,29,94,8
서울,관악구,04월,129,1,38,121,4
서울,관악구,05월,115,0,37,105,2
서울,관악구,06월,121,0,36,107,11
서울,관악구,07월,132,0,32,127,7
서울,관악구,08월,128,0,30,117,19
서울,관악구,09월,114,1,37,105,7
서울,관악구,10월,114,1,38,91,15
