No,공원명,위도,경도,경도,지번주소,도로명주소
1,사적공원,35.28044551,128.4064658,,경상남도 함안군 가야읍 도항리 173-6,경상남도 함안군 가야읍 도항1길 46-8
2,대치공원,35.36343159,128.4889492,,경상남도 함안군 칠서면 대치리 347,경상남도 함안군 칠서면 향촌길 20
3,은대근린공원,38.02808738,127.0649757,,경기도 연천군 전곡읍 은대리 573,경기도 연천군 전곡읍 은전로 47
4,고문리공원,38.0623778,127.1289227,,경기도 연천군 연천읍 고문리 898-1,경기도 연천군 연천읍 현문로508번길 211
5,휴먼시아 어린이공원(전곡5호),38.01663841,127.0712016,,경기도 연천군 전곡읍 전곡리 704,경기도 연천군 전곡읍 전곡로 31
6,대왕암공원,35.49041849,129.435245,,울산광역시 동구 일산동 901-8,울산광역시 동구 등대로 95
7,공원,34.31054271,126.7605729,,전라남도 완도군 완도읍 군내리 427-4,전라남도 완도군 완도읍 중앙길 68
8,척치공원,34.36128831,127.0275619,,전라남도 완도군 금일읍 척치리 786-1,전라남도 완도군 금일읍 척치26번길 8-3
9,공원,34.32723562,126.741971,,전라남도 완도군 완도읍 가용리 646-4,전라남도 완도군 완도읍 신기길 56-23
10,가용제3공원,34.32008131,126.742965,,전라남도 완도군 완도읍 가용리 1067-7,전라남도 완도군 완도읍 개포로135번길 16-83
11,화전공원,34.34968483,127.0291742,,전라남도 완도군 금일읍 화목리 154-1,전라남도 완도군 금일읍 감목길 8
12,공원,34.38968667,126.6484869,,전라남도 완도군 군외면 원동리 200-11,전라남도 완도군 군외면 원동1길 53-6
13,군내공원,34.31619021,126.7458875,,전라남도 완도군 완도읍 군내리 1253,전라남도 완도군 완도읍 개포로 59
14,동망공원,34.31335137,126.7654168,,전라남도 완도군 완도읍 군내리 266-1,전라남도 완도군 완도읍 장보고대로 330-3
15,금일공원,34.35172874,127.0365806,,전라남도 완도군 금일읍 신구리 979,전라남도 완도군 금일읍 금일로 467
16,구동공원,34.352471,127.0354375,,전라남도 완도군 금일읍 신구리 942,전라남도 완도군 금일읍 구동2길 4
17,노화공원,34.17883346,126.5715833,,전라남도 완도군 노화읍 이포리 674,전라남도 완도군 노화읍 이목25번길 49-13
18,공원,34.3845476,126.6557558,,전라남도 완도군 군외면 원동리 275,전라남도 완도군 군외면 완도로 334
19,달도지구농어촌테마공원,34.39413905,126.6386884,,전라남도 완도군 군외면 원동리 469,전라남도 완도군 군외면 청해진로 142
20,공원,34.309605,126.7543374,,전라남도 완도군 완도읍 군내리 614-3,전라남도 완도군 완도읍 청해진남로59번길 10-3
21,공원,34.31146057,126.7561213,,전라남도 완도군 완도읍 군내리 756-2,전라남도 완도군 완도읍 청해진남로35번길 14-7
22,공원,34.31079346,126.7590803,,전라남도 완도군 완도읍 군내리 415-6,전라남도 완도군 완도읍 군내길 35-5
23,소공원24,34.95208929,127.487072,,전라남도 순천시 장천동 229-8,전라남도 순천시 장명3길 2-5
24,제18수변공원,34.94336357,127.4995915,,전라남도 순천시 풍덕동 852,전라남도 순천시 하풍길 67
25,제20수변공원,34.94788011,127.4928185,,전라남도 순천시 풍덕동 924-11,전라남도 순천시 강남로 19
26,소공원4,34.97012226,127.4866225,,전라남도 순천시 석현동 142-12,전라남도 순천시 환선로 166-4
27,소공원5,34.9710586,127.4772643,,전라남도 순천시 석현동 267,전라남도 순천시 석현안길 14-10
28,소공원6,34.9717965,127.4943371,,전라남도 순천시 용당동 380-5,전라남도 순천시 업동1길 15
29,소공원7,34.97327336,127.4839429,,전라남도 순천시 가곡동 398-5,전라남도 순천시 신용길 23
30,가곡7공원,34.98292048,127.4851474,,전라남도 순천시 가곡동 243-3,전라남도 순천시 고지4길 11-10
31,가곡8공원,34.98478771,127.4834455,,전라남도 순천시 가곡동 259-1,전라남도 순천시 고지6길 20-9
32,78공원,34.93159447,127.5732417,,전라남도 순천시 해룡면 신대리 1545-55,전라남도 순천시 해룡면 큰산두길 15
33,장대공원(B지구),34.95161489,127.4956084,,전라남도 순천시 조곡동 263-231,전라남도 순천시 율전2길 148
